,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,459.02,591.12,582.88,766.73,644.16,668.51,494.63,448.68,428.49,567.55
1,Revenue Growth (YoY),-21.25%,-22.90%,-9.51%,14.69%,30.23%,49.00%,15.44%,-20.94%,0.73%,-
2,Cost of Revenue,360.17,659.62,476.73,578.03,448.74,505.01,387.71,354.23,332.06,428.54
3,Gross Profit,98.85,-68.5,106.14,188.7,195.42,163.5,106.93,94.45,96.43,139.01
4,"Selling, General & Admin",58.44,61.23,53.89,54.33,50.58,54.26,55.17,46.57,43.37,50.73
5,Other Operating Expenses,-5.99,-3.75,-0.68,-5.41,-4.22,-5.28,-2.92,-4.31,-5.09,-6.29
6,Operating Expenses,52.45,54.32,53.21,49.3,46.36,48.98,52.25,42.25,38.28,44.44
7,Operating Income,46.4,-122.82,52.94,139.4,149.06,114.53,54.68,52.2,58.14,94.57
8,Interest Expense,-16.04,-19.57,-17.8,-14.86,-10.78,-9.67,-11.29,-10.75,-12.43,-12.4
9,Interest & Investment Income,0.29,0.09,0.3,0.08,0.05,0.11,0.08,0.66,1.5,0.28
10,Currency Exchange Gain (Loss),-,-5.85,-,-1.3,-,-2.69,-,-1.54,-,-3.49
11,Other Non Operating Income (Expenses),-0.65,1.93,-1.93,0.5,-0.5,-0.38,0.38,1.01,-1.01,-0.83
12,EBT Excluding Unusual Items,29.99,-146.21,33.5,123.82,137.83,101.89,43.86,41.58,46.2,78.13
13,Gain (Loss) on Sale of Investments,-,-,-,0.11,-,-3.4,-,-0.04,-,-0.05
14,Gain (Loss) on Sale of Assets,-,-0.18,-,-0.17,-,-1.13,-,-0.15,-,-0
15,Asset Writedown,-,-,-,-,-,-3.59,-,-,-,-
16,Pretax Income,29.99,-146.4,33.5,123.76,137.83,93.77,43.86,41.39,46.2,78.08
17,Income Tax Expense,7.37,-35.84,8.39,28.3,33.37,23.51,10.19,8.97,11.67,21.29
18,Earnings From Continuing Operations,22.62,-110.56,25.12,95.46,104.46,70.26,33.67,32.42,34.54,56.79
19,Minority Interest in Earnings,0.46,0.23,-0.11,-0.64,-0.05,-0.73,0.42,0.36,1.59,-0.15
20,Net Income,23.09,-110.34,25.01,94.82,104.41,69.54,34.09,32.78,36.13,56.64
21,Net Income to Common,23.09,-110.34,25.01,94.82,104.41,69.54,34.09,32.78,36.13,56.64
22,Net Income Growth,-7.69%,-,-76.05%,36.36%,206.31%,112.16%,-5.65%,-42.13%,-1.49%,-
23,Shares Outstanding (Basic),819,830,826,825,821,821,817,807,805,682
24,Shares Outstanding (Diluted),823,830,829,834,829,844,838,829,815,733
25,Shares Change (YoY),-0.79%,-0.47%,0.07%,-1.22%,-1.06%,1.85%,2.83%,13.13%,35.77%,-
26,EPS (Basic),0.03,-0.13,0.03,0.11,0.13,0.08,0.04,0.04,0.04,0.08
27,EPS (Diluted),0.03,-0.13,0.03,0.11,0.13,0.08,0.04,0.04,0.04,0.08
28,EPS Growth,-6.67%,-,-76.19%,39.33%,207.32%,104.44%,-6.82%,-48.26%,-27.87%,-
29,Free Cash Flow,21.46,139.13,-54.37,-9.66,-59.74,85.54,-76.75,13.67,-32.73,-11.03
30,Free Cash Flow Per Share,0.03,0.17,-0.07,-0.01,-0.07,0.10,-0.09,0.02,-0.04,-0.02
31,Dividend Per Share,-,-,-,0.027,0.017,0.025,0.015,0.025,0.025,-
32,Dividend Growth,-,-,-,8.62%,13.83%,0%,-40.00%,-,-,-
33,Operating Margin,10.11%,-20.78%,9.08%,18.18%,23.14%,17.13%,11.05%,11.63%,13.57%,16.66%
34,Profit Margin,5.03%,-18.67%,4.29%,12.37%,16.21%,10.40%,6.89%,7.31%,8.43%,9.98%
35,Free Cash Flow Margin,4.68%,23.54%,-9.33%,-1.26%,-9.27%,12.80%,-15.52%,3.05%,-7.64%,-1.94%
36,EBITDA,71.93,-102.51,76.45,161.54,173.53,138.64,79.52,70.93,79.89,111.6
37,D&A For EBITDA,25.53,20.31,23.51,22.14,24.47,24.11,24.84,18.73,21.75,17.03
38,EBIT,46.4,-122.82,52.94,139.4,149.06,114.53,54.68,52.2,58.14,94.57
