,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,586,659,631,788,3056,3292,914,986,857,865,936
1,Market Cap Growth,-16.40%,-16.40%,-79.37%,-76.05%,234.46%,233.68%,6.59%,13.99%,-8.42%,-,-
2,Enterprise Value,1158,1252,1321,1409,3638,3797,1368,1342,1129,1058,1276
3,Last Close Price,0.67,0.79,0.76,0.95,3.65,3.90,1.08,1.15,0.97,0.96,1.01
4,PE Ratio,-,-7.03,-,6.09,13.57,16.16,7.18,12.27,10.48,8.50,8.97
5,PS Ratio,0.49,0.58,0.49,0.54,1.92,2.14,0.64,0.87,0.82,0.79,0.84
6,PB Ratio,0.68,0.79,0.76,0.83,3.17,3.55,0.86,1.02,0.96,1.14,1.19
7,P/TBV Ratio,0.94,0.94,0.92,0.98,3.74,4.27,1.09,1.30,1.14,1.36,1.42
8,P/FCF Ratio,3.39,3.82,6.75,-,-,-,84.69,-,-37.87,-,-
9,P/OCF Ratio,3.25,3.25,5.93,-,-103.19,-,8.67,-,17.36,-,-40.73
10,EV/Sales Ratio,1.03,1.11,1.02,0.97,2.28,2.47,0.96,1.18,1.08,0.97,1.15
11,EV/EBITDA Ratio,-,-38.10,-,5.48,9.60,10.38,5.11,7.42,6.30,5.03,5.85
12,EV/EBIT Ratio,-,-15.25,-,6.78,11.16,12.30,6.58,10.44,8.61,6.31,7.25
13,EV/FCF Ratio,6.71,7.26,14.15,-,-,-,126.77,-,-49.86,-,-
14,Debt / Equity Ratio,0.76,0.76,0.80,0.77,0.69,0.71,0.72,0.70,0.69,0.62,0.54
15,Debt / FCF Ratio,3.67,3.67,7.10,-,-,-,71.05,-,-27.42,-,-
16,Return on Capital Employed (ROCE),-,-8.84%,-,19.40%,29.80%,28.06%,16.98%,12.11%,13.42%,19.46%,19.79%
17,Earnings Yield,-16.01%,-14.23%,-14.91%,16.43%,7.37%,6.19%,13.92%,8.15%,9.55%,11.76%,11.15%
18,FCF Yield,29.46%,26.19%,14.81%,-8.78%,-2.57%,0.92%,1.18%,-7.69%,-2.64%,-5.55%,-7.26%
19,Dividend Yield,0.00%,-,-,-,1.37%,1.26%,4.54%,4.17%,6.10%,2.86%,-
20,Buyback Yield / Dilution,0.89%,0.79%,0.47%,-0.07%,1.22%,1.06%,-1.85%,-2.83%,-13.13%,-35.77%,-
21,Total Shareholder Return,0.89%,0.79%,0.47%,-0.07%,2.59%,2.33%,2.69%,1.34%,-7.02%,-32.91%,-
