,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,94.31,124.28,199.6,216.41,652.75,680.18,704.91,754.79,36.17,31.4,50.18,41.53,174.9,195.27,38.01,68.01,2.32,12.3,-
1,Short-Term Investments,-,-,370.26,-,370.26,-,-,-,-,-,50,-,50,-,-,-,-,-,-,-
2,Trading Asset Securities,-,35.01,21.07,21.02,54.02,21.1,56.22,120.7,189.15,72,52.39,107.66,137.75,90.17,90.71,322.56,320,2.31,-,-
3,Cash & Short-Term Investments,129.32,129.32,515.62,220.63,640.69,673.85,736.41,825.61,943.93,108.17,133.79,157.85,229.28,265.07,285.98,360.57,388.01,4.63,12.3,47.69
4,Cash Growth,-79.82%,-80.81%,-29.98%,-73.28%,-32.13%,522.96%,450.42%,423.04%,311.69%,-59.19%,-53.22%,-56.22%,-40.91%,5623.20%,2224.63%,656.04%,-,-,-,-
5,Accounts Receivable,-,418.66,376.82,337.09,293.73,317.08,296.9,312.16,301.3,322.73,300.96,234.95,228.62,230.8,228.43,178.62,147.93,155.78,146.98,-
6,Other Receivables,-,4,14.9,-,-,18.13,2.48,2.32,2.43,4.13,0.06,0.78,0.21,2.77,0.79,0.72,2.19,0.77,0.75,-
7,Receivables,-,422.66,391.71,337.09,293.73,335.21,302.94,314.49,303.74,326.86,301.02,235.73,228.82,233.56,229.22,179.33,150.12,156.56,147.73,-
8,Inventory,-,269.18,245.24,249.68,268.08,257.36,233.38,247.33,229.37,215.68,219.89,209.4,177.67,144.32,152.59,123.06,98.44,92.92,81.08,-
9,Other Current Assets,-,395.26,6.6,392.24,15.55,15.62,2.42,9.1,9.01,61.52,14.34,60.6,8.2,6.28,6.05,6.01,4.26,2.45,1.87,-
10,Total Current Assets,-,1216,1159,1200,1218,1282,1275,1397,1486,712.23,669.05,663.57,643.97,649.25,673.84,668.97,640.83,256.55,242.99,-
11,"Property, Plant & Equipment",-,677.75,637.24,606.99,578.56,539.98,509.74,455.21,432.31,409.04,381.2,334.46,304.67,239.87,222.63,196.82,176.96,169.49,164.3,-
12,Other Intangible Assets,-,133.61,134.47,134.91,74.22,74.55,74.91,73.14,73.6,74.12,44.17,44.48,44.79,45.1,45.38,45.69,46,46.31,46.47,-
13,Long-Term Deferred Tax Assets,-,7.57,7.24,6.35,7.52,7.3,4.94,4.14,4.03,3.77,4.67,3.83,3.11,2.26,2.26,1.71,1.6,1.51,1.48,-
14,Long-Term Deferred Charges,-,8.04,8.01,4.51,8.51,2.57,2.87,3.17,3.14,1.01,2.28,0.95,0.79,1.26,0.64,0.22,0.11,4.03,3.76,-
15,Other Long-Term Assets,-,28.63,9.65,10.3,63.27,29.35,38.75,41.39,17.8,24.29,8.29,12.76,12.67,30.06,13.2,6.28,12.02,11.92,6.48,-
16,Total Assets,-,2072,1956,1963,1950,1936,1906,1974,2017,1224,1110,1060,1010,967.8,957.94,919.69,877.51,489.82,465.49,-
17,Accounts Payable,-,154.28,116.43,105.57,115.89,110.59,94.45,102.08,120.97,151.72,154.13,149.91,124.29,101.17,123.17,76.98,58.91,83.39,90.07,-
18,Accrued Expenses,-,30.1,30.43,23.62,33.03,21.24,27.19,18.7,30.23,17.64,37.16,19.17,27.92,12.47,20.13,12.12,15.15,13.55,16.06,-
19,Short-Term Debt,-,-,-,-,-,-,-,-,70.07,70,20,-,16.02,31.03,35.04,35.04,35.04,20,-,-
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.01,-
21,Current Portion of Leases,-,6.12,5.95,7.5,7.53,2.04,2.05,4.6,3.85,3.76,1.78,-,-,-,-,-,-,-,-,-
22,Current Income Taxes Payable,-,1.42,1.09,8.56,0.61,6.81,-3.09,5.26,0.67,19.35,6.82,14.04,2.7,10.6,1.76,8.27,0.83,2.76,3.15,-
23,Current Unearned Revenue,-,5.03,5.03,2.23,2.23,2.83,1.18,2.11,1.94,2,1.29,1.15,0.81,1.17,0.52,0.34,0.34,1.45,1.22,-
24,Other Current Liabilities,-,10.65,7.17,6.9,4.27,8.08,5.53,9,5.84,2.72,0.46,2.52,1.44,1.66,1.62,3.07,5.38,0.44,1.16,-
