,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,328.63,293.53,215.59,193.95,122.5,192.47,136.37,161.98,113.91,267.5,213.93,176.41,119.57,166.21,142.69,103.38,73.14,108.41,110.93,50.57
1,Other Revenue,-,-42.63,42.63,-,69.34,-33.83,33.83,-,67.37,-32.25,32.25,-,36.13,-17.9,17.9,-,14.71,-6.43,6.43,-
2,Revenue,328.63,250.9,258.22,193.95,191.84,158.65,170.2,161.98,181.28,235.25,246.18,176.41,155.7,148.31,160.59,103.38,87.85,101.98,117.36,50.57
3,Revenue Growth (YoY),71.30%,58.15%,51.72%,19.73%,5.83%,-32.56%,-30.87%,-8.18%,16.43%,58.62%,53.30%,70.64%,77.23%,45.43%,36.84%,104.42%,-,-,-,-
4,Cost of Revenue,412.95,173.34,188.65,141.51,154.62,118.42,131.43,101.13,121.22,153.37,155.63,114.37,105.32,98.63,105.05,65.69,56.11,64.94,76.95,30.19
5,Gross Profit,-84.32,77.56,69.57,52.44,37.22,40.22,38.76,60.86,60.06,81.88,90.55,62.04,50.38,49.68,55.54,37.69,31.74,37.04,40.41,20.38
6,"Selling, General & Admin",-61.63,22.99,21.66,16.98,18.12,18.86,17.32,15.21,14.8,13.67,13.52,11.97,14.21,10.52,8.04,7.07,5.5,5.89,6.07,4.55
7,Research & Development,-62.86,22.88,22.14,17.83,18.64,19.23,18.04,16.77,17.99,19.41,15.68,12.5,13.63,8.52,8.04,6.97,8.94,8.58,6.92,3.52
8,Other Operating Expenses,4.25,-8.38,2.19,1.94,5.87,-1.22,-0.59,-1.15,4.92,-0.06,0.44,0.16,3.35,0.49,0.2,0.45,1.71,0.05,0.28,0.7
9,Operating Expenses,-121.47,38.16,46.67,36.64,43.74,36.71,35.11,30.22,38.05,33.12,30.34,24.36,32.21,17.34,18.39,14.8,15.78,14.84,14.04,8.94
10,Operating Income,37.15,39.4,22.9,15.8,-6.52,3.51,3.65,30.64,22.01,48.76,60.21,37.69,18.17,32.34,37.16,22.89,15.96,22.21,26.37,11.44
11,Interest Expense,-8.12,-,-0.49,-,-0.46,-0.27,-0.19,-0.22,-0.91,-0.49,-,-0.27,-0.53,-0.43,-0.5,-0.27,-0.26,-0.25,-0.32,-0.16
12,Interest & Investment Income,-,2.02,3.5,3.09,5.45,4.78,5.64,6.13,1.31,1.91,0.38,0.37,0.4,1.89,1.05,0.36,0.13,0.05,0.06,0.19
13,Currency Exchange Gain (Loss),-,-1.16,1.16,-,0.82,-0.89,0.89,-,1.13,-0.14,0.14,-,-1.42,0.53,-0.53,-,-0.42,-0.11,0.11,-
14,Other Non Operating Income (Expenses),1.5,-1.57,-0.54,0.42,-0.24,0.13,0.18,-0.14,-5.01,6.48,-0.41,-1.2,-1.86,0.25,1.96,-0.46,-2.53,-0.17,2.3,0.31
15,EBT Excluding Unusual Items,30.53,38.68,26.54,19.31,-0.95,7.26,10.18,36.41,18.54,56.52,60.32,36.58,14.76,34.57,39.15,22.52,12.88,21.72,28.52,11.8
16,Gain (Loss) on Sale of Investments,-0.59,0.26,0.12,0.21,0.19,0.05,0.11,0.46,0.15,-0.39,0.49,0.88,1.05,0.62,0.81,2.56,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.83,-0.72,-0.12,-,5.19,0.02,-0.02,0.09,0.04,0.02,0.18,-,-0.2,0.26,-0.19,0,-0,0.01,-0.01,-
18,Asset Writedown,2.58,-2.58,2.63,-2.63,1.02,-1.02,0.23,-0.23,2.29,-2.29,1.47,-1.47,3.24,-3.24,0.36,-0.36,0.68,-0.68,0.14,-0.14
19,Other Unusual Items,-,-4.47,1.83,2.64,7.29,-0,0,-,10.56,0.03,-0.03,-,6.5,0.08,-0.08,-,6.99,0.02,-0.02,-
20,Pretax Income,33.35,31.17,31,19.53,12.74,6.31,10.5,36.74,31.57,53.9,62.42,35.99,25.34,32.3,40.05,24.73,20.55,21.08,28.63,11.66
21,Income Tax Expense,1.48,2.13,-0.07,1.29,-0.79,-1.7,-1.31,3.52,-0.48,4.98,7.15,3.76,2.14,3.39,4.84,2.67,1.9,2.39,3.52,1.37
22,Net Income,31.87,29.04,31.07,18.23,13.54,8.01,11.81,33.22,32.05,48.91,55.28,32.23,23.2,28.91,35.21,22.06,18.65,18.69,25.11,10.29
23,Net Income to Common,31.87,29.04,31.07,18.23,13.54,8.01,11.81,33.22,32.05,48.91,55.28,32.23,23.2,28.91,35.21,22.06,18.65,18.69,25.11,10.29
24,Net Income Growth,135.43%,262.57%,163.18%,-45.11%,-57.76%,-83.63%,-78.64%,3.06%,38.13%,69.19%,57.00%,46.09%,24.39%,54.71%,40.23%,114.46%,-,-,-,-
25,Shares Outstanding (Basic),146,138,132,142,142,138,137,137,126,120,119,119,120,119,121,119,102,75,90,90
26,Shares Outstanding (Diluted),146,138,132,142,142,138,137,137,126,120,119,119,120,119,121,119,102,75,90,90
27,Shares Change (YoY),2.89%,-0.03%,-3.75%,3.67%,12.67%,15.19%,15.24%,15.15%,4.62%,0.95%,-1.15%,-0.04%,17.72%,58.64%,33.67%,32.00%,-,-,-,-
28,EPS (Basic),0.22,0.21,0.24,0.13,0.10,0.06,0.09,0.24,0.25,0.41,0.46,0.27,0.19,0.24,0.29,0.19,0.18,0.25,0.28,0.11
29,EPS (Diluted),0.22,0.21,0.24,0.13,0.10,0.06,0.09,0.24,0.25,0.41,0.46,0.27,0.19,0.24,0.29,0.19,0.18,0.25,0.28,0.11
30,EPS Growth,128.82%,262.68%,173.44%,-47.06%,-62.51%,-85.79%,-81.47%,-10.50%,32.03%,67.59%,58.83%,46.15%,5.66%,-2.48%,4.91%,62.47%,-,-,-,-
31,Free Cash Flow,-,-13.07,-25.62,-54.54,-53.48,-32.04,-22.08,-53.26,-3.93,-32.44,-43.57,-6.32,-22.03,-17.45,-36.76,-25.48,-6.21,-23.45,-11.03,-19.01
32,Free Cash Flow Per Share,-,-0.09,-0.19,-0.38,-0.38,-0.23,-0.16,-0.39,-0.03,-0.27,-0.37,-0.05,-0.18,-0.15,-0.30,-0.21,-0.06,-0.31,-0.12,-0.21
33,Dividend Per Share,-,-,-,-,0.357,-,-,-,0.500,-,-,-,0.429,-,-,-,0.357,-,-,-
34,Dividend Growth,-,-,-,-,-28.58%,-,-,-,16.66%,-,-,-,20.02%,-,-,-,-,-,-,-
35,Gross Margin,-25.66%,30.91%,26.94%,27.04%,19.40%,25.35%,22.77%,37.57%,33.13%,34.81%,36.78%,35.17%,32.35%,33.50%,34.59%,36.46%,36.13%,36.32%,34.43%,40.31%
36,Operating Margin,11.30%,15.70%,8.87%,8.15%,-3.40%,2.21%,2.15%,18.91%,12.14%,20.73%,24.46%,21.36%,11.67%,21.81%,23.14%,22.14%,18.17%,21.77%,22.47%,22.63%
37,Profit Margin,9.70%,11.57%,12.03%,9.40%,7.06%,5.05%,6.94%,20.51%,17.68%,20.79%,22.45%,18.27%,14.90%,19.49%,21.92%,21.34%,21.23%,18.32%,21.39%,20.34%
38,Free Cash Flow Margin,-,-5.21%,-9.92%,-28.12%,-27.88%,-20.19%,-12.98%,-32.88%,-2.17%,-13.79%,-17.70%,-3.59%,-14.15%,-11.76%,-22.89%,-24.65%,-7.06%,-22.99%,-9.40%,-37.59%
39,EBITDA,50.31,52.57,37.29,28.97,6.65,13.05,17.09,40.18,31.55,54.88,68.36,43.81,24.29,36.54,42.62,27.09,22.16,25.4,30.04,14.68
40,EBITDA Margin,15.31%,20.95%,14.44%,14.93%,3.46%,8.23%,10.04%,24.80%,17.41%,23.33%,27.77%,24.83%,15.60%,24.64%,26.54%,26.20%,25.23%,24.91%,25.60%,29.02%
41,D&A For EBITDA,13.17,13.17,14.39,13.17,13.17,9.54,13.43,9.54,9.54,6.12,8.15,6.12,6.12,4.2,5.47,4.2,6.2,3.2,3.67,3.23
42,EBIT,37.15,39.4,22.9,15.8,-6.52,3.51,3.65,30.64,22.01,48.76,60.21,37.69,18.17,32.34,37.16,22.89,15.96,22.21,26.37,11.44
43,EBIT Margin,11.30%,15.70%,8.87%,8.15%,-3.40%,2.21%,2.15%,18.91%,12.14%,20.73%,24.46%,21.36%,11.67%,21.81%,23.14%,22.14%,18.17%,21.77%,22.47%,22.63%
44,Effective Tax Rate,4.43%,6.85%,-,6.63%,-,-,-,9.59%,-,9.25%,11.45%,10.44%,8.46%,10.49%,12.08%,10.78%,9.24%,11.33%,12.30%,11.75%
45,Revenue as Reported,-,250.9,258.22,193.95,191.84,158.65,170.2,161.98,181.28,235.25,246.18,176.41,155.7,148.31,160.59,103.38,87.85,101.98,117.36,50.57
