,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,6612,6501,5653,5451,5288,5468,4935,9666,6155,6523,6003,5989,4583,6001,3304,2788,2142,2554,-,-,-
1,Market Cap Growth,18.89%,18.89%,14.55%,-43.61%,-14.08%,-16.18%,-17.79%,61.41%,34.29%,8.71%,81.68%,114.78%,113.95%,134.93%,-,-,-,-,-,-,-
2,Enterprise Value,6497,6386,5152,5247,4634,4814,4221,8860,6136,6505,5896,5831,4370,5767,3053,2463,2161,2573,-,-,-
3,Last Close Price,47.66,46.86,40.75,39.29,37.90,39.19,35.37,69.28,43.57,46.18,49.34,49.22,37.23,48.74,26.84,22.65,17.11,20.41,-,-,-
4,PE Ratio,60.33,58.98,61.53,76.93,102.51,82.14,58.01,76.73,36.32,38.72,37.61,42.89,38.34,54.86,31.52,29.47,25.35,35.12,-,-,-
5,Forward PE,37.53,42.09,35.17,36.47,22.34,24.03,17.81,36.64,24.52,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,6.44,6.30,6.32,6.79,7.40,8.01,7.34,12.91,7.46,7.77,7.38,8.24,7.15,10.56,6.61,6.14,5.22,7.14,-,-,-
7,PB Ratio,3.73,3.67,3.19,3.14,3.02,3.17,2.87,5.66,3.49,3.77,6.59,7.04,5.44,7.45,4.24,3.72,2.83,3.48,-,-,-
8,P/TBV Ratio,3.97,3.97,3.45,3.41,3.28,3.31,3.00,5.91,3.64,3.94,7.18,7.43,5.75,7.89,4.50,3.96,3.02,3.71,-,-,-
9,P/OCF Ratio,-,-,45.24,195.97,-,68.41,-,85.87,98.07,74.12,64.11,-,57.21,135.40,237.33,-,-,767.94,-,-,-
10,EV/Sales Ratio,6.30,6.19,5.76,6.54,6.49,7.05,6.28,11.83,7.44,7.75,7.25,8.02,6.82,10.15,6.11,5.43,5.26,7.19,-,-,-
11,EV/EBITDA Ratio,38.69,37.75,41.06,61.04,70.49,62.56,41.44,61.66,31.47,32.75,30.82,33.71,29.67,44.17,23.78,21.00,20.64,27.88,-,-,-
12,EV/EBIT Ratio,56.37,55.41,71.98,147.00,281.90,-,70.57,84.33,37.97,38.57,35.77,39.29,34.86,52.16,28.18,25.08,24.72,33.87,-,-,-
13,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.10,0.03,-,0.02,0.04,0.05,0.05,0.05,0.07,0.02,0.04
14,Debt / EBITDA Ratio,0.08,0.07,0.07,0.09,0.14,0.35,0.39,0.33,0.12,0.67,0.41,0.10,-,0.16,0.21,0.21,0.32,0.40,0.23,0.06,0.21
15,Asset Turnover,-,0.50,0.53,0.40,0.39,0.33,0.35,0.32,0.45,0.81,0.91,0.68,0.63,0.62,0.68,0.46,0.51,0.85,-,-,
16,Inventory Turnover,-,-,2.70,3.05,2.19,2.35,1.93,2.19,1.70,2.18,2.82,2.90,2.36,2.62,2.66,3.05,2.37,2.35,2.99,-,-
17,Quick Ratio,-,-,2.66,5.46,3.61,5.71,6.66,8.14,8.04,5.34,1.63,1.96,2.11,2.65,3.15,2.83,3.98,4.65,1.33,1.41,-
