,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1068,672,480,744,480,708,1032,828,456,492,534,Upgrade
1,Market Cap Growth,-9.68%,-9.68%,0%,5.08%,-53.49%,-14.49%,126.32%,68.29%,-14.61%,5.13%,20.27%,Upgrade
2,Enterprise Value,396,-99,-148,-14,41,72,575,249,113,-5,235,Upgrade
3,Last Close Price,0.89,0.56,0.40,0.62,0.40,0.59,0.86,0.69,0.38,0.41,0.45,Upgrade
4,PE Ratio,12.98,-,8.03,-,13.81,-,23.73,-,8.46,-,-,Upgrade
5,PS Ratio,1.07,0.68,0.49,0.74,0.50,0.75,0.96,0.75,0.49,0.53,0.50,Upgrade
6,PB Ratio,0.98,0.62,0.44,0.74,0.46,0.71,0.94,0.80,0.44,0.54,0.57,Upgrade
7,P/TBV Ratio,0.62,0.62,0.44,0.74,0.46,0.71,0.94,0.80,0.44,0.54,0.57,Upgrade
8,P/FCF Ratio,26.86,-,16.58,-,11.48,-,27.22,-,8.09,-,10.53,Upgrade
9,P/OCF Ratio,16.12,-,15.29,-,10.21,-,21.58,-,7.58,-,9.70,Upgrade
10,EV/Sales Ratio,0.40,-,-,-,0.04,0.08,0.54,0.23,0.12,-,0.22,Upgrade
11,EV/EBITDA Ratio,7.32,-,-,-,0.31,-,-53.33,-,17.58,-,-,Upgrade
12,EV/EBIT Ratio,11.06,-,-,-,0.36,-,-18.56,-,-9.14,-,-,Upgrade
13,EV/FCF Ratio,9.96,-,-,-,0.98,-,15.16,-,2.01,-,4.64,Upgrade
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.12,Upgrade
15,Debt / FCF Ratio,0.05,-,0.12,-,0.10,-,0.15,-,0.04,-,2.16,Upgrade
16,Return on Capital Employed (ROCE),3.18%,-,1.15%,-,10.28%,-,-2.69%,-,-1.12%,-,-,Upgrade
17,Earnings Yield,7.70%,12.24%,12.45%,9.54%,7.24%,-0.43%,4.21%,7.80%,11.82%,-54.76%,-44.73%,Upgrade
18,FCF Yield,3.72%,5.92%,6.03%,12.45%,8.71%,-0.32%,3.67%,9.24%,12.36%,8.07%,9.49%,Upgrade
