,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,100187,32610,53730,54125,134945,41829,47223,47342,138550,85362,40529,77198,116454,72101,29914,76653,113498,60962,81572,32295,Upgrade
1,Short-Term Investments,-,-,-,-,-,-,-,-,50000,-,-,-,30000,-,-,-,47000,-,-,-,Upgrade
2,Cash & Short-Term Investments,100187,32610,53730,54125,134945,41829,47223,47342,188550,85362,40529,77198,146454,72101,29914,76653,160498,60962,81572,32295,Upgrade
3,Cash Growth,-25.76%,-22.04%,13.78%,14.33%,-28.43%,-51.00%,16.52%,-38.67%,28.74%,18.39%,35.48%,0.71%,-8.75%,18.27%,-63.33%,137.35%,-34.28%,23.97%,142.36%,-3.26%,Upgrade
4,Accounts Receivable,34969,189071,157569,128355,49702,185895,206684,183031,38535,213698,208866,177890,4605,226293,211967,202905,6013,200305,212044,209530,Upgrade
5,Other Receivables,5493,5147,17007,13565,17730,9787,5487,20993,7818,5247,4389,14450,10351,9051,7933,8734,11943,7483,4261,6114,Upgrade
6,Receivables,40463,194218,174577,141919,67432,195682,212171,204024,46353,218945,213255,192340,14956,235344,219900,211639,17956,207788,216305,215644,Upgrade
7,Inventory,477009,491102,490897,599817,655453,707072,682702,629113,627959,519235,464541,305997,382325,394740,372662,360136,376888,450034,424151,427629,Upgrade
8,Prepaid Expenses,12435,21422,20302,16215,10491,19490,23785,19018,8683,11380,14405,23627,1883,6955,16623,11618,2091,9569,13597,28870,Upgrade
9,Other Current Assets,59813,93102,87654,101518,66683,102203,114745,142383,107669,91311,68384,92509,30665,42420,56507,65351,30582,50539,78725,85815,Upgrade
10,Total Current Assets,689907,832454,827160,913595,935004,1066277,1080626,1041879,979213,926234,801113,691670,576284,751559,695607,725397,588015,778892,814350,790253,Upgrade
11,"Property, Plant & Equipment",2330912,2412469,2491785,2550310,2504983,2476396,2479320,2272730,2290231,2323263,2376341,2444515,2433575,2469131,2529430,2565505,2589994,2610309,2614691,2650587,Upgrade
12,Goodwill,-,-,8664,8760,-,8953,9049,9145,-,9338,-,-,-,-,-,-,-,-,-,-,Upgrade
13,Other Intangible Assets,3749,4014,4279,4543,13664,4954,5215,5476,11100,1934,10012,10148,10284,10050,10185,10345,10504,10664,10392,10530,Upgrade
14,Other Long-Term Assets,69672,76006,74922,51707,44931,61493,64137,53758,44008,52010,66413,68045,50734,58719,69043,76250,73484,104681,108975,113203,Upgrade
15,Total Assets,3094240,3324942,3406809,3528916,3498582,3618072,3638346,3382988,3324553,3312779,3253880,3214379,3070876,3289459,3304264,3377497,3261997,3504546,3548407,3564574,Upgrade
16,Accounts Payable,786554,847768,976167,1031220,968938,960484,1027488,734959,811550,723419,772573,630900,585220,613859,655976,580411,623222,708612,788778,713708,Upgrade
17,Accrued Expenses,27054,46969,61556,61716,47604,54013,80500,85739,29831,150446,89449,95932,79278,81731,82230,57262,48171,147193,99607,73935,Upgrade
18,Short-Term Debt,931971,984285,869738,964566,950074,1075679,1058219,1082379,961399,879599,870008,983240,868227,1124890,1092730,1281157,1096492,1149884,1153525,1209870,Upgrade
19,Current Portion of Long-Term Debt,43744,43744,48744,38800,36987,23961,5000,6250,5000,5000,5000,5000,5000,5000,5000,5000,7688,10375,43563,76001,Upgrade
20,Current Income Taxes Payable,-,-,-,-,-,-,-,-,-,14807,10777,4473,7760,4703,4880,177.57,-,-,-,3790,Upgrade
21,Current Unearned Revenue,29435,31210,42289,18618,22670,12548,21451,17116,45041,21050,13122,10185,45749,20028,9787,16293,55002,33905,19038,34057,Upgrade
22,Other Current Liabilities,28660,36855,32417,34521,36351,11021,5248,4259,6765,1587,6543,6115,7783,1078,6767,881.38,5985,596.24,1251,91.9,Upgrade
23,Total Current Liabilities,1847419,1990831,2030911,2149439,2062623,2137706,2197907,1930702,1859586,1795907,1767472,1735844,1599017,1851289,1857370,1941182,1836559,2050566,2105761,2111454,Upgrade
24,Long-Term Debt,163889,175586,187772,155183,156497,132218,60772,35290,33068,34318,12010,13260,14510,15760,17010,18750,20000,21250,22500,23750,Upgrade
25,Other Long-Term Liabilities,12510,12198,11885,11572,11260,10955,10650,10345,10040,9826,9612,9398,9184,8969,8755,8541,8327,8113,7899,7685,Upgrade
26,Total Liabilities,2023818,2178614,2230568,2316195,2230379,2280879,2269329,1976336,1902694,1840050,1789095,1758502,1622711,1876019,1883135,1968473,1864886,2079929,2136160,2142888,Upgrade
27,Common Stock,1235599,1235599,1235599,1235599,1235599,1235599,1235599,1235599,1235599,1235599,1235599,1235599,1235599,1235599,1235599,1235599,1235599,1199618,1199618,1199618,Upgrade
28,Retained Earnings,-165177,-89270,-59358,-22877,32604,101594,133418,171053,186260,237130,229187,220279,212567,177842,185530,173426,161512,224999,212630,222068,Upgrade
29,Shareholders' Equity,1070422,1146328,1176241,1212721,1268202,1337193,1369017,1406652,1421859,1472729,1464785,1455877,1448165,1413441,1421129,1409024,1397111,1424617,1412247,1421686,Upgrade
30,Total Liabilities & Equity,3094240,3324942,3406809,3528916,3498582,3618072,3638346,3382988,3324553,3312779,3253880,3214379,3070876,3289459,3304264,3377497,3261997,3504546,3548407,3564574,Upgrade
31,Total Debt,1139604,1203614,1106254,1158549,1143557,1231859,1123991,1123918,999467,918916,887019,1001500,887737,1145650,1114740,1304907,1124179,1181509,1219587,1309621,Upgrade
32,Net Cash (Debt),-1039417,-1171005,-1052524,-1104424,-1008613,-1190029,-1076768,-1076576,-810917,-833554,-846490,-924303,-741283,-1073550,-1084826,-1228254,-963681,-1120547,-1138015,-1277326,Upgrade
33,Net Cash Per Share,-8407.73,-9465.97,-8528.47,-8938.37,-8160.81,-9633.89,-8690.13,-8712.99,-6520.08,-6754.47,-6862.99,-7480.61,-6008.89,-8741.96,-8781.21,-9940.56,-7805.79,-9071.83,-9200.43,-10337.65,Upgrade
34,Filing Date Shares Outstanding,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,Upgrade
35,Total Common Shares Outstanding,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,123.56,Upgrade
36,Working Capital,-1157512,-1158377,-1203751,-1235844,-1127619,-1071430,-1117281,-888823,-880373,-869673,-966359,-1044173,-1022733,-1099730,-1161763,-1215784,-1248544,-1271674,-1291412,-1321200,Upgrade
37,Book Value Per Share,8663.18,9277.52,9519.60,9814.85,10263.87,10822.23,11079.79,11384.38,11507.45,11919.15,11854.86,11782.77,11720.35,11439.32,11501.54,11403.58,11307.16,11529.70,11429.59,11505.98,Upgrade
38,Tangible Book Value,1066673,1142315,1163298,1199418,1254538,1323287,1354753,1392031,1410759,1461456,1454773,1445729,1437882,1403391,1410944,1398680,1386607,1413953,1401856,1411156,Upgrade
39,Tangible Book Value Per Share,8632.84,9245.03,9414.86,9707.18,10153.28,10709.68,10964.35,11266.04,11417.61,11827.92,11773.83,11700.64,11637.13,11357.98,11419.11,11319.85,11222.15,11443.40,11345.49,11420.75,Upgrade
40,Buildings,1777826,1761394,1761600,1761230,1702767,1701025,1700315,1700315,1698391,1693727,1693727,1693727,1693727,1693727,1693727,1691116,1691116,1679397,1678686,1597564,Upgrade
41,Machinery,5526267,5521821,5540880,5540880,5163616,5158720,5137043,5134813,5129523,5118386,5116057,5099186,5097503,5077627,5078337,5064252,5064523,4971520,4971183,4958637,Upgrade
42,Construction In Progress,117872,161654,164420,157421,487560,422284,394291,138293,100902,127856,132097,166019,93002,110159,121760,123432,99792,172679,126257,201798,Upgrade
