,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 7, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,654867,605443,654867,667223,679579,679579,679579,815495,704291,815495,889631,951411,1915178,1420938,1495074,889631,716647,580731,556023,443859,455855,Upgrade
1,Market Cap Growth,-10.91%,-10.91%,-3.64%,-18.18%,-3.51%,-16.67%,-23.61%,-14.29%,-63.23%,-42.61%,-40.50%,6.94%,167.24%,144.68%,168.89%,100.43%,57.21%,12.58%,7.79%,-15.91%,-13.64%,Upgrade
2,Enterprise Value,1694284,1776448,1707391,1771647,1688192,1869608,1756347,1892071,1515208,1649049,1736121,1875714,2656461,2494488,2579900,2117885,1680328,1701278,1694038,1721185,1546114,Upgrade
3,Last Close Price,5300.00,4900.00,5300.00,5400.00,5500.00,5500.00,5500.00,6285.71,5428.57,6285.71,6857.14,6996.17,14083.20,10448.82,10993.98,6541.87,5269.84,4270.39,4088.67,3263.88,3352.09,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-,-,-,18.57,29.48,81.74,-,-,141.96,78.15,-,20.66,17.08,29.87,Upgrade
5,PS Ratio,0.25,0.23,0.26,0.27,0.28,0.26,0.25,0.28,0.23,0.26,0.28,0.31,0.63,0.48,0.51,0.29,0.23,0.19,0.18,0.14,0.14,Upgrade
6,PB Ratio,0.61,0.57,0.57,0.57,0.56,0.54,0.51,0.60,0.50,0.57,0.60,0.65,1.32,0.98,1.06,0.63,0.51,0.42,0.39,0.31,0.32,Upgrade
7,P/TBV Ratio,0.57,0.57,0.57,0.57,0.57,0.54,0.51,0.60,0.51,0.58,0.61,0.65,1.32,0.99,1.07,0.63,0.51,0.42,0.39,0.32,0.32,Upgrade
8,P/FCF Ratio,-,33.32,-,-,-,-3.56,-,-,-,-39.35,3.72,4.00,-,6.41,32.14,17.01,-,4.61,2.11,1.27,-,Upgrade
