,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,607,684,795,784,895,1287,1690,1803,2306,1269,1309
1,Market Cap Growth,-12.82%,-12.82%,-11.24%,-39.06%,-47.03%,-28.59%,-26.73%,42.06%,76.15%,-8.81%,-25.89%
2,Enterprise Value,361,325,508,240,533,594,1098,1033,1804,622,766
3,Last Close Price,0.71,0.68,0.75,0.74,0.82,1.18,1.46,1.55,1.91,1.05,1.06
4,PE Ratio,3.00,2.89,3.00,2.57,5.22,5.82,3.95,5.68,9.35,5.84,6.41
5,Forward PE,-,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.72
6,PS Ratio,0.32,0.30,0.34,0.33,0.42,0.58,0.66,0.78,1.18,0.66,0.64
7,PB Ratio,0.21,0.20,0.23,0.24,0.28,0.40,0.50,0.59,0.79,0.49,0.51
8,P/TBV Ratio,0.24,0.24,0.29,0.30,0.35,0.56,0.71,0.80,1.11,0.73,0.78
9,P/FCF Ratio,-,-,-17.82,-,15.18,-,-,-,64.11,-,-134.56
10,P/OCF Ratio,2.82,2.82,8.35,-,5.78,-,-24.64,-,8.43,5.46,9.53
11,EV/Sales Ratio,0.16,0.15,0.22,0.10,0.25,0.27,0.43,0.45,0.92,0.33,0.37
12,EV/EBITDA Ratio,0.88,0.80,1.28,0.60,1.43,1.72,2.67,3.01,5.39,1.96,2.97
13,EV/EBIT Ratio,1.39,1.26,2.01,0.86,2.23,2.78,3.73,4.22,7.94,2.74,4.22
14,EV/FCF Ratio,-15.82,-,-11.39,-,9.04,-,-,-,50.16,-,-78.71
15,Debt / Equity Ratio,0.10,0.10,0.08,0.05,0.07,0.07,0.09,0.04,0.05,0.05,0.05
16,Debt / FCF Ratio,-,-,-6.02,-,4.08,-,-,-,3.86,-,-13.40
17,Return on Capital Employed (ROCE),7.02%,7.02%,7.12%,8.33%,7.06%,6.02%,7.98%,7.65%,7.46%,8.43%,7.10%
18,Earnings Yield,38.97%,34.58%,33.30%,38.84%,19.17%,17.19%,25.30%,17.62%,10.69%,17.13%,15.60%
19,FCF Yield,-3.76%,-3.34%,-5.61%,1.59%,6.59%,-9.96%,-8.73%,0.15%,1.56%,-2.37%,-0.74%
20,Buyback Yield / Dilution,0.10%,0.03%,0.16%,0.06%,0.36%,-0.36%,-0.59%,-0.12%,1.34%,1.59%,-1.29%
21,Total Shareholder Return,5.03%,0.03%,0.16%,0.06%,0.36%,-0.36%,-0.59%,-0.12%,1.34%,1.59%,-1.29%
