,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,15862,12152,9804,10217,11054,11675,12738,14596,12012,11680,13840,14262,16306,11196,11761,11123,12518,14875,13829,14152,13931,Upgrade
1,Market Cap Growth,4.08%,4.08%,-23.03%,-30.00%,-7.98%,-0.04%,-7.96%,2.34%,-26.33%,4.33%,17.68%,28.22%,30.26%,-24.74%,-14.96%,-21.40%,-10.14%,10.68%,-12.11%,-21.30%,-1.73%,Upgrade
2,Enterprise Value,14595,10586,8221,8998,9834,10342,11398,13496,10913,10227,12551,13512,15556,10727,11586,11029,12424,14782,13867,14742,14521,Upgrade
3,Last Close Price,13.38,10.25,8.14,8.41,9.10,9.61,10.49,11.90,9.79,9.32,11.26,11.61,13.27,9.11,9.57,9.05,10.19,12.11,11.25,11.28,11.11,Upgrade
4,PE Ratio,174.29,79.76,71.06,75.71,-,-34.66,-38.50,-47.43,-,9.66,11.70,-,13.90,73.04,84.64,-,95.43,208.16,180.75,-,374.67,Upgrade
5,Forward PE,40.69,36.61,29.54,37.11,29.13,32.77,37.62,29.67,25.84,26.12,34.67,25.71,50.69,38.58,43.47,38.33,48.99,260.42,-,38.43,49.35,Upgrade
6,PS Ratio,1.43,1.76,1.47,1.59,-,1.15,1.28,1.48,1.27,1.30,1.55,1.61,1.87,1.29,1.41,1.41,1.64,1.86,1.75,1.78,1.67,Upgrade
7,PB Ratio,1.65,1.26,1.05,1.09,-,-,1.35,1.56,1.29,1.19,1.42,1.47,1.69,1.31,1.39,1.33,1.48,1.77,1.63,1.69,1.57,Upgrade
8,P/TBV Ratio,1.42,1.42,1.19,1.24,-,-,1.52,1.77,1.47,1.35,1.52,1.59,1.82,1.43,1.52,1.46,1.63,1.94,1.80,1.87,1.71,Upgrade
9,P/FCF Ratio,26.96,-,-37.80,-,-,52.46,-,-,-186.55,-,33.07,-,33.65,19.16,27.31,-,55.29,-,19.26,-,-278.75,Upgrade
10,P/OCF Ratio,12.59,-,-177.76,-,-,20.62,18.63,-,17.86,13.44,18.23,-,20.83,12.50,15.66,-,22.35,-,12.26,-,33.51,Upgrade
11,PEG Ratio,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,Upgrade
12,EV/Sales Ratio,1.31,1.54,1.23,1.40,-,1.02,1.14,1.37,1.15,1.14,1.41,1.53,1.78,1.24,1.39,1.40,1.63,1.84,1.75,1.86,1.74,Upgrade
13,EV/EBITDA Ratio,23.69,17.57,13.23,14.57,-,42.58,49.30,48.83,-,16.45,24.44,25.16,-,25.94,28.29,34.19,-,48.26,46.46,59.25,-,Upgrade
14,EV/EBIT Ratio,45.84,27.89,21.12,23.52,-,-121.91,-180.39,-631.23,-,33.05,78.83,79.00,-,238.23,209.52,-,-,-828.22,-2424.75,-,-,Upgrade
15,EV/FCF Ratio,24.81,-,-31.70,-,-,46.47,-,-,-169.48,-,29.99,-,32.10,18.36,26.90,-,54.88,-,19.32,-,-290.56,Upgrade
16,Debt / Equity Ratio,0.12,0.12,0.12,0.12,-,-,0.12,0.09,0.12,0.11,0.11,0.12,0.12,0.21,0.21,0.21,0.23,0.22,0.23,0.24,0.26,Upgrade
17,Debt / EBITDA Ratio,1.80,1.14,1.31,1.71,-,-,1.34,1.25,-,1.12,1.11,1.80,146.62,3.12,1.59,4.99,-,3.38,2.80,27.68,-,Upgrade
18,Debt / FCF Ratio,1.89,-,-4.28,-,-,-,-,-,-17.34,-,2.68,-,2.33,3.02,4.05,-,8.68,-,2.74,-,-45.69,Upgrade
19,Asset Turnover,0.54,0.53,-,-,-,0.48,0.36,0.81,0.45,0.45,0.28,0.76,0.49,0.49,0.29,0.82,0.45,0.40,0.24,1.04,Upgrade,
20,Inventory Turnover,-,1.34,1.27,-,-,-,1.06,0.82,2.44,0.94,0.96,0.61,2.17,1.14,1.15,0.70,2.73,1.19,1.07,0.87,5.62,Upgrade
21,Quick Ratio,0.64,0.64,0.65,0.61,-,-,0.54,0.57,0.68,0.56,0.63,0.56,0.72,0.59,0.59,0.61,0.79,0.66,0.68,0.72,1.26,Upgrade
22,Current Ratio,1.42,1.42,1.41,1.34,-,-,1.33,1.47,1.43,1.45,1.47,1.36,1.40,1.31,1.33,1.37,1.37,1.36,1.38,1.43,1.67,Upgrade
23,Return on Equity (ROE),2.05%,3.92%,-,-,-,3.86%,0.04%,-19.81%,1.86%,4.64%,-1.33%,45.33%,-1.14%,4.59%,-3.34%,1.92%,-0.02%,3.27%,-5.82%,-1.38%,Upgrade,
24,Return on Assets (ROA),2.20%,1.65%,-,-,-,1.57%,1.08%,-5.99%,2.56%,2.11%,0.90%,-1.60%,0.72%,2.58%,-0.06%,-2.62%,0.93%,1.37%,-1.00%,-1.79%,Upgrade,
25,Return on Capital (ROIC),3.98%,2.96%,-,-,-,2.83%,1.96%,-10.80%,4.58%,3.66%,1.52%,-2.73%,1.21%,4.20%,-0.09%,-4.14%,1.44%,2.05%,-1.38%,-2.32%,Upgrade,
26,Return on Capital Employed (ROCE),2.75%,3.28%,3.47%,3.62%,-,-,-0.59%,-0.19%,-,2.66%,1.39%,1.64%,-,0.47%,0.58%,-,-,-0.19%,-0.06%,-,-,Upgrade
27,Earnings Yield,0.58%,1.25%,1.41%,1.32%,-,-2.89%,-2.60%,-2.11%,-2.85%,10.36%,8.55%,8.27%,7.20%,1.37%,1.18%,1.42%,1.05%,0.48%,0.55%,-0.22%,0.27%,Upgrade
28,FCF Yield,3.71%,-4.13%,-2.65%,-6.36%,-,1.91%,-0.41%,2.29%,-0.54%,1.02%,3.02%,2.82%,2.97%,5.22%,3.66%,3.03%,1.81%,4.50%,5.19%,2.44%,-0.36%,Upgrade
29,Dividend Yield,0.97%,-,-,-,-,-,-,-,-,-,-,-,0.45%,-,-,-,-,-,-,-,-,Upgrade
30,Payout Ratio,197.47%,296.97%,6.00%,137.88%,-,18.56%,7.24%,115.26%,-,179.12%,6.62%,-,0.95%,70.74%,13.17%,-,30.35%,335.53%,17.19%,-,1951.85%,Upgrade
31,Buyback Yield / Dilution,2.58%,18.46%,-2.88%,-3.83%,-,-14.15%,18.73%,-25.96%,11.35%,-10.10%,-14.00%,18.31%,-9.28%,-13.90%,9.51%,3.84%,7.59%,24.30%,-5.04%,2.83%,-17.62%,Upgrade
32,Total Shareholder Return,3.55%,18.46%,-2.88%,-3.83%,-,-14.15%,18.73%,-25.96%,11.35%,-10.10%,-14.00%,18.31%,-8.83%,-13.90%,9.51%,3.84%,7.59%,24.30%,-5.04%,2.83%,-17.62%,Upgrade
