,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,1651,2012,2119,-,-,1938,1865,2372,1903,2588,2097,2011,2066,1982,1873,2607,1930,2038,2006,3262,Upgrade
1,Trading Asset Securities,787.21,728.96,636.65,-,-,574.82,367.32,765.13,389.46,64.73,397.06,1521,453.21,271.79,121.03,642.32,61.53,64.82,77.81,51.98,Upgrade
2,Cash & Short-Term Investments,2438,2741,2756,-,-,2513,2232,3137,2293,2653,2494,3532,2519,2254,1994,3249,1992,2103,2084,3314,Upgrade
3,Cash Growth,-,9.08%,23.48%,-,-,-5.28%,-10.50%,-11.16%,-9.00%,17.69%,25.05%,8.70%,26.48%,7.18%,-4.30%,-1.97%,5.89%,4.60%,16.51%,17.68%,Upgrade
4,Accounts Receivable,2311,2140,1914,-,-,1776,1623,1918,1938,2079,1604,1749,1940,1828,1894,1885,2186,1818,1755,2044,Upgrade
5,Other Receivables,165.77,154.03,163.87,-,-,183.5,204.16,186.69,227.72,272.12,242.5,218.68,264.45,244.16,237.24,239.94,232.16,302.74,206.54,203.87,Upgrade
6,Receivables,2477,2294,2078,-,-,1960,1827,2105,2165,2351,1846,1968,2205,2072,2132,2125,2418,2120,1961,2248,Upgrade
7,Inventory,5778,5622,5519,-,-,6258,5922,5452,6784,6393,5994,4930,5495,5222,4812,3794,4478,4147,3778,1533,Upgrade
8,Prepaid Expenses,-,72.08,-,-,-,159.67,-,1.03,-,112.71,-,70.12,-,28.71,-,-,-,54.03,-,-,Upgrade
9,Other Current Assets,198.24,151.48,312.02,-,-,121.8,578.16,259.03,236.28,159.4,279.04,150.02,276.37,219.6,290.64,221.96,233.3,148.23,256.57,276.66,Upgrade
10,Total Current Assets,10891,10881,10664,-,-,11012,10559,10955,11478,11669,10613,10650,10496,9796,9229,9390,9121,8573,8079,7372,Upgrade
11,"Property, Plant & Equipment",2088,1972,1875,-,-,1648,1545,1572,1530,1543,1542,1569,1744,1797,1849,1735,1761,1777,1811,1778,Upgrade
12,Long-Term Investments,3834,3857,3683,-,-,3824,3818,3836,4023,4062,3984,3998,3109,3093,3127,3144,3255,3327,3208,3210,Upgrade
13,Goodwill,6.23,6.23,6.23,-,-,6.23,6.23,6.23,15.65,15.66,15.71,15.8,23.99,24.11,24.12,24.35,46.72,46.64,46.27,46.28,Upgrade
14,Other Intangible Assets,1002,1008,1036,-,-,1000,1016,1039,1056,588.63,594.57,621.34,667.16,683.33,650.61,670.43,676.21,691.19,665.92,571.47,Upgrade
15,Long-Term Deferred Tax Assets,207.19,209.46,209.12,-,-,215.08,213.63,213.46,198.38,205.47,195.38,194.19,166.07,164.95,137.11,134.71,102.23,100.47,97.94,92.18,Upgrade
16,Long-Term Deferred Charges,53.62,46.4,42.93,-,-,54.61,57.2,69.16,76.09,88.24,97.72,91.36,173.05,195.27,187.6,174.87,159.96,157.98,206.38,283.7,Upgrade
17,Other Long-Term Assets,1150,981.83,973.98,-,-,1118,1192,1181,1208,1218,1177,1165,1140,1090,1116,1134,1157,1157,1152,1178,Upgrade
18,Total Assets,19233,18963,18490,-,-,18878,18407,18872,19584,19391,18219,18305,17519,16844,16320,16408,16279,15830,15267,14532,Upgrade
19,Accounts Payable,2043,2050,1755,-,-,1935,1880,2016,2252,2408,1993,1923,2202,2077,1794,1594,1569,1414,1296,1452,Upgrade
