,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Operating Revenue,2592,2468,1830,-,2375,2231,1656,3888,2189,2096,1278,3391,2120,2027,1174,3341,1795,1565,906.08,3734,Upgrade
1,Other Revenue,-0.87,0.87,-,-,-2.65,2.65,-,13.88,-8.44,8.44,-,22.7,-10.34,10.34,-,14.53,-7.44,7.44,-,14.07,Upgrade
2,Revenue,2591,2469,1830,-,2373,2233,1656,3902,2181,2105,1278,3414,2110,2037,1174,3355,1788,1573,906.08,3748,Upgrade
3,Revenue Growth (YoY),9.22%,10.53%,10.50%,-,8.79%,6.12%,29.57%,14.28%,3.38%,3.32%,8.89%,1.75%,18.01%,29.51%,29.58%,-10.48%,5.66%,-1.14%,-32.12%,28.56%,Upgrade
4,Cost of Revenue,1905,1767,1279,-,1672,1619,1163,3727,1551,1487,829.74,2832,1526,1441,752.1,2827,1280,1059,580.08,3066,Upgrade
5,Gross Profit,686.12,701.88,551.47,-,700.39,614.33,493.39,174.35,630.08,618.08,448.73,582.28,583.77,596.01,421.98,528.23,507.82,513.41,326,682.58,Upgrade
6,"Selling, General & Admin",316.17,302.69,293.83,-,281.67,294.55,243.48,298.22,279.44,274.17,240,372.43,313.01,293.72,280.36,383.12,264.61,262.01,271.63,394.13,Upgrade
7,Research & Development,250.84,222.58,218.19,-,236.36,231.25,215.2,283.96,247,191.05,187.32,241.96,247.63,173.22,197.48,237.98,199.63,185.55,194.91,261.74,Upgrade
8,Other Operating Expenses,-56.9,43.11,-50.76,-,-11.4,-29.27,-57.51,26.2,-105.86,-25.31,-45.41,68.34,-36.05,-39.48,-55.33,83.07,-28.51,-23.38,-80.34,109.37,Upgrade
9,Operating Expenses,517.77,578.03,464.14,-,522.33,497.12,412.69,635.15,430.37,459.08,383.07,697.21,534.3,425.17,425.77,699.71,448.08,428.08,385.54,785.97,Upgrade
10,Operating Income,168.35,123.86,87.34,-,178.06,117.2,80.7,-460.8,199.71,159.01,65.66,-114.93,49.46,170.84,-3.79,-171.49,59.74,85.34,-59.54,-103.38,Upgrade
11,Interest Expense,-6.96,-6.32,-7.89,-,-8.13,-7.19,-6.53,-8.83,-8.64,-8.5,-8.78,-14.85,-15.89,-6.78,-15.17,-22.16,-16.72,-22.25,-13.13,-23.79,Upgrade
12,Interest & Investment Income,4.25,5.98,2.77,-,3.97,3.15,2.66,4.94,3.03,8.99,1.77,1018,6.39,4.28,5.14,5.39,5.72,5.8,11.98,6.46,Upgrade
13,Currency Exchange Gain (Loss),52.11,-52.11,-,-,11.32,-11.32,-,26.94,2.49,-2.49,-,-33.68,17.37,-17.37,-,-12.13,-2.87,2.87,-,1.47,Upgrade
