,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,917.71,1144,1023,912.23,891.58,208.15,-,257,-,-,-,58.63,58.63,63.86,63.86
1,Trading Asset Securities,488.5,259.2,728.23,833.05,823.23,263.5,-,196.62,-,-,-,434.59,434.59,374.08,374.08
2,Cash & Short-Term Investments,1406,1403,1752,1745,1715,471.65,453.62,453.62,-,-,563.24,493.22,493.22,437.94,437.94
3,Cash Growth,-18.00%,197.56%,286.12%,284.75%,-,-,-19.46%,-8.03%,-,-,28.61%,-,-,-,-
4,Accounts Receivable,243.49,274.87,210.45,221.43,213.77,210.27,-,185.68,-,-,-,126.8,126.8,179.85,179.85
5,Other Receivables,22.8,18.49,12.29,7.89,13.79,14.41,-,16.55,-,-,-,18.04,18.04,9.12,9.12
6,Receivables,266.29,293.36,222.74,229.32,227.56,224.68,-,202.24,-,-,-,144.84,144.84,188.97,188.97
7,Inventory,226.77,226.64,238.87,234,207.57,174.16,-,214.1,-,-,-,160.48,160.48,92.29,92.29
8,Other Current Assets,229.27,173.19,29.45,30.81,28.7,20.78,-,16.54,-,-,-,16.95,16.95,16.29,16.29
9,Total Current Assets,2129,2097,2243,2239,2179,891.26,-,886.49,-,-,-,815.5,815.5,735.49,735.49
10,"Property, Plant & Equipment",345.47,349.12,338.7,343.88,333.45,338.15,-,325.73,-,-,-,224.55,224.55,211.2,211.2
11,Long-Term Investments,405.77,455.78,397.58,394.53,391.45,388.37,-,302.36,-,-,-,-,-,-,-
12,Other Intangible Assets,34.43,34.55,34.45,35.04,30.5,30.65,-,30.9,-,-,-,29.19,29.19,29.71,29.71
13,Long-Term Accounts Receivable,-,0.27,-,-,-,-,-,0.57,-,-,-,-,-,-,-
14,Long-Term Deferred Tax Assets,18.41,19.71,16.51,17.79,15.14,17.32,-,18.38,-,-,-,3.13,3.13,3.99,3.99
15,Long-Term Deferred Charges,13.17,13.36,10.35,10.35,9.14,9.53,-,10.08,-,-,-,1.03,1.03,0.98,0.98
16,Other Long-Term Assets,16.98,13.96,18.33,16.15,18.02,15.6,-,14.95,-,-,-,16.68,16.68,26.72,26.72
17,Total Assets,2963,2983,3058,3057,2976,1691,-,1589,-,-,-,1090,1090,1008,1008
18,Accounts Payable,262.48,291.29,238.27,257.81,253.39,217.02,-,219.64,-,-,-,209.66,209.66,193.51,193.51
19,Accrued Expenses,26.68,43.26,42.59,46.14,27.5,34.22,-,40.88,-,-,-,26.65,26.65,18.07,18.07
20,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,31,31
21,Current Portion of Leases,24.27,24.35,19.31,19.02,19.58,23.36,-,24.72,-,-,-,-,-,-,-
22,Current Income Taxes Payable,7.81,7.63,4.37,2.14,14,6.88,-,7.22,-,-,-,1,1,9.39,9.39
23,Current Unearned Revenue,55.58,59.05,73.61,59.62,54.81,57.36,-,57.81,-,-,-,51.18,51.18,29.33,29.33
24,Other Current Liabilities,21.34,28.84,29.26,40.87,21.13,20.62,-,24.56,-,-,-,34.62,34.62,39.52,39.52
25,Total Current Liabilities,398.16,454.43,407.41,425.61,390.4,359.45,-,374.84,-,-,-,323.11,323.11,320.81,320.81
26,Long-Term Leases,48.31,54.78,48.38,53.54,56.19,63.5,-,64.57,-,-,-,-,-,-,-
27,Long-Term Unearned Revenue,0.77,0.88,1.17,1.31,1.45,1.59,-,1.86,-,-,-,1.1,1.1,1.55,1.55
28,Long-Term Deferred Tax Liabilities,14.53,15.85,12.75,14.01,11.44,12.92,-,12.39,-,-,-,-,-,-,-
29,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,0.18,0.18,-,-
30,Total Liabilities,461.77,525.94,469.71,494.46,459.48,437.46,-,453.65,-,-,-,324.39,324.39,322.36,322.36
31,Common Stock,104.67,104.67,104.67,104.67,104.67,78.5,-,78.5,-,-,-,78.5,78.5,78.5,78.5
32,Additional Paid-In Capital,1504,1504,1504,1505,1504,285.37,-,283.17,-,-,-,236.18,236.18,236.18,236.18
33,Retained Earnings,946.16,886.45,1010,958.98,913.92,894.77,-,777.99,-,-,-,452.48,452.48,371.88,371.88
34,Treasury Stock,-49.5,-30.5,-23.66,-,-,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,-0.39,-0.36,-0.33,-0.29,-0.32,-0.25,-,-0.28,-,-,-,-,-,-,-
36,Total Common Equity,2505,2464,2595,2568,2522,1258,1139,1139,-,-,921.81,767.16,767.16,686.57,686.57
37,Minority Interest,-3.99,-6.86,-5.8,-5.33,-5.01,-4.98,-,-3.56,-,-,-,-1.47,-1.47,-0.84,-0.84
38,Shareholders' Equity,2501,2457,2589,2563,2517,1253,1136,1136,-,-,919.11,765.69,765.69,685.73,685.73
39,Total Liabilities & Equity,2963,2983,3058,3057,2976,1691,-,1589,-,-,-,1090,1090,1008,1008
40,Total Debt,72.57,79.13,67.69,72.55,75.77,86.86,89.29,89.29,-,-,24.45,-,-,31,31
41,Net Cash (Debt),1334,1324,1684,1673,1639,384.79,364.33,364.33,-,-,538.79,493.22,493.22,406.94,406.94
42,Net Cash Growth,-18.63%,244.16%,362.17%,359.12%,-,-,-32.38%,-26.13%,-,-,32.40%,-,-,-,-
43,Net Cash Per Share,12.95,12.62,16.21,15.86,17.14,4.90,4.63,4.67,-,-,6.85,6.30,6.30,5.18,5.18
44,Filing Date Shares Outstanding,103,103.78,103.98,104.67,104.67,104.67,78.67,78.5,78.2,78.71,78.71,78.5,78.5,78.5,78.5
45,Total Common Shares Outstanding,103,103.78,103.98,104.67,104.67,78.5,78.67,78.5,78.2,78.71,78.71,78.5,78.5,78.5,78.5
46,Working Capital,1730,1642,1835,1814,1788,531.81,-,511.65,-,-,-,492.39,492.39,414.68,414.68
47,Book Value Per Share,24.32,23.75,24.95,24.53,24.09,16.03,14.51,14.51,-,-,11.72,9.77,9.77,8.75,8.75
48,Tangible Book Value,2471,2430,2560,2533,2491,1228,1108,1108,-,-,893.31,737.97,737.97,656.86,656.86
49,Tangible Book Value Per Share,23.99,23.41,24.62,24.20,23.80,15.64,14.12,14.12,-,-,11.36,9.40,9.40,8.37,8.37
50,Buildings,-,259.95,-,224.74,-,226.39,-,226.39,-,-,-,80.43,80.43,80.43,80.43
51,Machinery,-,111.21,-,99.88,-,91.96,-,85.3,-,-,-,47.83,47.83,43,43
52,Construction In Progress,-,18.07,-,53.63,-,27.61,-,6.04,-,-,-,136.92,136.92,122.39,122.39
