,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4236,4008,3541,3595,4120,4598,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-12.83%,-12.83%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2898,2677,1852,1951,2476,4208,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,40.74,38.55,34.06,32.67,37.44,41.79,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,18.39,17.35,14.77,15.22,17.90,19.67,-,-,-,-,-,-,-,-,-,-
5,Forward PE,17.48,16.27,13.10,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,2.62,2.47,2.22,2.35,2.70,3.10,-,-,-,-,-,-,-,-,-,-
7,PB Ratio,1.68,1.60,1.44,1.39,1.61,1.83,-,-,-,-,-,-,-,-,-,-
8,P/TBV Ratio,1.62,1.62,1.46,1.40,1.63,1.85,-,-,-,-,-,-,-,-,-,-
9,P/FCF Ratio,32.19,30.46,24.59,24.61,21.00,18.90,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,20.06,20.06,16.41,16.30,15.83,15.14,-,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.79,1.65,1.16,1.28,1.62,2.84,-,-,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,12.52,12.81,8.64,8.75,10.30,17.44,-,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,16.50,14.82,9.94,9.97,11.60,19.57,-,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,22.02,20.34,12.86,13.36,12.62,17.29,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.08,0.08,-,-,0.03,-,-,0.05,0.05
16,Debt / EBITDA Ratio,0.31,0.22,0.28,0.35,0.40,0.22,0.26,0.34,0.52,-,-,0.09,-,-,0.13,0.13
17,Debt / FCF Ratio,0.55,0.55,0.55,0.46,0.37,0.31,0.33,0.34,0.39,-,-,0.16,-,-,0.50,1.01
18,Asset Turnover,0.56,0.62,0.46,0.52,0.67,-,-,-,-,-,-,0.94,0.98,1.09,-,
19,Inventory Turnover,5.22,4.80,5.78,4.08,5.16,5.16,-,-,-,-,-,-,4.46,5.66,7.57,-
20,Quick Ratio,4.20,4.20,3.73,4.85,4.64,4.98,1.94,-,1.75,-,-,-,1.97,1.97,1.95,1.95
21,Current Ratio,5.35,5.35,4.61,5.50,5.26,5.58,2.48,-,2.36,-,-,-,2.52,2.52,2.29,2.29
22,Return on Equity (ROE),9.47%,11.98%,7.84%,6.81%,14.45%,24.34%,15.54%,-,-,-,-,20.89%,22.04%,30.43%,-,
23,Return on Assets (ROA),6.34%,4.27%,3.42%,0.98%,8.69%,-,-,-,-,-,-,9.76%,10.14%,13.48%,-,
24,Return on Capital (ROIC),7.38%,4.96%,3.96%,1.13%,10.32%,11.87%,12.17%,-,-,-,-,13.89%,14.35%,18.96%,-,
25,Return on Capital Employed (ROCE),6.85%,7.04%,7.37%,7.38%,8.11%,8.32%,16.95%,-,18.03%,-,-,-,25.27%,19.72%,15.82%,7.91%
26,Earnings Yield,5.46%,5.76%,6.77%,6.57%,5.59%,5.08%,-,-,-,-,-,-,-,-,-,-
27,FCF Yield,3.11%,3.28%,4.07%,4.06%,4.76%,5.29%,-,-,-,-,-,-,-,-,-,-
28,Dividend Yield,5.88%,-,-,-,6.40%,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,87.31%,13.49%,250.85%,-,4.16%,69.30%,-,-,-,0.68%,27.96%,27.96%,9.97%,9.97%,8.27%,8.27%
30,Buyback Yield / Dilution,-26.15%,-7.71%,-33.71%,-32.06%,-35.16%,-22.28%,0.28%,0.05%,0.29%,0.10%,-0.26%,-0.26%,-,-,-,-
31,Total Shareholder Return,-20.26%,-7.71%,-33.71%,-32.06%,-28.76%,-22.28%,0.28%,0.05%,0.29%,0.10%,-0.26%,-0.26%,-,-,-,-
