,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,414.98,467.15,348.8,388.72,390.04,399.25,349.43,343.02,376.04,372.38,372.38,255.66,255.66,273.41,273.41
1,Other Revenue,-0.55,0.55,-,1.19,-0.47,0.47,-,1.22,-0.4,0.2,0.2,0.16,0.16,0.05,0.05
2,Revenue,414.43,467.69,348.8,389.91,389.57,399.72,349.43,344.23,375.64,372.57,372.57,255.82,255.82,273.46,273.46
3,Revenue Growth (YoY),6.38%,17.00%,-0.18%,13.27%,3.71%,7.29%,-6.21%,34.56%,46.84%,36.24%,36.24%,-,-,-,-
4,Cost of Revenue,271.77,336.26,240.98,285.08,246.41,272.86,235.7,245.87,237.77,265.89,265.89,178.94,178.94,174.59,174.59
5,Gross Profit,142.66,131.43,107.82,104.83,143.16,126.87,113.74,98.37,137.87,106.69,106.69,76.89,76.89,98.88,98.88
6,"Selling, General & Admin",35.7,41.41,37.36,55.14,38.31,38.93,34.26,43.19,33.5,31.8,31.8,18.44,18.44,26.08,26.08
7,Research & Development,30.78,29.29,26.44,32.87,25.83,21.7,19.31,26.83,18.78,16.85,16.85,16.95,16.95,13.25,13.25
8,Other Operating Expenses,2.14,4.07,3.37,2.79,-2.22,5.48,0.2,15.07,-3.01,-0.43,-0.43,1.83,1.83,2.21,2.21
9,Operating Expenses,67.22,79.89,65.94,93.06,62.02,65.96,54.11,84.98,46.13,49.74,49.74,34.34,34.34,44.52,44.52
10,Operating Income,75.44,51.54,41.88,11.77,81.15,60.9,59.62,13.39,91.74,56.95,56.95,42.55,42.55,54.36,54.36
11,Interest Expense,-0.87,-0.76,-0.82,-0.86,-0.94,-2.71,-0.74,-0.5,-0.36,-0.31,-0.31,-0.01,-0.01,-0.2,-0.2
12,Interest & Investment Income,6.42,26.26,12.71,5.18,6.89,-,4.35,5.4,4.54,3.3,3.3,3.26,3.26,2.76,2.76
