,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,108.51,58.37,40.27,94.47,171.63,197.27,244.44,277.1,-,210.66,236.57,264.06,220.42,245.49,38.16,98.88,-,-,-
1,Trading Asset Securities,-,-,-,-,-,15,15,10,25,-,61,50,70,10,15,5,-,-,-,-
2,Cash & Short-Term Investments,108.51,108.51,58.37,40.27,94.47,186.63,212.27,254.44,302.1,-,271.66,286.57,334.06,230.42,260.49,43.16,98.88,-,-,170.58
3,Cash Growth,14.86%,-41.86%,-72.50%,-84.17%,-68.73%,-,-21.86%,-11.21%,-9.57%,-,4.29%,563.94%,237.86%,-,-,-74.70%,-,-,-,-
4,Accounts Receivable,-,294.85,250.43,218.4,215.83,219.84,217.18,217.2,216.92,-,240.28,210.86,192.86,241.44,231.86,227.97,210.8,-,-,-
5,Other Receivables,-,9.07,3.58,4.1,4.9,3.82,4.09,2.25,2.33,-,1.81,1.79,0.42,1.65,2.31,0.37,0.29,-,-,-
6,Receivables,-,303.92,254.01,222.5,220.73,223.66,221.28,219.45,219.25,-,242.09,212.66,193.28,243.09,234.17,228.34,211.09,-,-,-
7,Inventory,-,98.42,96.36,104.51,93.99,84.24,71.86,62.75,59.41,-,56.16,50.32,42.93,63.25,50.58,55.84,44.68,-,-,-
8,Other Current Assets,-,298.12,79.48,25.12,7.18,10.81,9.56,12.09,13.98,-,10.25,9.58,10.47,8.02,14.76,21.36,19.01,-,-,-
9,Total Current Assets,-,808.97,488.22,392.41,416.37,505.33,514.97,548.73,594.75,-,580.17,559.12,580.73,544.78,560,348.7,373.67,-,-,-
10,"Property, Plant & Equipment",-,1057,1074,828.23,280.77,245.68,247.28,235.39,240.7,-,257.01,251.17,245.74,252.92,261.16,269.72,266.89,-,-,-
11,Long-Term Investments,-,3.06,10.98,1.73,3.11,4.51,5.36,3.4,3.62,-,4.06,4.51,4.38,4.42,4.61,5.65,5.71,-,-,-
12,Goodwill,-,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,-,33.85,32.98,33.67,34.53,33.13,32.09,17.72,18.49,-,19.55,14.57,14.92,13.27,13.44,13.73,11.23,-,-,-
14,Long-Term Deferred Tax Assets,-,8.05,4.91,3.99,4.33,3.34,3.56,3.57,3.62,-,4.7,4.17,3.98,4.02,4.25,4.66,4.38,-,-,-
15,Long-Term Deferred Charges,-,10.47,10.42,5.65,6.03,3.34,1.53,1.12,1.21,-,1.69,1.48,1.79,0.63,0.09,0.02,0.36,-,-,-
16,Other Long-Term Assets,-,84.99,84.06,92,121.65,49.47,34.86,47.1,40.31,-,4.81,16.42,14.82,7.9,1.95,2.21,0.34,-,-,-
17,Total Assets,-,2007,1707,1359,867.71,845.74,840.58,857.97,903.64,-,871.98,851.45,866.35,827.93,845.51,644.7,662.58,-,-,-
18,Accounts Payable,-,249.32,235.42,132.64,123.67,101.42,88.8,80.95,113.82,-,90.72,71.06,93.57,92.4,118.21,106.03,107.75,-,-,-
19,Accrued Expenses,-,8.22,10.11,8.49,14.14,8.13,18.08,8.88,18.29,-,13.7,3.21,13.26,3.73,5.1,3.87,5.73,-,-,-
20,Short-Term Debt,-,601.08,605.81,417.01,10.01,13,11,8.4,6.01,-,-,-,-,-,-,15.22,32.24,-,-,-
21,Current Portion of Leases,-,4.54,4.52,-,-,-,-,0.29,0.29,-,-,-,-,-,-,-,-,-,-,-
22,Current Income Taxes Payable,-,3.52,0.29,1.52,-,6.78,-2.83,7.75,0.86,-,0.44,7.45,1.58,2,-,1.04,0.27,-,-,-
23,Current Unearned Revenue,-,205.23,2.81,0.06,0.03,3.5,3.78,4.93,3,-,1.8,2.09,1.8,2.07,2.32,1.58,1.16,-,-,-
24,Other Current Liabilities,-,6.03,6.21,6.34,4.32,0.93,3.62,0.24,6.17,-,6.28,12.55,13,10.31,3.17,3.63,5.26,-,-,-
25,Total Current Liabilities,-,1078,865.18,566.05,152.17,133.75,122.45,111.43,148.43,-,112.94,96.35,123.2,110.52,128.81,131.36,152.41,-,-,-
26,Long-Term Debt,-,148.71,104.01,72.9,-,-,-,-,15.02,-,35.05,40.05,40.05,42.5,56.5,61.07,61.1,-,-,-
27,Long-Term Leases,-,6.87,6.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Long-Term Unearned Revenue,-,12.41,13.03,13.42,12.85,10.24,12.77,13.35,13.95,-,16.96,17.51,17.78,16.67,16.54,17.08,17.62,-,-,-
29,Total Liabilities,-,1246,989.02,652.37,165.02,143.99,135.22,124.78,177.41,-,164.95,153.92,181.04,169.69,201.85,209.51,231.13,-,-,-
30,Common Stock,-,145.43,145.43,111.87,111.87,111.87,111.87,111.87,111.87,-,111.87,111.87,111.87,111.87,111.87,83.9,83.9,-,-,-
