,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,176.08,131.39,99.39,70,71.42,72.78,79.28,65.9,100.33,86.52,70.69,58.1,93.89,73.4,69.74,65.61,88.38,66.88,95.69,22.19
1,Other Revenue,-,-16.61,16.61,-,4.29,-1.66,1.66,-,8.37,-3.81,3.81,-,18.09,-10.25,10.25,-,15.49,-4.51,4.51,-
2,Revenue,176.08,114.78,116,70,75.71,71.12,80.94,65.9,108.7,82.71,74.51,58.1,111.98,63.15,79.99,65.61,103.87,62.37,100.19,22.19
3,Revenue Growth (YoY),132.57%,61.40%,43.31%,6.23%,-30.35%,-14.01%,8.63%,13.43%,-2.93%,30.97%,-6.85%,-11.45%,7.80%,1.24%,-20.17%,195.62%,-,-,-,-
4,Cost of Revenue,213.96,78.65,69.86,45.89,64.52,54.63,51.79,43.09,77.54,61.1,51,32.8,76.71,41.35,55.86,46.26,66.77,38.94,67.78,14.5
5,Gross Profit,-37.89,36.13,46.14,24.11,11.19,16.49,29.15,22.81,31.16,21.6,23.51,25.3,35.27,21.79,24.13,19.34,37.1,23.43,32.42,7.69
6,"Selling, General & Admin",-35.13,14.45,12.02,8.66,9.7,13.08,9.94,9.77,9.55,12.13,8.97,8.2,6.53,8.73,10.17,7.16,7.12,7.19,7.12,4.93
7,Research & Development,-19.91,8.02,6.38,5.51,4.09,6.79,7.59,6.83,5.49,5.81,5.36,3.84,2.63,4.36,4.89,4.57,3.62,6.03,3.24,3.6
8,Other Operating Expenses,3.87,-4.91,4,-2.96,3.25,-0.05,0.06,-1.57,7.64,-2.05,-1.72,-1.27,0.5,0.28,-0.52,-1.13,6.48,-1.66,-1.32,-2.81
9,Operating Expenses,-56.21,19.82,23.9,12.48,15.29,20.47,18.07,15.49,22.01,14.79,14.25,12.28,8.15,12.67,13.48,11.87,20.07,10.75,12.95,4.75
