,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,8547,4827,5474,3556,5347,3325,2274,2367,2222,2589,2312,3199,2263,3054,2812,2903,-,-,-,-,-
1,Market Cap Growth,45.18%,45.18%,140.69%,50.21%,140.68%,28.44%,-1.64%,-26.01%,-1.83%,-15.24%,-17.78%,10.21%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,9239,5519,6140,4010,5183,3160,2082,2138,2005,2372,2096,2973,2093,2884,2626,2953,-,-,-,-,-
3,Last Close Price,58.77,33.19,37.64,24.45,36.69,22.81,15.60,16.24,15.03,17.51,15.64,21.64,15.31,20.66,19.03,19.64,-,-,-,-,-
4,PE Ratio,189.58,106.60,145.23,135.38,337.11,218.08,-,59.86,57.83,60.95,45.56,56.61,39.35,59.93,54.37,62.34,-,-,-,-,-
5,PS Ratio,18.00,10.12,14.54,10.68,17.96,11.32,6.96,7.00,6.70,7.99,7.06,10.40,7.23,9.52,9.00,9.31,-,-,-,-,-
6,PB Ratio,11.84,6.34,7.19,4.95,7.57,4.73,3.24,3.36,3.03,3.56,-,4.53,3.24,4.46,4.27,4.51,-,-,-,-,-
7,P/TBV Ratio,7.03,7.03,7.97,5.23,8.02,5.06,3.45,3.57,3.18,3.75,-,4.79,3.42,4.70,4.49,4.74,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-182.58,-,-,-,38.05,-,66.27,-,-,-,-,-
9,P/OCF Ratio,-,-,56.41,49.24,-,124.15,-,25.29,-,41.47,22.18,-,-,25.81,-,45.48,-,-,-,-,-
10,EV/Sales Ratio,19.37,11.57,16.31,12.05,17.40,10.76,6.37,6.32,6.04,7.32,6.40,9.66,6.68,8.99,8.40,9.47,-,-,-,-,-
11,EV/EBITDA Ratio,94.57,56.05,80.75,71.60,116.90,78.48,38.73,33.82,32.74,36.16,25.49,36.23,25.53,38.88,42.48,45.88,-,-,-,-,-
12,EV/EBIT Ratio,134.89,80.58,133.28,155.54,354.30,-,-,62.24,61.63,62.03,37.29,50.80,34.94,53.05,59.32,61.75,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,-,-,-,-,-,-167.29,-,-,-,35.93,-,67.43,-,-,-,-,-
14,Debt / Equity Ratio,1.00,1.00,1.00,1.00,0.69,0.01,0.02,0.02,0.01,0.03,-,0.05,0.06,0.06,0.06,0.09,0.18,0.22,-,-,0.36
15,Debt / EBITDA Ratio,7.79,7.43,8.06,5.81,6.47,0.72,0.91,0.15,0.15,0.32,-,0.53,0.52,0.29,0.83,0.85,1.67,1.11,-,-,5.92
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-1.50,-,-,-,0.50,-,1.29,-,-4.50,-,-,-
17,Asset Turnover,-,0.25,0.30,0.25,0.35,0.34,0.38,0.30,-,-,0.35,0.27,0.53,0.30,0.43,0.40,-,-,-,-,
18,Inventory Turnover,-,-,3.23,2.78,1.85,2.90,2.80,3.08,2.82,-,-,3.83,2.81,5.78,2.91,4.20,3.68,-,-,-,-
19,Quick Ratio,-,-,0.38,0.36,0.46,2.07,3.07,3.54,4.25,3.51,-,4.55,5.18,4.28,4.28,3.84,2.07,2.03,-,-,-
20,Current Ratio,-,-,0.75,0.56,0.69,2.74,3.78,4.21,4.92,4.01,-,5.14,5.80,4.71,4.93,4.35,2.65,2.45,-,-,-
21,Return on Equity (ROE),5.31%,3.99%,11.09%,4.58%,1.26%,-2.38%,6.18%,3.91%,-,-,5.22%,6.77%,15.47%,7.58%,7.77%,4.62%,-,-,-,-,
22,Return on Assets (ROA),-,2.20%,3.63%,2.61%,-1.20%,-1.18%,3.26%,2.08%,-,-,2.69%,3.79%,8.00%,2.73%,3.57%,2.86%,-,-,-,-,
23,Return on Capital (ROIC),3.01%,2.75%,4.22%,3.05%,-1.44%,-1.39%,3.80%,2.45%,-,-,3.13%,4.45%,9.51%,3.26%,4.39%,3.60%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,4.96%,3.06%,1.85%,-,-,4.78%,4.36%,5.06%,-,7.71%,7.93%,7.32%,6.17%,6.67%,11.03%,10.22%,-,-,-
25,Earnings Yield,0.53%,0.94%,0.69%,0.74%,0.30%,0.46%,1.30%,1.67%,1.73%,1.64%,2.19%,1.77%,2.54%,1.67%,1.84%,1.60%,-,-,-,-,-
26,FCF Yield,-,-15.27%,-23.42%,-12.13%,-4.50%,-0.05%,0.30%,0.01%,-0.55%,1.62%,1.20%,2.71%,2.63%,2.07%,1.51%,-,-,-,-,-,
27,Dividend Yield,0.09%,-,-,-,-,0.26%,-,-,-,1.32%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,80.73%,67.33%,12.80%,-,-,325.17%,65.20%,0.42%,5.43%,4.91%,3.90%,4.06%,4.35%,7.87%,-,2.33%,6.17%,1.57%,48.79%
29,Buyback Yield / Dilution,-3.19%,-28.47%,-23.35%,12.35%,-8.38%,20.73%,12.20%,-5.90%,7.86%,-1.61%,5.59%,-19.33%,-40.84%,-26.07%,-33.43%,-96.16%,29.69%,-,-,-,-
30,Total Shareholder Return,-3.09%,-28.47%,-23.35%,12.35%,-8.38%,20.99%,12.20%,-5.90%,7.86%,-0.29%,5.59%,-19.33%,-40.84%,-26.07%,-33.43%,-96.16%,29.69%,-,-,-,-
