,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,542.01,670.69,745.88,820.83,709.42,756.84,619.69,729.45,552.45,762.52,Upgrade
1,Revenue Growth (YoY),-27.33%,-18.29%,5.14%,8.46%,14.48%,3.75%,12.17%,-4.34%,-15.42%,-2.01%,Upgrade
2,Cost of Revenue,409.7,461.17,535.35,606,521.12,542.38,430.01,504.71,393.36,550.19,Upgrade
3,Gross Profit,132.31,209.52,210.54,214.84,188.3,214.46,189.68,224.74,159.09,212.33,Upgrade
4,"Selling, General & Admin",73.31,100.04,91.86,131.98,82.47,88.67,78.33,63.92,62.96,75.4,Upgrade
5,Research & Development,53.41,51.23,51.22,57.89,55.07,65.16,55.34,60.26,49.58,62.04,Upgrade
6,Operating Expenses,128.33,148.07,146.48,186.97,140.26,154.45,131.25,123.25,111.31,138.28,Upgrade
7,Operating Income,3.98,61.45,64.06,27.87,48.04,60.01,58.44,101.49,47.78,74.06,Upgrade
8,Interest Expense,-,-0.67,-,-2.41,-8.58,-0.38,-0.4,-0.15,-0.4,-0.47,Upgrade
9,Interest & Investment Income,18.15,18.31,17.28,21.46,9.98,14.32,14.7,13.88,17.02,19.58,Upgrade
10,Currency Exchange Gain (Loss),0.88,-3.64,3.98,20.67,25.63,-6.81,-6.9,-48.89,11.81,2.85,Upgrade
11,Other Non Operating Income (Expenses),8.49,7.11,10.91,10.14,11.38,10.68,11.67,8.08,16.5,7.87,Upgrade
12,EBT Excluding Unusual Items,31.5,82.55,96.22,77.72,86.45,77.82,77.51,74.42,92.7,103.89,Upgrade
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-0.2,0.41,-0.63,2.87,1.27,Upgrade
14,Gain (Loss) on Sale of Assets,-,-0.02,-,-0.45,-,-0,-,-,-,-1.36,Upgrade
15,Asset Writedown,-,-4.97,-,-,-,-,-,-,-,-,Upgrade
16,Other Unusual Items,-,-0.04,-,0.85,-0.5,-0.57,-0.03,1.14,-1.25,-1.74,Upgrade
17,Pretax Income,31.5,77.52,96.22,78.12,85.95,77.05,77.89,74.92,94.32,102.05,Upgrade
18,Income Tax Expense,1.03,11.97,10.6,-4.39,7.48,7.46,9.53,11.66,12.32,12.87,Upgrade
19,Earnings From Continuing Operations,30.47,65.55,85.62,82.51,78.47,69.59,68.36,63.26,82,89.18,Upgrade
20,Minority Interest in Earnings,0.67,-8.89,-10.22,-10.85,-2.7,-0.46,0.69,0.32,0.09,0.25,Upgrade
21,Net Income,31.14,56.66,75.39,71.66,75.77,69.13,69.05,63.58,82.08,89.43,Upgrade
22,Net Income to Common,31.14,56.66,75.39,71.66,75.77,69.13,69.05,63.58,82.08,89.43,Upgrade
23,Net Income Growth,-58.69%,-20.94%,-0.49%,3.66%,9.73%,8.73%,-15.88%,-28.91%,-6.40%,0.72%,Upgrade
24,Shares Outstanding (Basic),810,811,811,813,817,821,825,825,826,823,Upgrade
25,Shares Outstanding (Diluted),810,811,811,813,817,821,825,825,826,823,Upgrade
26,Shares Change (YoY),-0.20%,-0.23%,-0.63%,-1.01%,-1.07%,-0.48%,-0.12%,0.25%,-0.28%,-0.33%,Upgrade
27,EPS (Basic),0.04,0.07,0.09,0.09,0.09,0.08,0.08,0.08,0.10,0.11,Upgrade
28,EPS (Diluted),0.04,0.07,0.09,0.09,0.09,0.08,0.08,0.08,0.10,0.11,Upgrade
29,EPS Growth,-59.10%,-20.62%,0.13%,4.75%,10.92%,9.11%,-15.50%,-28.72%,-6.44%,0.94%,Upgrade
30,Free Cash Flow,216.42,268.92,-52.98,277.64,-309.49,42.06,-128.5,244.93,-127.82,270.34,Upgrade
31,Free Cash Flow Per Share,0.27,0.33,-0.07,0.34,-0.38,0.05,-0.16,0.30,-0.15,0.33,Upgrade
32,Dividend Per Share,-,-,-,-,-,0.081,0.021,0.082,0.027,0.089,Upgrade
33,Dividend Growth,-,-,-,-,-,-1.98%,-22.22%,-7.50%,-25.00%,1.36%,Upgrade
34,Operating Margin,0.73%,9.16%,8.59%,3.39%,6.77%,7.93%,9.43%,13.91%,8.65%,9.71%,Upgrade
35,Profit Margin,5.75%,8.45%,10.11%,8.73%,10.68%,9.13%,11.14%,8.72%,14.86%,11.73%,Upgrade
36,Free Cash Flow Margin,39.93%,40.10%,-7.10%,33.82%,-43.63%,5.56%,-20.74%,33.58%,-23.14%,35.45%,Upgrade
37,EBITDA,21.72,89.25,82.27,49.11,63.9,78.32,75.08,122.24,66.64,96.14,Upgrade
38,D&A For EBITDA,17.74,27.8,18.21,21.25,15.86,18.31,16.65,20.75,18.86,22.08,Upgrade
39,EBIT,3.98,61.45,64.06,27.87,48.04,60.01,58.44,101.49,47.78,74.06,Upgrade
