,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Oct '24 Oct 31, 2024","Apr '24 Apr 30, 2024","Oct '23 Oct 31, 2023","Apr '23 Apr 30, 2023","Oct '22 Oct 31, 2022","Apr '22 Apr 30, 2022","Oct '21 Oct 31, 2021","Apr '21 Apr 30, 2021","Oct '20 Oct 31, 2020","Apr '20 Apr 30, 2020"
0,Cash & Equivalents,43.71,40.38,45.28,29.14,23.95,20,30.8,47.47,63,48.3
1,Short-Term Investments,6.9,3.18,3.28,2.02,1.8,3.05,1.54,1.61,0.91,2.01
2,Trading Asset Securities,0.98,0.93,0.84,0.86,0.78,-,-,-,-,-
3,Cash & Short-Term Investments,51.59,44.49,49.4,32.02,26.52,23.05,32.34,49.08,63.91,50.3
4,Cash Growth,4.44%,38.95%,86.26%,38.93%,-18.00%,-53.04%,-49.39%,-2.43%,94.63%,95.04%
5,Accounts Receivable,58.95,72.66,91.13,117.4,117.61,88.05,85.99,85,78.15,93.64
6,Other Receivables,1.74,1.94,1.05,0.29,0.34,1.01,1.1,1.01,1.51,0.92
7,Receivables,60.69,74.6,92.18,117.69,117.95,89.06,87.09,86.01,79.65,100.9
8,Prepaid Expenses,0.28,0.09,0.02,1.5,0.03,0.15,0.02,0.7,0.58,1.24
9,Other Current Assets,-,-,-,-,-,2.19,-,-,-,-
10,Total Current Assets,112.56,119.18,141.59,151.21,144.49,114.45,119.45,135.78,144.15,152.44
11,"Property, Plant & Equipment",34.03,33.17,34.1,28.6,28.71,26.62,22.59,24.1,22.1,17.33
12,Long-Term Accounts Receivable,5.84,2.04,-,-,-,-,-,-,-,-
13,Long-Term Deferred Tax Assets,5.98,3.78,4.33,4.23,4.15,2.65,1.85,0.84,0.6,0.28
14,Other Long-Term Assets,-,-,-,-,-,2.79,5.06,5.15,5.23,5.31
15,Total Assets,158.4,158.17,180.02,184.03,177.35,146.51,148.96,165.87,172.08,175.36
16,Accounts Payable,15.51,17.92,19.58,39.33,23.55,8.57,9.59,14.13,12.67,11.21
17,Accrued Expenses,3.33,0.69,3.29,2.31,3.84,1.6,1.33,1.56,2.29,-
18,Current Portion of Long-Term Debt,1.33,1.33,1.33,1.33,1.24,0.72,0.72,1.68,1.68,0.72
19,Current Portion of Leases,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.18,0.18,0.1
20,Current Income Taxes Payable,0.69,0.23,1.25,0.69,0.34,0.15,0.36,0.47,0.77,2.76
21,Current Unearned Revenue,8.5,1.83,4.91,3.22,0.18,5.48,7.78,11.32,20.43,23.66
22,Other Current Liabilities,38.45,33.28,44.42,30.87,42.83,28.96,29.55,24.43,26.91,25.83
23,Total Current Liabilities,67.9,55.38,74.88,77.85,72.07,45.58,49.45,53.75,64.92,64.29
24,Long-Term Debt,13.04,16.23,16.9,17.48,17.98,15.87,10.86,14.33,15.16,11.48
25,Long-Term Leases,0.06,0.11,0.15,0.2,0.25,0.3,0.35,1.06,1.16,0.5
26,Other Long-Term Liabilities,1.59,1.52,0.58,2.16,2.65,0.95,3.47,2.27,1.04,0.52
27,Total Liabilities,82.59,73.23,92.51,97.68,92.94,62.69,64.12,71.4,82.28,76.79
28,Common Stock,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73
29,Additional Paid-In Capital,69.78,69.78,69.78,69.78,69.78,69.78,69.78,69.78,69.78,69.78
30,Retained Earnings,33.94,42.63,42.42,41.15,39.02,38.3,39.19,48.61,43.87,52.61
31,Comprehensive Income & Other,-30.62,-30.19,-26.97,-26.97,-26.97,-26.97,-26.97,-26.97,-26.97,-26.97
32,Total Common Equity,75.81,84.94,87.95,86.68,84.55,83.83,84.72,94.14,89.4,98.14
33,Minority Interest,-,-,-0.44,-0.33,-0.14,-0.01,0.12,0.33,0.4,0.43
34,Shareholders' Equity,75.81,84.94,87.51,86.35,84.41,83.82,84.84,94.47,89.8,98.57
35,Total Liabilities & Equity,158.4,158.17,180.02,184.03,177.35,146.51,148.96,165.87,172.08,175.36
36,Total Debt,14.53,17.76,18.48,19.11,19.56,16.98,12.03,17.24,18.17,12.8
37,Net Cash (Debt),37.06,26.73,30.92,12.91,6.96,6.06,20.31,31.84,45.74,37.5
38,Net Cash Growth,19.86%,107.00%,344.38%,112.98%,-65.74%,-80.96%,-55.59%,-15.10%,132.61%,197.44%
39,Net Cash Per Share,0.02,0.02,0.02,0.01,0.00,0.00,0.01,0.02,0.03,0.02
40,Filing Date Shares Outstanding,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
41,Total Common Shares Outstanding,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
42,Working Capital,44.66,63.8,66.72,73.36,72.43,68.87,70.01,82.04,79.23,88.15
43,Book Value Per Share,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06
44,Tangible Book Value,75.81,84.94,87.95,86.68,84.55,83.83,84.72,94.14,89.4,98.14
45,Tangible Book Value Per Share,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06
46,Land,34.36,27.45,28.57,28.46,-,-,-,4.59,3.8,14.68
47,Machinery,8.43,8.24,7.19,6.84,6.81,6.63,7.15,7.07,5.41,6.82
48,Construction In Progress,0.51,5.93,5.85,-,27.95,25.42,20.62,17.35,15.36,-
49,Leasehold Improvements,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
50,Order Backlog,-,312,-,-,-,-,-,-,-,-
