,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 4, 2025","Oct '24 Oct 31, 2024","Apr '24 Apr 30, 2024","Oct '23 Oct 31, 2023","Apr '23 Apr 30, 2023","Oct '22 Oct 31, 2022","Apr '22 Apr 30, 2022","Oct '21 Oct 31, 2021","Apr '21 Apr 30, 2021","Oct '20 Oct 31, 2020","Apr '20 Apr 30, 2020"
0,Market Capitalization,82,88,67,72,99,96,149,168,147,160,118
1,Market Cap Growth,22.22%,22.22%,-32.26%,-25.00%,-33.33%,-42.86%,1.09%,5.00%,24.32%,-39.39%,-66.06%
2,Enterprise Value,-136,-65,-112,-6,60,62,32,-16,-110,-44,8
3,Last Close Price,0.05,0.06,0.04,0.04,0.06,0.06,0.09,0.10,0.09,0.10,0.07
4,PE Ratio,-,-,6.13,3.71,5.90,-104.26,-,-,-6.30,-,2.22
5,PS Ratio,0.08,0.09,0.06,0.04,0.06,0.09,0.18,0.15,0.15,0.19,0.11
6,PB Ratio,0.18,0.20,0.14,0.14,0.20,0.21,0.31,0.34,0.27,0.31,0.22
7,P/TBV Ratio,0.20,0.20,0.14,0.14,0.19,0.20,0.31,0.34,0.27,0.32,0.22
8,P/FCF Ratio,2.48,2.68,-,0.51,55.26,-,-,-,-,1.03,0.91
9,P/OCF Ratio,2.02,2.02,-,0.40,4.75,-,-,-,-,0.86,0.88
10,EV/Sales Ratio,-,-,-,-,0.03,0.05,0.04,-,-,-,0.01
11,EV/EBITDA Ratio,-,-,-,-,-9.00,-,-0.37,-,-,-,0.13
12,EV/EBIT Ratio,-,-,-,-,-4.42,-,-0.34,-,-,-,0.14
13,EV/FCF Ratio,-4.15,-,-,-,33.33,-,-,-,-,-,0.06
14,Debt / Equity Ratio,0.19,0.19,0.21,0.21,0.22,0.23,0.20,0.14,0.18,0.20,0.13
15,Debt / FCF Ratio,2.60,2.60,-,0.75,62.64,-,-,-,-,0.66,0.54
16,Return on Capital Employed (ROCE),-,-,2.92%,4.08%,-2.17%,-,-16.80%,-,-8.42%,-,8.77%
17,Earnings Yield,-61.13%,-56.68%,16.31%,26.95%,16.95%,-0.96%,-39.36%,-16.07%,-15.86%,-16.22%,45.02%
18,FCF Yield,40.27%,37.34%,151.66%,194.20%,1.81%,-117.49%,-110.17%,-98.32%,-19.25%,97.26%,109.70%
