,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Operating Revenue,1638,1377,1250,1278,1352,1226,1378,1648
1,Other Revenue,-52.09,52.09,-,32.05,-56.48,56.48,-,31.47
2,Revenue,1585,1429,1250,1310,1296,1282,1378,1680
3,Revenue Growth (YoY),22.34%,11.42%,-9.27%,-22.02%,-,-,-,-
4,Cost of Revenue,1147,1064,971.76,1256,1023,903.03,959.28,1224
5,Gross Profit,438.58,364.34,278.54,53.7,272.5,379.17,418.73,456.24
6,"Selling, General & Admin",81.54,67.26,71.74,72.32,74.45,60.42,64.52,51.08
7,Other Operating Expenses,-0.85,19.03,4.81,-22.03,-15.37,-13.58,-12.53,18.23
8,Operating Expenses,80.69,84.44,76.54,48.07,60.45,46.91,49.13,65.93
9,Operating Income,357.89,279.9,202,5.63,212.06,332.26,369.6,390.31
10,Interest Expense,-8.39,-6.99,-7.67,-9.07,-11.71,-13.69,-8.68,-16.46
11,Interest & Investment Income,20.9,26.66,24.11,33.47,18.73,19.27,16.31,24.43
12,Earnings From Equity Investments,-,-0.68,0.68,-8.77,-,0.15,-0.15,-21.01
13,Currency Exchange Gain (Loss),156.48,-156.48,-,36.15,45.77,-45.77,-,66.38
14,Other Non Operating Income (Expenses),-0.55,76.81,-77.67,-0.06,-75.28,10.87,-11.6,0.55
15,EBT Excluding Unusual Items,526.34,219.22,141.45,57.36,189.56,303.09,365.49,444.19
16,Gain (Loss) on Sale of Investments,2.14,0.11,0.21,0.16,-0.46,0.9,0.4,0.22
17,Gain (Loss) on Sale of Assets,8.86,9.11,15.07,7.42,7.55,11.19,0.01,1.27
18,Asset Writedown,-0.16,-,-,-,-0.06,-0.05,0.05,-
19,Other Unusual Items,-13.73,13.75,0.02,-15.93,-0.77,0.77,-,3.61
20,Pretax Income,523.45,242.19,156.76,49.01,195.83,315.9,365.95,449.28
21,Income Tax Expense,114.92,45.39,28.29,2.99,42.75,56.41,72.98,104.38
22,Earnings From Continuing Operations,408.53,196.8,128.47,46.02,153.08,259.5,292.97,344.9
23,Minority Interest in Earnings,-6.74,-3.81,-4.21,-1.72,-2.07,-3.04,-2.18,-2.04
24,Net Income,401.79,192.99,124.26,44.3,151,256.46,290.79,342.86
25,Net Income to Common,401.79,192.99,124.26,44.3,151,256.46,290.79,342.86
26,Net Income Growth,166.08%,-24.75%,-57.27%,-87.08%,-,-,-,-
27,Shares Outstanding (Basic),1314,1295,1243,1133,1136,1071,1118,1102
28,Shares Outstanding (Diluted),1314,1295,1243,1133,1136,1071,1118,1102
29,Shares Change (YoY),15.67%,21.00%,11.11%,2.79%,-,-,-,-
30,EPS (Basic),0.31,0.15,0.10,0.04,0.13,0.24,0.26,0.31
31,EPS (Diluted),0.31,0.15,0.10,0.04,0.13,0.24,0.26,0.31
32,EPS Growth,130.04%,-37.81%,-61.54%,-87.40%,-,-,-,-
33,Free Cash Flow,536.95,375.92,152.97,270.01,201.84,301.33,433.26,651.16
34,Free Cash Flow Per Share,0.41,0.29,0.12,0.24,0.18,0.28,0.39,0.59
35,Dividend Per Share,-,0.110,-,0.287,-,-,-,0.686
36,Dividend Growth,-,-,-,-58.16%,-,-,-,-
37,Gross Margin,27.66%,25.50%,22.28%,4.10%,21.03%,29.57%,30.39%,27.16%
38,Operating Margin,22.57%,19.59%,16.16%,0.43%,16.36%,25.91%,26.82%,23.23%
39,Profit Margin,25.34%,13.51%,9.94%,3.38%,11.65%,20.00%,21.10%,20.41%
40,Free Cash Flow Margin,33.87%,26.31%,12.23%,20.61%,15.57%,23.50%,31.44%,38.76%
41,EBITDA,390.84,319.32,234.95,38.53,247.2,364.13,397.14,417.16
42,EBITDA Margin,24.65%,22.35%,18.79%,2.94%,19.07%,28.40%,28.82%,24.83%
43,D&A For EBITDA,32.95,39.42,32.95,32.9,35.14,31.87,27.54,26.85
44,EBIT,357.89,279.9,202,5.63,212.06,332.26,369.6,390.31
45,EBIT Margin,22.57%,19.59%,16.16%,0.43%,16.36%,25.91%,26.82%,23.23%
46,Effective Tax Rate,21.95%,18.74%,18.05%,6.10%,21.83%,17.86%,19.94%,23.23%
47,Revenue as Reported,1585,1429,1250,5266,1296,1282,1378,6840
