,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Cash & Equivalents,6061,5484,5764,5779,3636,3612,-,3931
1,Cash & Short-Term Investments,6061,5484,5764,5779,3636,3612,3931,3931
2,Cash Growth,66.67%,51.83%,46.63%,47.01%,-,-,-,-
3,Accounts Receivable,599.52,552.93,672.85,517.47,819.09,648.61,-,896.98
4,Other Receivables,14.5,30.94,31.7,27.78,1.25,0.59,-,11.44
5,Receivables,614.02,583.86,704.55,545.26,820.35,649.19,-,908.43
6,Inventory,65.56,66.18,56.65,58.86,68.75,75.63,-,70.67
7,Other Current Assets,17.68,12.19,22.21,15.88,38.01,19.56,-,12.19
8,Total Current Assets,6758,6146,6547,6399,4564,4356,-,4922
9,"Property, Plant & Equipment",2785,2732,2800,2930,2896,3010,-,3150
10,Long-Term Investments,508.36,501.58,499.98,499.18,497.51,500.08,-,493.51
11,Other Intangible Assets,29.53,26.88,26.79,27.36,27.42,28,-,29.16
12,Long-Term Deferred Tax Assets,3.6,4.09,6.88,6.94,4.9,13.84,-,9.05
13,Long-Term Deferred Charges,2.13,1.68,3.85,2.99,13.98,2.43,-,7.86
14,Other Long-Term Assets,23.51,27.43,27.05,42.83,14.39,48.82,-,15.69
15,Total Assets,10110,9440,9912,9908,8018,7959,-,8628
16,Accounts Payable,527.19,407.96,525.62,442.56,615.79,451.51,-,729.88
17,Accrued Expenses,38.85,32.76,28.71,23.57,40.68,28.78,-,65.57
18,Current Portion of Leases,357.71,242.55,316.52,399.56,416.72,513.67,-,626.07
19,Current Income Taxes Payable,176.48,83.61,80.44,64.31,103.93,118.13,-,123.11
20,Current Unearned Revenue,1.08,5.63,6.22,6.9,4.3,4.68,-,4.27
21,Other Current Liabilities,338.92,231.43,302.53,390.3,297.01,367.48,-,262.37
22,Total Current Liabilities,1440,1004,1260,1327,1478,1484,-,1811
23,Long-Term Leases,377.42,354.52,376.74,436.56,488.09,551.75,-,749.09
24,Total Liabilities,1822,1363,1641,1768,1970,2040,-,2564
25,Common Stock,1294,1294,1294,1294,1100,1100,-,1100
26,Additional Paid-In Capital,3437,3437,3436,3435,1568,1568,-,1566
27,Retained Earnings,3429,3169,3348,3224,3179,3028,-,3236
28,Comprehensive Income & Other,83.75,142.01,156.01,153.1,169.05,174.98,-,118.8
29,Total Common Equity,8244,8042,8234,8106,6017,5871,6021,6021
30,Minority Interest,43.86,35.38,36.58,33.61,30.95,48.22,-,42.59
31,Shareholders' Equity,8288,8078,8271,8140,6048,5919,6063,6063
32,Total Liabilities & Equity,10110,9440,9912,9908,8018,7959,-,8628
33,Total Debt,735.14,597.07,693.26,836.12,904.81,1065,1375,1375
34,Net Cash (Debt),5326,4887,5070,4943,2732,2547,2556,2556
35,Net Cash Growth,94.96%,91.91%,98.40%,93.39%,-,-,-,-
36,Net Cash Per Share,4.05,3.77,4.08,4.36,2.40,2.38,2.29,2.32
37,Filing Date Shares Outstanding,1294,1294,1294,1294,1100,1100,1118,1100
38,Total Common Shares Outstanding,1294,1294,1294,1294,1100,1100,1118,1100
39,Working Capital,5318,5143,5287,5072,3085,2872,-,3111
40,Book Value Per Share,6.37,6.21,6.36,6.26,5.47,5.34,5.47,5.47
41,Tangible Book Value,8214,8015,8207,8079,5989,5843,5992,5992
42,Tangible Book Value Per Share,6.35,6.19,6.34,6.24,5.44,5.31,5.45,5.45
43,Buildings,-,280.7,-,281.01,-,276.94,-,274.55
44,Machinery,-,2384,-,2012,-,2533,-,1915
45,Construction In Progress,-,185.08,-,503.11,-,550.5,-,340.11
