,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Operating Revenue,211.26,211.82,195.05,-,269.16,357.19,280.97,353.21,356.17,363.43,363.43,418.78,418.78,291.15,291.15,189.31
1,Other Revenue,-4.25,4.25,-,-,-2.96,2.96,-,1.48,-1.48,1.48,1.48,4.01,4.01,0.57,0.57,1.12
2,Revenue,207.02,216.07,195.05,271.5,266.2,360.15,280.97,354.69,354.69,364.91,364.91,422.79,422.79,291.72,291.72,190.43
3,Revenue Growth (YoY),-22.23%,-40.01%,-30.58%,-23.46%,-24.95%,-1.30%,-23.00%,-16.11%,-16.11%,25.09%,25.09%,122.02%,-,-,-,-
4,Cost of Revenue,154.7,190.79,167.73,-,208.05,285.58,229.79,288.11,279.4,300.34,300.34,347.56,347.56,235.79,235.79,148.7
5,Gross Profit,52.32,25.28,27.33,43.75,58.15,74.57,51.18,66.58,75.29,64.57,64.57,75.23,75.23,55.93,55.93,41.73
6,"Selling, General & Admin",14.9,14.31,13.55,-,13.09,14.03,12.42,18.07,17.98,12.03,12.03,14.88,14.88,12.3,12.3,9.52
7,Research & Development,26.62,24.71,27.95,-,24.9,25.19,23.41,25.77,25.86,25.2,25.2,21.19,21.19,21.06,21.06,17.64
8,Other Operating Expenses,-0.55,-0.21,-1.15,-,0.65,0.79,-0.51,-0.85,-3.67,0.35,0.35,0.16,0.16,0.53,0.53,0.05
9,Operating Expenses,40.93,40.01,39.68,-,36.51,42.78,34.6,43.84,39.83,37.92,37.92,39.33,39.33,33.77,33.77,27.07
10,Operating Income,11.39,-14.73,-12.36,-,21.64,31.79,16.58,22.75,35.47,26.65,26.65,35.89,35.89,22.16,22.16,14.66
11,Interest Expense,-0.1,-0.16,-1.19,-1.11,-1.57,-1.89,-2.05,-2.58,-0.57,-1.16,-1.16,-1.45,-1.45,-1.56,-1.56,-2.05
12,Interest & Investment Income,1.8,2.21,1.46,-,0.73,0.82,0.58,0.54,1.16,0.68,0.68,0.5,0.5,0.66,0.66,0.74
13,Currency Exchange Gain (Loss),0.36,-0.36,-,-,1.26,-1.26,-,0.21,0.05,-0.05,-0.05,0.17,0.17,-0.08,-0.08,0.05
14,Other Non Operating Income (Expenses),-0.79,0.19,-0.11,-,-1.76,-0.14,0.77,1.13,-2.75,0.11,0.11,0.21,0.21,0.16,0.16,0.23
