,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,166.72,180.51,295.85,651.35,-,190.93,-,158.74,158.74,128.98,128.98,164.8,164.8,118.19,118.19,257.47
1,Trading Asset Securities,0.27,0.22,0.18,0.21,-,0.21,-,0.22,0.22,0.32,0.32,0.36,0.36,0.3,0.3,-
2,Cash & Short-Term Investments,166.99,180.73,296.04,651.56,-,191.14,158.97,158.97,158.97,129.3,129.3,165.16,165.16,118.5,118.5,257.47
3,Cash Growth,-,-5.45%,86.23%,309.87%,-,47.83%,22.95%,-3.75%,-3.75%,9.11%,9.11%,-35.85%,-,-,-,-
4,Accounts Receivable,280.77,282.21,279.31,375.18,-,403.48,-,412.88,412.88,512.2,512.2,539.73,539.73,440.21,440.21,361.79
5,Other Receivables,1.75,2.02,2.66,2.75,-,17.85,-,2.74,2.74,20.86,20.86,14.59,14.59,8.83,8.83,8.34
6,Receivables,282.53,284.23,281.97,377.94,-,421.34,-,415.62,415.62,533.06,533.06,554.33,554.33,449.04,449.04,370.14
7,Inventory,382.26,373.6,385.22,421.01,-,485.5,-,566.72,566.72,632.6,632.6,605.1,605.1,495.12,495.12,304.97
8,Other Current Assets,350.2,350.26,348.7,19.63,-,4.34,-,25.6,25.6,30.27,30.27,22.39,22.39,22.44,22.44,8.28
9,Total Current Assets,1182,1189,1312,1470,-,1102,-,1167,1167,1325,1325,1347,1347,1085,1085,940.85
10,"Property, Plant & Equipment",414.4,418.24,419.42,419.23,-,419.38,-,425.88,425.88,412.93,412.93,351.52,351.52,304.99,304.99,243.83
11,Other Intangible Assets,66.81,67.59,67.57,68.38,-,69.86,-,71.67,71.67,72.33,72.33,73.66,73.66,75.4,75.4,78.77
12,Long-Term Deferred Tax Assets,40.17,44.35,39.91,34.68,-,33.9,-,30.47,30,25.67,25.67,23.85,23.85,21.93,21.93,16.07
13,Long-Term Deferred Charges,0.98,0.33,0.09,0.19,-,0.39,-,0.28,0.28,0.04,0.04,-,-,-,-,-
14,Other Long-Term Assets,0.97,1.23,-,-,-,-0,-,0.14,0.14,0.14,0.14,0.19,0.19,0.14,0.14,0.14
15,Total Assets,1705,1721,1839,1993,-,1626,-,1695,1695,1836,1836,1796,1796,1488,1488,1280
