,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Market Capitalization,4968,5302,5229,6074,5954,-,-,-,-,-,-,-,-,-,-,-,-
1,Enterprise Value,4812,5132,4999,6047,5926,-,-,-,-,-,-,-,-,-,-,-,-
2,Last Close Price,17.70,18.89,18.63,21.43,21.01,-,-,-,-,-,-,-,-,-,-,-,-
3,PS Ratio,5.20,5.96,5.51,5.56,5.05,-,-,-,-,-,-,-,-,-,-,-,-
4,PB Ratio,3.56,3.80,3.73,4.15,4.04,-,-,-,-,-,-,-,-,-,-,-,-
5,P/TBV Ratio,3.99,3.99,3.92,4.35,4.24,-,-,-,-,-,-,-,-,-,-,-,-
6,P/FCF Ratio,-,-,-,35.74,26.70,-,-,-,-,-,-,-,-,-,-,-,-
7,P/OCF Ratio,166.73,-,-,29.65,24.17,-,-,-,-,-,-,-,-,-,-,-,-
8,EV/Sales Ratio,5.38,5.77,5.27,5.53,5.03,-,-,-,-,-,-,-,-,-,-,-,-
9,EV/EBITDA Ratio,519.62,247.13,-,-,57.40,-,-,-,-,-,-,-,-,-,-,-,-
10,EV/EBIT Ratio,-,-805.94,-,-,74.69,-,-,-,-,-,-,-,-,-,-,-,-
11,EV/FCF Ratio,-8251.60,-,-,35.58,26.58,-,-,-,-,-,-,-,-,-,-,-,-
12,Debt / Equity Ratio,0.01,0.01,0.01,0.04,0.09,-,0.16,0.23,0.23,0.23,0.24,0.24,0.23,0.23,0.18,0.18,0.25
13,Debt / EBITDA Ratio,0.84,0.14,-,-,2.12,-,1.03,2.61,1.87,1.36,1.85,1.85,1.27,1.27,1.42,1.42,2.35
14,Debt / FCF Ratio,-,-,-,0.39,0.61,-,0.87,1.68,-143.57,-6.79,-,-,-1.85,-4.86,-,-,2.53
15,Asset Turnover,0.48,0.49,-,0.55,-,-,-,0.84,0.80,0.79,0.80,0.94,1.03,0.78,-,-,
16,Inventory Turnover,-,1.64,2.01,-,-,-,-,-,2.03,1.86,1.90,1.94,2.30,2.53,1.90,-,-
17,Quick Ratio,1.50,1.50,1.52,1.58,2.50,-,1.27,-,0.99,0.99,0.85,0.85,0.89,0.89,0.96,0.96,1.36
18,Current Ratio,3.94,3.94,3.87,3.59,3.57,-,2.28,-,2.01,2.01,1.70,1.70,1.66,1.66,1.83,1.83,2.03
19,Return on Equity (ROE),-2.04%,-2.48%,-,2.87%,-,12.03%,5.92%,9.05%,9.26%,11.76%,12.11%,14.84%,15.41%,10.74%,-,-,
20,Return on Assets (ROA),1.66%,-2.07%,-,1.17%,-,-,-,3.35%,5.02%,3.63%,3.67%,5.00%,5.47%,3.72%,-,-,
21,Return on Capital (ROIC),2.02%,-2.50%,-,1.51%,-,6.61%,3.42%,4.69%,7.45%,5.70%,5.90%,8.24%,8.72%,5.72%,-,-,
22,Return on Capital Employed (ROCE),-,-0.45%,-,-,5.02%,-,9.33%,-,9.99%,11.18%,11.81%,11.39%,11.78%,9.63%,6.60%,4.12%,1.79%
23,Earnings Yield,-0.41%,-0.28%,0.15%,0.78%,1.20%,-,-,-,-,-,-,-,-,-,-,-,-
24,FCF Yield,-0.01%,1.04%,2.69%,2.80%,3.74%,-,-,-,-,-,-,-,-,-,-,-,-
25,Payout Ratio,0.00%,-,-,-,-,9.44%,8.26%,12.97%,10.73%,10.73%,8.50%,8.50%,12.20%,12.20%,-,-,11.51%
26,Buyback Yield / Dilution,-25.50%,-33.18%,-33.39%,-33.38%,-31.01%,1.82%,-0.15%,-0.13%,-1.04%,-1.04%,-0.49%,-0.49%,3.05%,-,-,-,-
27,Total Shareholder Return,-24.48%,-33.18%,-33.39%,-33.38%,-31.01%,1.82%,-0.15%,-0.13%,-1.04%,-1.04%,-0.49%,-0.49%,3.05%,-,-,-,-
