,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,116,165,226,248,252,257,370,361,383,344,435,Upgrade
1,Market Cap Growth,-33.33%,-33.33%,-10.34%,-3.39%,-31.76%,-28.92%,-3.41%,5.06%,-12.00%,-35.25%,-18.03%,Upgrade
2,Enterprise Value,637,530,767,679,1208,1248,1456,1142,1462,1525,1859,Upgrade
3,Last Close Price,0.13,0.19,0.26,0.28,0.29,0.29,0.41,0.40,0.42,0.38,0.46,Upgrade
4,PE Ratio,-,-1.58,-,-,-,7.14,8.04,9.01,-10.26,-,7.24,Upgrade
5,PS Ratio,0.03,0.04,0.06,0.07,0.06,0.06,0.08,0.08,0.10,0.09,0.10,Upgrade
6,PB Ratio,0.07,0.10,0.14,0.14,0.13,0.12,0.17,0.17,0.18,0.19,0.22,Upgrade
7,P/TBV Ratio,0.10,0.10,0.14,0.14,0.13,0.12,0.17,0.17,0.18,0.19,0.22,Upgrade
8,P/FCF Ratio,-,-,3.22,0.41,0.44,2.16,-1.78,-,0.84,0.87,1.21,Upgrade
9,P/OCF Ratio,2.60,-,0.97,0.37,0.38,1.16,-3.91,-,0.68,0.64,0.83,Upgrade
10,EV/Sales Ratio,0.17,0.14,0.21,0.19,0.29,0.27,0.33,0.27,0.38,0.39,0.43,Upgrade
11,EV/EBITDA Ratio,4.54,4.05,6.53,4.59,6.07,3.89,3.90,2.87,5.28,5.51,4.24,Upgrade
12,EV/EBIT Ratio,-,-7.41,-,-,-,53.45,19.06,10.93,-71.19,-,15.78,Upgrade
13,EV/FCF Ratio,-5.83,-,10.92,1.14,2.09,10.51,-6.99,-,3.22,3.85,5.16,Upgrade
14,Debt / Equity Ratio,0.57,0.57,0.78,1.06,0.78,0.88,0.84,0.88,0.76,0.94,0.98,Upgrade
15,Debt / FCF Ratio,-,-,18.25,3.12,2.60,15.41,-8.90,-,3.49,4.30,5.42,Upgrade
16,Return on Capital Employed (ROCE),-,-3.53%,-,-,-,0.69%,2.16%,3.73%,-0.66%,-,3.53%,Upgrade
17,Earnings Yield,-90.21%,-63.14%,-58.76%,-45.23%,-22.97%,14.00%,12.44%,11.10%,-9.74%,-6.49%,13.82%,Upgrade
18,FCF Yield,-94.30%,-66.01%,31.04%,241.08%,229.26%,46.26%,-56.30%,15.56%,118.66%,115.24%,82.86%,Upgrade
