,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,486.71,572.66,613.15,722.68,689.48,658.71,730.68,694.13,694.91,273.08,-,252.97,-,-,-
1,Trading Asset Securities,-,-,-,-,-,33.56,31.87,32.25,32.66,31.2,-,19.24,-,-,-
2,Cash & Short-Term Investments,486.71,572.66,613.15,722.68,689.48,692.27,762.56,726.38,727.57,304.28,272.21,272.21,-,-,244.36
3,Cash Growth,-29.41%,-17.28%,-19.59%,-0.51%,-5.24%,127.51%,180.14%,166.85%,-,-,11.40%,-,-,-,-
4,Accounts Receivable,288.14,209.78,173.93,170.8,200.46,146.23,141.1,128.05,170.78,151.05,-,160.78,-,-,-
5,Other Receivables,3.78,7.3,2.49,4.39,3.04,6.6,0.42,4.24,1.04,0.64,-,5.73,-,-,-
6,Receivables,291.92,217.07,176.42,175.19,203.5,152.83,141.52,132.29,171.82,151.7,-,166.52,-,-,-
7,Inventory,234.89,241.74,201.3,180.01,163.38,180.86,146.09,169.78,171.96,181.69,-,200.84,-,-,-
8,Prepaid Expenses,-,1.19,-,-,-,-,-,-,-,-,-,0,-,-,-
9,Other Current Assets,98.31,51.22,56.28,26.68,32.31,40.69,20.37,20.68,23.23,24.68,-,22.03,-,-,-
10,Total Current Assets,1112,1084,1047,1105,1089,1067,1071,1049,1095,662.34,-,661.6,-,-,-
11,"Property, Plant & Equipment",434.64,409.67,392.33,370.43,365.02,352.36,310.46,298.42,270.86,237.78,-,209.63,-,-,-
12,Long-Term Investments,45.67,41.87,40.47,37.71,15.54,15.54,8.55,8.56,1.57,-,-,-,-,-,-
13,Other Intangible Assets,34.25,34.57,34.9,35.13,35.53,35.85,33.82,34.03,34.23,34.43,-,31.34,-,-,-
14,Long-Term Deferred Tax Assets,5.35,5.13,5.04,5.39,5.12,4.98,4.05,4.24,3.84,3.84,-,3.67,-,-,-
15,Long-Term Deferred Charges,0.26,0.36,0.44,0.56,0.44,0.53,0.63,0.75,0.87,1.03,-,1.37,-,-,-
16,Other Long-Term Assets,1.35,2.1,1.01,2.8,10.94,1.43,-,0.47,0.01,1.52,-,0.76,-,-,-
17,Total Assets,1633,1578,1521,1557,1521,1477,1428,1396,1406,940.95,-,908.37,-,-,-
18,Accounts Payable,169.9,168.22,123.94,141.6,139.91,139.54,95.84,110.56,129.97,144.68,-,238.53,-,-,-
19,Accrued Expenses,17.21,17.95,12.13,20.81,14.15,12.93,9.76,17.29,12.82,12.88,-,17.85,-,-,-
20,Short-Term Debt,-,-,-,20.54,20.36,20.18,40,-,-,-,-,-,-,-,-
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,0.67,-,1.28,1.41,-,-,-,-,-
22,Current Portion of Leases,1.43,1.05,1.03,1.68,0.14,0.34,-,1.23,-,-,-,0.5,-,-,-
23,Current Income Taxes Payable,6.45,2.81,6.15,5.35,6.8,3.59,5.12,7.24,10.61,8.15,-,5.39,-,-,-
24,Current Unearned Revenue,3.21,1.43,1.2,3.23,2.24,2.73,1.39,1.99,2.06,1.59,-,3.89,-,-,-
25,Other Current Liabilities,0.45,2.49,1.22,1.25,0.27,3.51,0.32,0.65,0.6,0.53,-,0.78,-,-,-
26,Total Current Liabilities,198.65,193.97,145.67,194.45,183.87,182.83,153.11,138.97,157.33,169.24,-,266.93,-,-,-
27,Long-Term Leases,6.24,1.86,2.22,1.55,2.45,0.84,-,-,0.14,0.47,-,0.26,-,-,-
28,Long-Term Unearned Revenue,1.71,1.72,1.72,1.73,1.74,1.75,1.76,1.77,1.78,1.79,-,1.81,-,-,-
29,Long-Term Deferred Tax Liabilities,4.5,4.53,4.56,4.59,0.87,0.83,0.03,0.27,6.65,0.05,-,0.02,-,-,-
30,Total Liabilities,211.09,202.07,154.18,202.31,188.93,186.25,154.91,141.01,165.9,171.55,-,269.01,-,-,-
31,Common Stock,190.89,190.89,190.89,190.89,190.89,190.89,136.35,136.35,136.35,102.25,-,102.25,-,-,-
32,Additional Paid-In Capital,498.64,498.64,498.64,498.64,498.64,498.64,553.18,553.18,553.18,178.57,-,178.57,-,-,-
33,Retained Earnings,596.02,550.17,550.49,513.95,492.15,453.67,463.53,442.36,422.13,386,-,283.81,-,-,-
34,Treasury Stock,-30,-30,-30,-,-,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,17.5,23.84,22.17,21.54,25.54,27.14,12.32,16.17,20.29,3.85,-,-10.21,-,-,-
36,Total Common Equity,1273,1234,1232,1225,1207,1170,1165,1148,1132,670.68,554.42,554.42,-,-,421.74
37,Minority Interest,149.22,141.98,134.97,129.24,125.1,120.75,107.78,106.53,108.1,98.72,-,84.93,-,-,-
38,Shareholders' Equity,1422,1376,1367,1354,1332,1291,1273,1255,1240,769.39,639.36,639.36,-,-,472.16
39,Total Liabilities & Equity,1633,1578,1521,1557,1521,1477,1428,1396,1406,940.95,-,908.37,-,-,-
40,Total Debt,7.67,2.91,3.25,23.77,22.95,21.37,40.67,1.23,1.42,1.88,0.75,0.75,-,-,43.25
41,Net Cash (Debt),479.04,569.75,609.89,698.92,666.53,670.9,721.88,725.15,726.15,302.4,271.45,271.45,-,-,201.1
42,Net Cash Growth,-28.13%,-15.08%,-15.51%,-3.62%,-8.21%,121.86%,165.93%,167.13%,-,-,34.98%,-,-,-,-
43,Net Cash Per Share,2.54,3.04,3.19,3.66,3.49,3.51,3.78,3.80,4.32,1.77,1.90,1.90,-,-,1.40
44,Filing Date Shares Outstanding,188.38,188.38,188.38,190.89,190.89,190.89,190.89,190.89,190.89,190.89,143.15,143.15,143.14,143.15,143.18
45,Total Common Shares Outstanding,188.38,188.38,188.38,190.89,190.89,190.89,190.89,190.89,190.89,143.15,143.15,143.15,143.14,143.15,143.18
