,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3012,2343,2308,2480,2806,2789,2888,3379,3380,3897,-,-,-,-,-,-
1,Market Cap Growth,-15.97%,-15.97%,-20.10%,-26.61%,-16.98%,-28.43%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2682,1916,1833,1938,2265,2239,2274,2761,2762,3693,-,-,-,-,-,-
3,Last Close Price,15.99,12.44,12.25,12.78,14.46,14.37,14.89,17.07,17.08,19.69,-,-,-,-,-,-
4,PE Ratio,21.40,16.56,17.20,17.52,22.25,22.38,23.63,27.83,21.32,24.21,-,-,-,-,-,-
5,Forward PE,19.15,14.87,14.64,15.51,18.30,19.52,20.77,16.57,15.53,17.43,-,-,-,-,-,-
6,PS Ratio,2.54,1.97,2.09,2.36,2.83,3.09,3.45,4.27,3.54,3.83,-,-,-,-,-,-
7,PB Ratio,2.37,1.65,1.68,1.81,2.07,2.09,2.24,2.65,2.69,3.14,-,-,-,-,-,-
8,P/TBV Ratio,1.89,1.89,1.92,2.07,2.36,2.38,2.55,2.99,3.03,3.55,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,55.68,159.91,-,69.44,122.13,25.64,-,-,-,-,-,-
10,P/OCF Ratio,159.59,-,33.00,-,21.68,25.06,24.29,22.66,27.45,17.02,-,-,-,-,-,-
11,EV/Sales Ratio,2.25,1.61,1.66,1.85,2.28,2.48,2.72,3.49,2.90,3.63,-,-,-,-,-,-
12,EV/EBITDA Ratio,15.09,10.89,11.42,12.83,15.74,16.51,18.53,22.04,16.48,21.32,-,-,-,-,-,-
13,EV/EBIT Ratio,17.12,12.12,12.82,14.51,17.87,18.85,21.34,25.13,18.08,23.22,-,-,-,-,-,-
14,EV/FCF Ratio,-37.57,-,-,-,44.93,128.37,-,56.74,99.80,24.30,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.00,0.00,0.02,0.02,0.02,0.03,0.00,0.00,0.00,0.00,0.00,-,-,0.09
16,Debt / EBITDA Ratio,0.04,0.03,0.02,0.02,0.18,0.12,0.15,0.32,0.01,0.01,0.01,0.00,0.01,-,-,0.22
17,Debt / FCF Ratio,-,-,-,-,0.47,1.32,-,0.84,0.04,0.01,0.02,-,0.03,-,-,-
18,Asset Turnover,0.96,0.77,0.64,0.68,0.80,0.67,0.53,0.49,0.80,-,-,-,-,-,-,
19,Inventory Turnover,4.67,5.00,4.20,4.00,4.89,5.36,4.73,3.63,3.16,4.17,-,-,-,-,-,-
20,Quick Ratio,3.92,3.92,4.07,5.42,4.62,4.86,4.62,5.90,6.18,5.72,2.69,-,1.64,-,-,-
21,Current Ratio,5.60,5.60,5.59,7.19,5.68,5.92,5.83,6.99,7.55,6.96,3.91,-,2.48,-,-,-
22,Return on Equity (ROE),15.84%,12.76%,12.36%,8.16%,13.20%,16.24%,7.24%,6.54%,15.92%,27.04%,39.75%,-,-,-,-,
23,Return on Assets (ROA),9.27%,6.19%,5.57%,4.21%,7.40%,4.99%,4.85%,3.21%,6.85%,-,-,-,-,-,-,
24,Return on Capital (ROIC),10.60%,6.97%,6.24%,4.74%,8.31%,5.52%,5.33%,3.60%,7.99%,11.44%,27.48%,-,-,-,-,
25,Return on Capital Employed (ROCE),10.92%,11.02%,10.33%,9.71%,9.30%,8.88%,8.23%,8.62%,12.16%,12.74%,24.68%,-,2.99%,-,-,-
26,Earnings Yield,4.70%,6.04%,5.81%,5.71%,4.50%,4.47%,4.23%,3.59%,4.69%,4.13%,-,-,-,-,-,-
27,FCF Yield,-2.37%,-3.05%,-0.24%,-0.27%,1.80%,0.63%,0.22%,1.44%,0.82%,3.90%,-,-,-,-,-,-
28,Dividend Yield,1.26%,-,-,-,1.38%,-,-,-,1.67%,-,-,-,-,-,-,-
29,Payout Ratio,27.01%,4.41%,96.92%,-,-,7.54%,115.85%,-,-,-,-,-,0.07%,-,-,0.85%
30,Buyback Yield / Dilution,0.78%,1.34%,1.79%,-0.04%,0.03%,-13.55%,-12.04%,-33.29%,-33.42%,-17.44%,-19.07%,0.02%,-,-,-,-
31,Total Shareholder Return,2.04%,1.34%,1.79%,-0.04%,1.41%,-13.55%,-12.04%,-33.29%,-31.75%,-17.44%,-19.07%,0.02%,-,-,-,-
