,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,388.65,296.48,245.66,255.71,301.98,241.27,188,165.16,238.13,196.02,349.66,229.08,355.87,229.74,249.12
1,Other Revenue,-2.06,2.06,-,4.3,-1.36,1.36,-,4.72,-2.37,2.37,-,4.98,-,-,-
2,Revenue,386.58,298.55,245.66,260.01,300.63,242.63,188,169.89,235.77,198.39,349.66,234.06,355.87,229.74,249.12
3,Revenue Growth (YoY),28.59%,23.05%,30.67%,53.05%,27.51%,22.30%,-46.23%,-27.42%,-33.75%,-13.64%,40.36%,-,-,-,-
4,Cost of Revenue,298.01,232.34,190.45,209.96,230.66,193.44,143.38,134.93,184.5,153.1,257.13,193.8,268.1,308.1,187.72
5,Gross Profit,88.57,66.21,55.21,50.05,69.97,49.19,44.62,34.96,51.26,45.29,92.53,40.25,87.77,-78.36,61.4
6,"Selling, General & Admin",21.67,20,15.42,19.12,16.17,15.23,10.98,12.72,13.17,12.35,11.41,11.71,11.94,22.24,9.87
7,Research & Development,4.77,5.28,4.17,4.95,4.42,4.83,5.01,4.12,5.04,5.78,5.79,8.27,6.17,11.01,4.99
8,Other Operating Expenses,0.79,0.52,1.09,0.91,0.02,-0.14,0.51,2.15,-0.08,-0.03,0.39,3.13,0.85,-0.72,0.7
9,Operating Expenses,29.06,27.87,20.92,24.11,25.61,20.19,17.2,16.96,19.12,12.99,22.18,15.98,24.21,36.17,15.56
10,Operating Income,59.52,38.34,34.29,25.94,44.36,29,27.42,18,32.14,32.3,70.35,24.28,63.57,-114.53,45.84
11,Interest Expense,-0.03,-0.03,-0.03,-0.23,-0.21,-0.26,-0.06,-0.02,-0.02,-0.02,-0.01,-,-3.46,-0.25,-
12,Interest & Investment Income,2.15,4.68,6.4,5.21,4.19,6.16,3.48,2.79,0.41,0.32,0.17,3.82,-,8.28,7.54
13,Earnings From Equity Investments,0.63,-1.47,0.85,-,0.02,-0.01,-0,-,-,-,-,-,-,-,-
14,Currency Exchange Gain (Loss),-6.63,6.63,-,16.71,-15.46,15.46,-,27.36,-16.23,16.23,-,-9.4,-,-,-
15,Other Non Operating Income (Expenses),5.58,-2.97,2.48,-16.89,16.55,5.43,-5.59,-41.11,40.9,1.5,-2,-7.42,10.79,142.33,-4.61
16,EBT Excluding Unusual Items,61.21,45.17,43.99,30.74,49.44,55.78,25.26,7.03,57.2,50.33,68.51,11.27,70.9,35.82,48.77
17,Gain (Loss) on Sale of Investments,-0.39,-,-,-,-0.11,0.05,0.05,-0.18,0.39,0.27,-0.06,0.11,-,-6.08,-6.07
18,Gain (Loss) on Sale of Assets,-,-,-,0,-,-,-,-,-,-,-,0,-0,-0.02,-
19,Asset Writedown,-0.99,0.65,-0.77,2.34,-2.34,1.08,-1.13,4.02,-4.03,1.4,-1.4,3.84,-0.59,-3.35,-1.24
20,Other Unusual Items,-0.1,0.62,3.67,0.16,-,-,-,11.6,-,-,-,10.46,-,-,-
21,Pretax Income,59.73,46.44,46.89,33.25,46.99,56.91,24.19,22.47,53.57,52,67.05,25.68,70.31,26.37,41.46
22,Income Tax Expense,4.33,2.69,4.85,5.85,3.72,4.87,1.31,2.09,13.58,4.38,3.51,-0.81,7.48,1.7,1.44
23,Earnings From Continuing Operations,55.4,43.75,42.04,27.4,43.27,52.05,22.88,20.38,39.99,47.62,63.54,26.49,62.82,24.67,40.01
24,Minority Interest in Earnings,-9.55,-6.39,-5.51,-5.6,-4.79,-7.37,-1.7,-0.12,-3.86,-3.8,-5.18,-3.87,-5.51,-3.49,-4.31
25,Net Income,45.85,37.35,36.54,21.8,38.48,44.68,21.18,20.26,36.13,43.83,58.36,22.62,57.32,21.18,35.71
26,Net Income to Common,45.85,37.35,36.54,21.8,38.48,44.68,21.18,20.26,36.13,43.83,58.36,22.62,57.32,21.18,35.71
27,Net Income Growth,19.14%,-16.39%,72.51%,7.60%,6.52%,1.95%,-63.71%,-10.44%,-36.97%,106.92%,63.44%,-,-,-,-
28,Shares Outstanding (Basic),188,188,191,191,191,191,191,191,168,170,143,143,143,143,143
29,Shares Outstanding (Diluted),188,188,191,191,191,191,191,191,168,170,143,143,143,143,143
30,Shares Change (YoY),-1.34%,-1.79%,0.04%,-0.03%,13.55%,12.04%,33.29%,33.42%,17.44%,19.07%,-0.02%,-,-,-,-
31,EPS (Basic),0.24,0.20,0.19,0.11,0.20,0.23,0.11,0.11,0.21,0.26,0.41,0.16,0.40,0.15,0.25
32,EPS (Diluted),0.24,0.20,0.19,0.11,0.20,0.23,0.11,0.11,0.21,0.26,0.41,0.16,0.40,0.15,0.25
33,EPS Growth,20.76%,-14.87%,72.43%,7.62%,-6.19%,-9.01%,-72.77%,-32.88%,-46.33%,73.78%,63.47%,-,-,-,-
34,Free Cash Flow,-54.13,-2.66,-55.96,41.35,11.84,-3.83,1.05,8.39,0.69,38.53,-19.93,132.7,-40.64,-,-62.94
35,Free Cash Flow Per Share,-0.29,-0.01,-0.29,0.22,0.06,-0.02,0.01,0.04,0.00,0.23,-0.14,0.93,-0.28,-,-0.44
36,Dividend Per Share,-,-,-,0.200,-,-,-,0.286,-,-,-,-,-,-,-
37,Dividend Growth,-,-,-,-30.00%,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,22.91%,22.18%,22.47%,19.25%,23.27%,20.27%,23.74%,20.58%,21.74%,22.83%,26.46%,17.20%,24.66%,-34.11%,24.65%
39,Operating Margin,15.40%,12.84%,13.96%,9.98%,14.75%,11.95%,14.58%,10.59%,13.63%,16.28%,20.12%,10.37%,17.86%,-49.85%,18.40%
40,Profit Margin,11.86%,12.51%,14.87%,8.38%,12.80%,18.41%,11.27%,11.92%,15.32%,22.09%,16.69%,9.66%,16.11%,9.22%,14.33%
41,Free Cash Flow Margin,-14.00%,-0.89%,-22.78%,15.90%,3.94%,-1.58%,0.56%,4.94%,0.29%,19.42%,-5.70%,56.70%,-11.42%,-,-25.27%
42,EBITDA,63.88,43.15,38.65,30.3,48.37,33.75,31.43,22.01,35.56,36.23,73.76,27.69,66.02,-112.07,48.84
43,EBITDA Margin,16.52%,14.45%,15.73%,11.65%,16.09%,13.91%,16.72%,12.96%,15.08%,18.26%,21.10%,11.83%,18.55%,-48.78%,19.60%
44,D&A For EBITDA,4.36,4.81,4.36,4.36,4.02,4.75,4.02,4.02,3.41,3.93,3.41,3.41,2.46,2.46,3
45,EBIT,59.52,38.34,34.29,25.94,44.36,29,27.42,18,32.14,32.3,70.35,24.28,63.57,-114.53,45.84
46,EBIT Margin,15.40%,12.84%,13.96%,9.98%,14.75%,11.95%,14.58%,10.59%,13.63%,16.28%,20.12%,10.37%,17.86%,-49.85%,18.40%
