,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,117.83,186.41,182.49,171.95,64.55,230.14,-,99.54,19.5,34.56,34.56,110.52,-,-,-
1,Short-Term Investments,-,66.43,65.88,181.96,169.59,147.85,146.51,-,52.45,50,50,50,60,-,-,-
2,Trading Asset Securities,-,702.34,807.53,851.67,838.65,905.75,834.97,-,80.32,140.51,70.39,70.39,-,-,-,-
3,Cash & Short-Term Investments,886.61,886.61,1060,1216,1180,1118,1212,232.31,232.31,210.01,154.96,154.96,170.52,-,-,96.15
4,Cash Growth,-24.88%,-20.71%,-12.53%,423.48%,408.01%,432.42%,681.90%,49.92%,36.24%,-,-,61.17%,-,-,-,-
5,Accounts Receivable,-,220.88,180.59,219.2,322.54,194.11,126.31,-,51.38,44.31,55.51,55.51,37.24,-,-,-
6,Other Receivables,-,1.97,1.77,1.85,0.38,2.45,1.41,-,2.02,0.22,0.2,0.2,3.73,-,-,-
7,Receivables,-,222.85,182.36,221.05,322.91,196.57,127.72,-,53.4,44.53,55.71,55.71,40.97,-,-,-
8,Inventory,-,267.27,291.96,314.63,281.74,170.49,155.67,-,74.97,84.18,75.31,75.31,68.06,-,-,-
9,Other Current Assets,-,35.88,39.51,49.93,51.6,63.33,44.1,-,33.56,26.3,32.23,32.23,16.77,-,-,-
10,Total Current Assets,-,1413,1574,1802,1836,1549,1539,-,394.24,365.02,318.21,318.21,296.32,-,-,-
11,"Property, Plant & Equipment",-,171.96,161.13,114.21,121.73,74.78,53.45,-,22.86,22.18,21.75,21.75,22.42,-,-,-
12,Long-Term Investments,-,264.63,133.26,71.15,120.45,173.1,103.86,-,174.06,202.47,202.73,202.73,217.73,-,-,-
13,Other Intangible Assets,-,18.95,19.22,19.5,19.17,18.82,19.06,-,2.67,2.81,2.94,2.94,3.14,-,-,-
14,Long-Term Deferred Tax Assets,-,12.4,11.55,10.69,9.3,5.71,3.69,-,2.5,3.19,3.89,3.89,2.52,-,-,-
15,Long-Term Deferred Charges,-,0.47,0.55,0.64,0.75,0.76,0.9,-,5.69,4.98,4.55,4.55,2.39,-,-,-
16,Other Long-Term Assets,-,5.73,-,21.12,2.02,0.53,0.53,-,8.38,2.16,-,-,1.45,-,-,-
17,Total Assets,-,1887,1899,2100,2110,1822,1721,-,610.4,602.8,554.09,554.09,545.97,-,-,-
18,Accounts Payable,-,174.96,187.92,246.78,214.31,85.02,47.24,-,17.62,15.57,6.18,6.18,7.02,-,-,-
19,Accrued Expenses,-,10.1,13.3,6.81,14.65,7.95,8.46,-,16.67,11.48,8.83,8.83,9,-,-,-
20,Short-Term Debt,-,-,-,11.74,30.69,18.63,8.7,-,-,-,-,-,0.9,-,-,-
21,Current Portion of Leases,-,2.16,2.36,3.76,3.13,3.47,3.97,-,3.08,2.88,2.76,2.76,2.78,-,-,-
22,Current Income Taxes Payable,-,5.47,3.09,1.54,4.35,9.35,0.35,-,2.08,1.33,0.75,0.75,1.56,-,-,-
23,Current Unearned Revenue,-,92.63,95.92,145.85,163.64,98.48,75.01,-,33.2,49.64,33.3,33.3,32.47,-,-,-
24,Other Current Liabilities,-,17.57,21.07,68.85,76.15,38.54,11.72,-,6.95,7.57,5.37,5.37,5.74,-,-,-
25,Total Current Liabilities,-,302.9,323.66,485.33,506.92,261.44,155.44,-,79.59,88.47,57.18,57.18,59.47,-,-,-
26,Long-Term Leases,-,-,1.04,1.15,2.06,2.93,4.34,-,3.94,4.84,5.5,5.5,5.68,-,-,-
27,Long-Term Unearned Revenue,-,4.16,9.14,13.37,10.79,1.7,1.7,-,1.7,1.2,1.2,1.2,1.2,-,-,-
28,Long-Term Deferred Tax Liabilities,-,2.65,2.56,4.97,3.92,4.16,2.74,-,1.77,1.52,1.22,1.22,0.6,-,-,-
29,Other Long-Term Liabilities,-,3.02,3.28,3.41,3.18,1.87,2.37,-,2.78,2.52,2.14,2.14,1.81,-,-,-
30,Total Liabilities,-,312.72,339.68,508.23,526.86,272.1,166.6,-,89.79,98.56,67.25,67.25,68.76,-,-,-
31,Common Stock,-,138.37,138.37,138.37,138.37,138.37,138.37,-,103.77,103.77,103.77,103.77,103.77,-,-,-
32,Additional Paid-In Capital,-,1316,1311,1307,1303,1297,1295,-,311.25,310.25,309.25,309.25,302.38,-,-,-
33,Retained Earnings,-,168.93,149.56,156.84,142.02,114.41,120.68,-,105.6,90.22,73.82,73.82,71.06,-,-,-
34,Treasury Stock,-,-49.29,-39.58,-10.08,-,-,-,-,-,-,-,-,-,-,-,-
35,Total Common Equity,1574,1574,1560,1592,1583,1550,1554,520.62,520.62,504.24,486.84,486.84,477.22,-,-,210.43
36,Shareholders' Equity,1574,1574,1560,1592,1583,1550,1554,520.62,520.62,504.24,486.84,486.84,477.22,-,-,209.92
37,Total Liabilities & Equity,-,1887,1899,2100,2110,1822,1721,-,610.4,602.8,554.09,554.09,545.97,-,-,-
38,Total Debt,2.16,2.16,3.41,16.66,35.88,25.03,17.01,7.02,7.02,7.72,8.26,8.26,9.36,-,-,2.36
39,Net Cash (Debt),884.45,884.45,1056,1199,1144,1093,1195,225.29,225.29,202.29,146.7,146.7,161.17,-,-,93.79
40,Net Cash Growth,-22.71%,-19.09%,-11.57%,432.41%,407.92%,440.36%,714.32%,53.57%,39.79%,-,-,56.42%,-,-,-,-
41,Net Cash Per Share,6.39,6.40,7.27,8.90,8.27,7.81,10.85,1.85,2.28,1.85,1.39,1.39,1.55,-,-,1.01
42,Filing Date Shares Outstanding,138.32,127.83,137.06,138.05,138.05,139.92,138.37,121.97,103.77,103.77,105.24,105.24,103.77,98.59,92.68,92.68
43,Total Common Shares Outstanding,138.32,127.83,137.06,138.05,138.37,139.92,138.37,121.97,103.77,103.77,105.24,105.24,103.77,98.59,92.68,92.68
44,Working Capital,-,1110,1250,1316,1330,1287,1384,-,314.65,276.55,261.03,261.03,-,-,-,-
45,Book Value Per Share,12.31,12.31,11.38,11.53,11.44,11.21,11.23,5.02,5.02,4.86,4.63,4.63,4.60,-,-,2.72
46,Tangible Book Value,1555,1555,1540,1573,1564,1531,1535,517.95,517.95,501.43,483.9,483.9,-,-,-,206.87
