,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,99.73,126.6,117.6,81.11,165.82,125.39,75.97,38.39,90.21,66.73,32.53,32.53,69.65,65.1,30.08,30.08
1,Other Revenue,-,-,-,-,0,-0,0,-,-,-,-,-,-,-,0.01,0.01
2,Revenue,99.73,126.6,117.6,81.11,165.83,125.38,75.97,38.39,90.21,66.73,32.53,32.53,69.65,65.1,30.09,30.09
3,Revenue Growth (YoY),-39.86%,0.97%,54.79%,111.29%,83.83%,87.90%,133.56%,18.01%,29.52%,2.50%,8.11%,8.11%,-,-,-,-
4,Cost of Revenue,-229.37,92.45,83.15,53.78,118.38,81.03,50.72,23.51,62.66,38.38,22.24,22.24,43.2,38.74,17.01,17.01
5,Gross Profit,329.1,34.16,34.45,27.33,47.44,44.35,25.25,14.88,27.55,28.34,10.29,10.29,26.45,26.36,13.08,13.08
6,"Selling, General & Admin",-33.79,7.23,14.1,12.45,14.8,10.18,11.96,7.78,9.34,6.74,7.55,7.55,6.71,5.36,4.81,4.81
7,Research & Development,-35.95,14.63,10.67,10.65,12.25,10.87,6.84,6.76,4.62,5.68,4.69,4.69,5.62,5.02,4.11,4.11
8,Other Operating Expenses,361.22,0.3,0.5,0.29,0.41,-1.89,-0.05,-0.01,1.09,0.35,-0.1,-0.1,8.1,-1.39,-2.87,-2.87
9,Operating Expenses,292.91,22.45,27.42,19.53,32.44,20.73,19.23,15.24,16.69,10.67,12.59,12.59,20.54,9.87,6.09,6.09
10,Operating Income,36.19,11.7,7.03,7.8,15,23.62,6.02,-0.37,10.86,17.67,-2.3,-2.3,5.91,16.5,6.99,6.99
11,Interest Expense,-34.99,-0.03,-0.03,-0.05,-0.1,-0.08,-0.08,-0.07,-0.08,-0.08,-0.1,-0.1,-0.11,-0.09,-0.12,-0.12
12,Interest & Investment Income,0.11,7.1,25.2,2.68,7.27,2.13,3.5,0.72,1.89,1.21,1.52,1.52,1.61,1.71,1.42,1.42
13,Currency Exchange Gain (Loss),-,0.02,-0.02,-,-0.03,0.01,-0.01,-,-0.57,-0.01,0,0,-0.06,0,-0.01,-0.01
14,Other Non Operating Income (Expenses),-1.86,-0.5,0.48,-0.04,0.84,-0.49,0.58,-0.01,1,-0.48,0.15,0.15,-0.17,-0.13,0.05,0.05
15,EBT Excluding Unusual Items,-0.55,18.3,32.66,10.39,22.99,25.19,10.02,0.28,13.11,18.32,-0.73,-0.73,7.18,17.99,8.33,8.33
16,Gain (Loss) on Sale of Investments,11.32,-0.17,-17.08,5.93,2.38,7.71,3.59,1.99,1.4,1.71,1.77,1.77,1.53,1.05,0.07,0.07
17,Gain (Loss) on Sale of Assets,0.01,-0,-0,-,0.08,0.03,-0.03,0.04,-,0.07,-0.04,-0.04,-,-,-,-
18,Asset Writedown,1.87,-1.87,0.64,-0.64,0.51,-0.51,0.2,-0.2,1.84,-1.84,-,-,-0.69,-0.03,-0,-0
19,Other Unusual Items,-11.53,5.61,5.67,0.26,3.38,-0.06,0.06,-,1.22,-,-,-,7.75,-,-,-
20,Pretax Income,1.12,21.87,21.89,15.93,29.33,32.37,13.84,2.11,17.56,18.26,1,1,15.77,19.01,8.4,8.4
21,Income Tax Expense,2.25,2.49,1.7,1.11,1.72,4.05,1.19,-0.33,2.19,1.86,-0.38,-0.38,1.38,2.29,0.7,0.7
22,Net Income,-1.13,19.38,20.18,14.82,27.61,28.32,12.65,2.44,15.38,16.4,1.38,1.38,14.39,16.72,7.7,7.7
23,Net Income to Common,-1.13,19.38,20.18,14.82,27.61,28.32,12.65,2.44,15.38,16.4,1.38,1.38,14.39,16.72,7.7,7.7
24,Net Income Growth,-,-31.57%,59.58%,507.43%,79.55%,72.66%,817.41%,76.94%,6.85%,-1.92%,-82.10%,-82.10%,-,-,-,-
25,Shares Outstanding (Basic),138,128,145,135,138,140,110,122,99,109,105,105,104,99,93,93
26,Shares Outstanding (Diluted),138,138,145,135,138,140,110,122,99,109,105,105,104,99,93,93
27,Shares Change (YoY),0.02%,-1.17%,31.92%,10.44%,39.97%,27.98%,4.66%,15.89%,-4.79%,10.90%,13.55%,13.55%,-,-,-,-
28,EPS (Basic),-0.01,0.15,0.14,0.11,0.20,0.20,0.11,0.02,0.16,0.15,0.01,0.01,0.14,0.17,0.08,0.08
29,EPS (Diluted),-0.01,0.14,0.14,0.11,0.20,0.20,0.11,0.02,0.16,0.15,0.01,0.01,0.14,0.17,0.08,0.08
30,EPS Growth,-,-30.76%,20.97%,450.00%,28.28%,34.92%,776.56%,52.67%,12.23%,-11.56%,-84.24%,-84.24%,-,-,-,-
31,Free Cash Flow,-,-38.77,-105.67,50.97,-26.11,-20.94,-47.94,-72.9,-10.95,55.43,-19.52,-19.52,-2.7,5.18,-11.85,-11.85
32,Free Cash Flow Per Share,-,-0.28,-0.73,0.38,-0.19,-0.15,-0.44,-0.60,-0.11,0.51,-0.19,-0.19,-0.03,0.05,-0.13,-0.13
33,Dividend Per Share,-,-,-,-,0.200,-,0.250,-,-,-,-,-,-,-,-,-
34,Gross Margin,329.99%,26.98%,29.30%,33.70%,28.61%,35.37%,33.24%,38.75%,30.54%,42.48%,31.64%,31.64%,37.98%,40.50%,43.48%,43.48%
35,Operating Margin,36.29%,9.24%,5.98%,9.62%,9.05%,18.84%,7.93%,-0.96%,12.04%,26.48%,-7.07%,-7.07%,8.49%,25.34%,23.23%,23.23%
36,Profit Margin,-1.13%,15.31%,17.16%,18.27%,16.65%,22.58%,16.65%,6.35%,17.05%,24.58%,4.24%,4.24%,20.66%,25.69%,25.60%,25.60%
37,Free Cash Flow Margin,-,-30.62%,-89.86%,62.84%,-15.74%,-16.70%,-63.11%,-189.91%,-12.13%,83.06%,-60.01%,-60.01%,-3.88%,7.95%,-39.37%,-39.37%
38,EBITDA,37.14,12.65,7.98,8.75,15.95,24.26,6.84,0.28,11.57,18.26,-1.65,-1.65,6.55,17.04,7.48,7.48
39,EBITDA Margin,37.24%,9.99%,6.79%,10.79%,9.62%,19.35%,9.00%,0.72%,12.83%,27.37%,-5.07%,-5.07%,9.40%,26.17%,24.85%,24.85%
40,D&A For EBITDA,0.95,0.95,0.96,0.95,0.95,0.64,0.81,0.64,0.71,0.59,0.65,0.65,0.64,0.54,0.49,0.49
41,EBIT,36.19,11.7,7.03,7.8,15,23.62,6.02,-0.37,10.86,17.67,-2.3,-2.3,5.91,16.5,6.99,6.99
42,EBIT Margin,36.29%,9.24%,5.98%,9.62%,9.05%,18.84%,7.93%,-0.96%,12.04%,26.48%,-7.07%,-7.07%,8.49%,25.34%,23.23%,23.23%
43,Effective Tax Rate,200.56%,11.41%,7.79%,7.00%,5.86%,12.52%,8.59%,-,12.45%,10.21%,-,-,8.75%,12.03%,8.34%,8.34%
44,Revenue as Reported,-,126.6,117.6,81.11,165.83,125.38,75.97,38.39,90.21,66.73,32.53,32.53,69.65,65.1,30.09,30.09
