,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 6, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4274,3866,4013,4020,4341,7195,6286,6574,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-46.26%,-46.26%,-36.16%,-38.85%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3389,2982,2957,2821,3247,6102,5091,6471,-,-,-,-,-,-,-,-,-
3,Last Close Price,31.18,28.21,29.28,29.12,31.17,51.67,45.14,46.94,-,-,-,-,-,-,-,-,-
4,PE Ratio,79.95,-,48.95,44.21,52.05,101.31,106.93,140.27,-,-,-,-,-,-,-,-,-
5,Forward PE,26.88,24.68,30.07,29.60,31.82,59.10,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,10.02,9.10,8.17,8.21,9.68,17.74,19.05,24.23,-,-,-,-,-,-,-,-,-
7,PB Ratio,2.53,2.46,2.55,2.58,2.73,4.55,4.06,4.23,-,-,-,-,-,-,-,-,-
8,P/TBV Ratio,2.49,2.49,2.58,2.61,2.76,4.60,4.10,4.28,-,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-98.60,-,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,220.24,-,-84.74,-,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,7.97,7.02,6.02,5.76,7.24,15.05,15.43,23.85,-,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,50.95,44.82,65.21,49.53,58.19,128.91,118.53,175.13,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,54.03,47.54,71.19,52.77,61.92,137.80,126.84,189.26,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-73.77,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,-,-,0.01
16,Debt / EBITDA Ratio,0.03,0.01,0.04,0.09,0.48,0.45,0.26,0.50,6.32,0.12,0.11,-,-,0.32,-,-,0.07
17,Debt / FCF Ratio,-,-,-,-,-0.38,-,-,-,-,-,0.56,-,-,-,-,-,-
18,Asset Turnover,-,0.27,0.24,0.15,0.34,0.28,-,-,0.59,0.46,0.23,0.24,-,-,-,-,
19,Inventory Turnover,-,-,1.32,1.10,0.72,2.09,1.99,-,-,3.15,1.93,1.18,1.24,-,-,-,-
20,Quick Ratio,-,-,3.66,3.84,2.96,2.97,5.03,8.62,-,3.59,2.88,3.68,3.68,3.56,-,-,-
21,Current Ratio,-,-,4.66,4.86,3.71,3.62,5.92,9.90,-,4.95,4.13,5.56,5.56,4.98,-,-,-
22,Return on Equity (ROE),-0.29%,4.95%,5.12%,3.73%,7.05%,7.30%,4.88%,1.87%,12.00%,13.24%,1.13%,1.14%,-,-,-,-,
23,Return on Assets (ROA),-,1.55%,0.88%,0.93%,1.91%,3.33%,-,-,4.48%,7.64%,-1.04%,-1.04%,-,-,-,-,
24,Return on Capital (ROIC),5.74%,1.86%,1.11%,1.21%,2.35%,3.75%,1.43%,-0.17%,5.22%,8.77%,-1.16%,-1.17%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,2.62%,3.39%,3.25%,2.76%,2.57%,2.18%,-,4.51%,3.69%,-,-,7.48%,-,-,-
26,Earnings Yield,1.25%,1.38%,2.04%,2.26%,1.92%,0.99%,0.94%,0.71%,-,-,-,-,-,-,-,-,-
27,FCF Yield,-,-2.98%,-2.53%,-1.01%,-2.33%,-2.43%,-1.16%,-,-,-,-,-,-,-,-,-,
28,Dividend Yield,1.39%,-,-,-,-,0.87%,-,0.53%,-,-,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,136.09%,-,4.23%,118.03%,-,-,-,2.08%,0.18%,0.18%,0.06%,0.02%,0.21%,0.21%
30,Buyback Yield / Dilution,-7.67%,-0.02%,1.17%,-31.92%,-10.44%,-39.97%,-27.98%,-4.66%,-15.89%,4.79%,-10.90%,-13.55%,-13.55%,-,-,-,-
31,Total Shareholder Return,-6.28%,-0.02%,1.17%,-31.92%,-10.44%,-39.10%,-27.98%,-4.13%,-15.89%,4.79%,-10.90%,-13.55%,-13.55%,-,-,-,-
