,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 5, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3483,2702,2426,2719,3017,3041,3179,3788,3843,-,-,-,-,-,-,-
1,Market Cap Growth,-11.14%,-11.14%,-23.70%,-28.23%,-21.49%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4040,3195,2598,2801,3100,3027,3047,3804,3859,-,-,-,-,-,-,-
3,Last Close Price,25.33,19.65,17.50,19.00,21.08,21.25,22.22,26.24,26.61,-,-,-,-,-,-,-
4,PE Ratio,36.64,28.21,20.09,21.86,25.25,28.24,35.84,45.32,38.10,-,-,-,-,-,-,-
5,PS Ratio,1.43,1.10,0.97,1.12,1.30,1.41,1.61,1.99,2.03,-,-,-,-,-,-,-
6,PB Ratio,2.69,2.08,1.87,2.04,2.26,2.33,2.51,3.00,3.09,-,-,-,-,-,-,-
7,P/TBV Ratio,2.32,2.32,2.08,2.21,2.46,2.54,2.75,3.28,3.37,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-9.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-19.76,-,-,-8.95,-,-,-,-74.80,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.64,1.30,1.04,1.16,1.33,1.40,1.54,2.00,2.04,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,24.71,18.18,13.61,14.28,16.72,23.22,29.46,40.02,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,41.45,26.95,18.80,18.70,21.61,32.60,45.45,62.22,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-14.16,-11.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.92,0.92,0.83,0.42,0.49,0.39,0.28,0.15,0.25,0.63,-,0.46,0.46,0.31,0.31,0.31
15,Debt / EBITDA Ratio,7.28,6.36,5.81,3.21,4.12,2.06,1.72,1.48,-,2.71,-,1.16,1.74,0.54,1.10,1.10
16,Debt / FCF Ratio,-,-4.17,-,-,-,-,-,-,-,-,-,-,-3.41,-,-,-
17,Asset Turnover,0.92,1.10,0.92,1.05,1.29,1.28,0.92,0.97,-,-,-,-,-,1.40,-,
18,Inventory Turnover,11.44,9.09,10.21,10.71,13.57,15.47,15.29,12.43,11.02,-,-,-,-,-,12.81,-
19,Quick Ratio,0.87,0.87,0.89,1.04,0.95,1.10,1.20,1.40,1.40,0.87,-,-,0.91,-,0.98,0.98
20,Current Ratio,1.21,1.21,1.24,1.47,1.35,1.46,1.71,1.98,1.74,1.19,-,-,1.18,-,1.17,1.17
21,Return on Equity (ROE),4.87%,8.30%,7.23%,8.66%,12.67%,9.80%,6.12%,7.27%,-,-,28.14%,15.44%,40.07%,24.60%,-,
22,Return on Assets (ROA),3.10%,2.88%,3.20%,2.83%,6.52%,5.34%,3.04%,-3.29%,-,-,-,-,-,7.36%,-,
23,Return on Capital (ROIC),3.46%,3.30%,3.91%,3.46%,7.75%,6.46%,3.99%,-4.78%,-,-,14.63%,9.96%,24.97%,13.26%,-,
24,Return on Capital Employed (ROCE),6.96%,8.46%,9.96%,10.90%,10.54%,7.01%,5.22%,4.77%,-,18.71%,-,-,24.59%,-,13.51%,6.75%
25,Earnings Yield,2.75%,3.54%,4.98%,4.58%,3.96%,3.54%,2.79%,2.21%,2.62%,-,-,-,-,-,-,-
26,FCF Yield,-8.19%,-10.56%,-18.42%,-14.58%,-19.75%,-19.68%,-19.99%,-10.24%,-6.75%,-,-,-,-,-,-,-
27,Dividend Yield,0.99%,-,2.29%,-,1.28%,-,-,-,0.83%,-,-,-,-,-,-,-
28,Payout Ratio,61.56%,125.58%,137.85%,6.13%,0.07%,5.14%,111.38%,13.83%,17.14%,12.28%,9.07%,3.79%,12.06%,34.61%,6.33%,6.33%
29,Buyback Yield / Dilution,-2.99%,5.14%,3.94%,-3.51%,-20.31%,-35.39%,-32.28%,-31.61%,-13.26%,1.83%,-1.67%,1.16%,-,-,-,-
30,Total Shareholder Return,-2.00%,5.14%,6.23%,-3.51%,-19.03%,-35.39%,-32.28%,-31.61%,-12.44%,1.83%,-1.67%,1.16%,-,-,-,-
