,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,632.91,578.37,385.6,651.87,429,326.32,276.59,848.74,363.06,-,-,373.67,-,318.72,318.72
1,Trading Asset Securities,-,-,-,-,-,40,50,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,632.91,578.37,385.6,651.87,429,366.32,326.59,848.74,363.06,-,373.67,373.67,318.72,318.72,318.72
3,Cash Growth,47.53%,57.89%,18.07%,-23.20%,18.16%,-,-12.60%,127.13%,13.91%,-,17.24%,-,-,-,-
4,Accounts Receivable,529.46,507.87,484.96,408.18,488.31,398.95,396.53,277.41,346.47,-,-,288.7,-,227.83,227.83
5,Other Receivables,40.04,28.33,48.77,26.24,0.44,0.38,0.89,7.42,1.27,-,-,1.2,-,41.61,41.61
6,Receivables,569.5,536.19,533.73,434.42,488.75,399.32,397.42,284.83,347.74,-,-,289.89,-,269.44,269.44
7,Inventory,228.75,272.2,197.45,169.99,159.27,139.11,138.16,126.52,187.2,-,-,159.63,-,99.35,99.35
8,Other Current Assets,249.43,170.44,174.9,281.95,147.14,190.15,161.38,152.84,77.86,-,-,35.85,-,19.06,19.06
9,Total Current Assets,1681,1557,1292,1538,1224,1095,1024,1413,975.85,-,-,859.05,-,706.57,706.57
