,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,627.73,667.4,547.28,607.7,662.11,593.54,454.32,441.04,483.34,522.04,437.64,468.71,494.63,371.73,371.73
1,Other Revenue,-4.11,4.11,-,7.04,-2.4,2.4,-,4.9,-2.79,2.79,-,3.53,-1.46,0.73,0.73
2,Revenue,623.62,671.51,547.28,614.73,659.71,595.95,454.32,445.94,480.55,524.83,437.64,472.24,493.17,372.46,372.46
3,Revenue Growth (YoY),-5.47%,12.68%,20.46%,37.85%,37.28%,13.55%,3.81%,-5.57%,-2.56%,40.91%,17.50%,-,-,-,-
4,Cost of Revenue,569.45,599.38,491.73,558.62,577.17,530.05,411.26,432.02,436.28,474.37,375.92,411.16,416.92,318.19,318.19
5,Gross Profit,54.17,72.13,55.56,56.12,82.54,65.89,43.06,13.92,44.27,50.46,61.72,61.08,76.25,54.26,54.26
6,"Selling, General & Admin",18.08,17.4,14.38,16.88,17.58,20.91,14.1,13.56,11.35,12.27,10.91,16.06,10.46,12.33,12.33
7,Research & Development,11.85,13.44,11.43,11.05,10.42,9.78,9.13,7.42,7.64,8.52,10.93,13.1,8.82,8.56,8.56
8,Other Operating Expenses,-6.3,9.28,-3.65,-0.45,0.92,-6.59,-9.84,17.76,0.51,-3.53,-8.4,9.22,-4.78,1.22,1.22
9,Operating Expenses,20.52,43.97,25.16,29.75,29.28,26.14,19.02,38.12,16.83,16.6,17.33,34.17,17.06,22.83,22.83
