,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,6822,6744,6005,6704,6658,5362,5216,5684,-,-,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,25.79%,25.79%,15.11%,17.95%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5704,5105,4176,5053,5007,3617,3285,5826,-,-,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,62.80,61.51,54.68,59.55,59.15,47.63,46.34,48.98,-,-,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,18.22,17.87,18.31,22.61,23.74,19.55,21.44,26.77,-,-,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,2.26,2.23,2.18,2.90,3.11,2.81,2.94,3.25,-,-,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,2.25,2.22,2.06,2.25,2.26,1.87,1.87,1.99,-,-,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.27,2.27,2.10,2.30,2.30,1.91,1.90,2.02,-,-,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,36.99,35.88,-,-,31.07,21.85,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,26.31,-,24.25,24.99,37.68,-,22.13,17.97,-,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.89,1.69,1.52,2.18,2.33,1.90,1.85,3.33,-,-,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,11.03,10.18,10.12,16.00,15.81,12.70,12.60,22.54,-,-,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,12.42,10.77,10.80,17.32,17.02,13.72,13.62,24.25,-,-,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-23.26,-,25.73,27.04,-,-,19.57,22.40,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.19,0.19,0.16,0.18,0.10,0.18,0.13,0.11,0.35,-,0.39,0.37,0.37,0.40,0.29,0.29,0.26,0.26,0.42,0.42
15,Debt / EBITDA Ratio,1.14,0.78,0.69,2.03,0.64,1.26,1.23,1.23,1.02,-,1.17,1.53,0.63,0.82,0.60,0.60,0.35,0.35,0.86,0.86
16,Debt / FCF Ratio,-,-,2.94,2.80,-,-,2.23,1.24,-8.84,-,-5.97,-,-,-,-,-,-,-,1.35,2.71
17,Asset Turnover,0.77,0.85,0.53,0.83,0.60,0.48,0.53,-,-,-,-,1.49,1.66,1.56,1.64,1.69,1.95,1.24,-,
18,Inventory Turnover,1.96,2.03,2.86,1.75,2.91,1.68,1.48,1.16,-,-,-,-,3.25,2.24,2.14,2.44,2.85,3.74,2.82,-
19,Quick Ratio,1.66,1.66,2.45,2.69,3.41,2.76,3.20,3.58,0.75,-,0.55,-,0.59,0.59,0.61,0.61,0.78,0.78,0.93,0.93
20,Current Ratio,2.57,2.57,3.27,3.51,4.47,3.71,4.27,4.66,1.95,-,1.72,-,1.65,1.58,1.62,1.62,1.57,1.57,1.47,1.47
21,Return on Equity (ROE),16.06%,17.80%,6.87%,10.48%,9.90%,14.12%,7.33%,-,-,34.72%,15.46%,50.33%,33.10%,33.42%,36.47%,51.18%,58.96%,46.93%,-,
22,Return on Assets (ROA),10.67%,9.12%,3.68%,5.44%,6.44%,3.74%,5.70%,-,-,-,-,17.04%,14.16%,13.44%,14.18%,20.57%,23.72%,13.42%,-,
23,Return on Capital (ROIC),13.10%,10.82%,4.30%,6.30%,7.36%,4.26%,6.77%,-,-,12.13%,10.27%,25.09%,21.47%,20.95%,23.10%,35.33%,38.59%,20.38%,-,
24,Return on Capital Employed (ROCE),14.71%,15.19%,12.94%,9.54%,9.67%,8.95%,8.42%,8.21%,21.34%,-,30.56%,-,37.51%,38.06%,46.97%,43.58%,49.28%,32.62%,21.93%,10.96%
25,Earnings Yield,5.53%,5.60%,5.46%,4.42%,4.21%,5.11%,4.66%,3.74%,-,-,-,-,-,-,-,-,-,-,-,-
26,FCF Yield,-3.60%,-3.64%,2.70%,2.79%,1.57%,2.34%,3.22%,4.58%,-,-,-,-,-,-,-,-,-,-,-,-
27,Dividend Yield,2.36%,3.25%,-,-,2.54%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,47.52%,4.41%,126.14%,7.21%,6.59%,8.37%,162.01%,5.41%,-,12.01%,0.86%,10.37%,1.95%,3.31%,2.87%,2.87%,2.48%,-,3.99%,3.99%
29,Buyback Yield / Dilution,-14.41%,1.50%,-1.28%,-36.38%,-34.42%,-32.48%,-34.41%,0.92%,-0.06%,-1.21%,0.54%,0.19%,-,-,-0.20%,-0.20%,-,-,-,-
30,Total Shareholder Return,-12.05%,4.75%,-1.28%,-36.38%,-31.88%,-32.48%,-34.41%,0.92%,-0.06%,-1.21%,0.54%,0.19%,-,-,-0.20%,-0.20%,-,-,-,-
