,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,1708,2116,2352,1938,2162,2119,2254,190.98,-,223.95,-,213.37,213.37,165.13,165.13,244.86,244.86,288.11,288.11
1,Trading Asset Securities,-,0.34,-,-,-,-,-,-,-,-,-,0.17,0.17,-,-,-,-,-,-
2,Cash & Short-Term Investments,1708,2116,2352,1938,2162,2119,2254,190.98,-,223.95,213.54,213.54,213.54,165.13,165.13,244.86,244.86,288.11,288.11
3,Cash Growth,-20.99%,-0.11%,4.36%,914.52%,-,846.06%,955.50%,-10.57%,-,35.63%,29.32%,-12.79%,-12.79%,-42.69%,-42.69%,-,-,-,-
4,Accounts Receivable,600.05,561.81,389.07,588.1,370.91,250.94,181.92,287.99,-,152.23,-,180.06,180.06,159.57,159.57,171.09,171.09,76.84,76.84
5,Other Receivables,14.62,16.37,18.93,17.64,19.73,9.84,10.92,12.09,-,6.82,-,5.63,5.63,6.9,6.9,5.26,5.26,6.9,6.9
6,Receivables,614.67,578.18,408,605.75,390.64,260.79,192.84,300.08,-,159.04,-,185.69,185.69,166.48,166.48,176.36,176.36,83.74,83.74
7,Inventory,1198,832.03,774.8,714.8,812.81,737.14,685.85,722.79,-,756.12,-,660.75,613.56,499.66,499.66,379.42,379.42,198.61,198.61
8,Other Current Assets,79.19,68.29,71.65,74.92,69.21,61.17,55.34,58.92,-,50.78,-,62.09,62.09,50.41,50.41,47.93,47.93,15.86,15.86
