,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,1162,1122,1069,1094,1013,1024,751.77,716.78,538.36,613.9
1,Revenue Growth (YoY),8.66%,2.50%,5.55%,6.83%,34.76%,42.90%,39.64%,16.76%,5.27%,38.01%
2,Cost of Revenue,995.19,924.16,883.24,899.92,816.45,833.26,613.45,574.6,413.05,473.48
3,Gross Profit,166.84,197.41,186.13,194.26,196.66,191,138.33,142.18,125.31,140.42
4,"Selling, General & Admin",63.33,78.14,68.19,80.96,89.45,93.61,65.82,57,50.45,56.42
5,Research & Development,28.89,32.84,35.19,41.37,35.04,40.08,27.06,30.35,23.01,24.01
6,Operating Expenses,90.01,113.16,106.35,129.07,122.84,137.74,91.41,90.07,73.5,79.43
7,Operating Income,76.82,84.25,79.79,65.19,73.81,53.26,46.91,52.11,51.81,60.99
8,Interest Expense,-4.19,-4.08,-2.61,-1.71,-3.63,-2.64,-2.6,-1.95,-3.17,-6.02
9,Interest & Investment Income,2.19,0.98,0.7,0.19,0.07,0.17,0.23,0.11,0.22,0.15
10,Currency Exchange Gain (Loss),6.17,0.55,-1.67,0.99,2.05,-1.94,-0.99,-9.71,0.83,-0.56
11,Other Non Operating Income (Expenses),13.83,0.54,8.3,2.26,9.86,-14.97,26.13,2.79,4.78,-7.41
12,EBT Excluding Unusual Items,94.82,82.25,84.51,66.93,82.16,33.88,69.67,43.35,54.47,47.15
13,Gain (Loss) on Sale of Investments,0.05,0.11,0.03,0.01,0.01,-,0.64,0.54,1.06,0.28
14,Gain (Loss) on Sale of Assets,-0.28,-1.56,-,0.02,-,-0.03,-,0.55,0,0.35
15,Other Unusual Items,-,7.99,-,4.11,-,25.97,-,4.25,-,1.65
16,Pretax Income,94.59,88.78,84.54,71.07,82.18,59.82,70.31,48.69,55.54,49.42
17,Income Tax Expense,13.13,7.71,12.76,2.15,12.31,7.31,7.53,1.06,3.64,6.63
18,Earnings From Continuing Operations,81.45,81.08,71.79,68.92,69.87,52.51,62.78,47.63,51.9,42.79
19,Minority Interest in Earnings,0.1,0.38,0.49,0.52,0.38,0.65,0.08,-,-,-
20,Net Income,81.55,81.46,72.28,69.44,70.25,53.16,62.86,47.63,51.9,42.79
21,Net Income to Common,81.55,81.46,72.28,69.44,70.25,53.16,62.86,47.63,51.9,42.79
22,Net Income Growth,12.83%,17.30%,2.88%,30.63%,11.76%,11.61%,21.13%,11.32%,50.18%,166.22%
23,Shares Outstanding (Basic),434,434,434,434,434,434,434,434,434,344
24,Shares Outstanding (Diluted),434,434,434,434,434,434,434,434,434,344
25,Shares Change (YoY),-,-,-,-,-,-,-,26.20%,81.39%,99.50%
26,EPS (Basic),0.19,0.19,0.17,0.16,0.16,0.12,0.14,0.11,0.12,0.12
27,EPS (Diluted),0.19,0.19,0.17,0.16,0.16,0.12,0.14,0.11,0.12,0.12
28,EPS Growth,12.83%,17.30%,2.88%,30.63%,11.76%,11.61%,21.13%,-11.79%,-17.20%,33.45%
29,Free Cash Flow,-130.6,-70.3,23.98,86.59,41.09,33.47,-193.75,80.13,71.66,21
30,Free Cash Flow Per Share,-0.30,-0.16,0.06,0.20,0.09,0.08,-0.45,0.18,0.17,0.06
31,Operating Margin,6.61%,7.51%,7.46%,5.96%,7.29%,5.20%,6.24%,7.27%,9.62%,9.93%
32,Profit Margin,7.02%,7.26%,6.76%,6.35%,6.93%,5.19%,8.36%,6.65%,9.64%,6.97%
33,Free Cash Flow Margin,-11.24%,-6.27%,2.24%,7.91%,4.06%,3.27%,-25.77%,11.18%,13.31%,3.42%
34,EBITDA,81.28,113.66,85.36,91.83,77.99,73.4,49.68,70.39,54.61,76.11
35,D&A For EBITDA,4.46,29.41,5.57,26.64,4.18,20.14,2.76,18.28,2.8,15.13
36,EBIT,76.82,84.25,79.79,65.19,73.81,53.26,46.91,52.11,51.81,60.99
