,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Operating Revenue,1295,783.83,1379,-,1242,1284,1572,1117,1252,1214,1364,761.64,1732,1623,1333,1578,1215,1422,829.85,834.87,Upgrade
1,Other Revenue,-14.31,14.31,-,-,-14.11,14.11,-,33.22,-18.18,-,-,32.61,-16.96,16.96,-,35.52,-15.8,15.8,-,28.66,Upgrade
2,Revenue,1280,798.14,1379,-,1228,1298,1572,1150,1234,1214,1364,794.25,1715,1640,1333,1614,1199,1438,829.85,863.53,Upgrade
3,Revenue Growth (YoY),4.26%,-38.52%,-12.29%,-,-0.50%,6.95%,15.32%,44.76%,-28.03%,-25.97%,2.31%,-50.79%,43.04%,14.04%,60.62%,86.90%,-0.83%,11.38%,-41.30%,-16.26%,Upgrade
4,Cost of Revenue,1150,652.24,1263,-,1065,1144,1475,1029,1124,1106,1269,698.44,1591,1536,1235,1451,1096,1324,767.1,758.48,Upgrade
5,Gross Profit,130.45,145.9,115.86,-,162.86,154.33,96.96,121.24,110.63,108.13,94.46,95.8,123.56,103.36,97.93,162.68,103.03,113.6,62.74,105.05,Upgrade
6,"Selling, General & Admin",69.71,47.39,63.88,-,66.12,62.25,69.51,65.09,66,59.69,66.54,65.43,59.92,56.93,65.84,65.58,56.16,50.14,53.05,79.48,Upgrade
7,Other Operating Expenses,5.72,7.56,4.41,-,-2.75,-17.74,-8.74,-14.47,4.69,24,-12.23,28.98,-8.58,-2.31,-5.82,62.97,-14.52,-1.87,-26.76,-16.94,Upgrade
8,Operating Expenses,73.85,55.86,68.31,-,65.78,48.67,60.5,50.99,69.51,83.23,55.95,91.49,51.26,56.79,60.03,130.2,39.69,49.91,27.05,63.17,Upgrade
9,Operating Income,56.6,90.03,47.55,-,97.07,105.66,36.46,70.25,41.12,24.9,38.51,4.31,72.3,46.58,37.9,32.48,63.34,63.69,35.7,41.88,Upgrade
10,Interest Expense,-28.03,-30.45,-37.01,-,-44.75,-39.72,-37.1,-29.64,-42.24,-45.22,-29.59,-33.5,-35.6,-37.02,-32.29,-47.33,-24.44,-23.17,-27.66,-22.48,Upgrade
11,Interest & Investment Income,12.33,16.4,8.7,-,14.51,26.5,6.17,1.95,17.79,22.05,5,15.15,3.99,8.64,3.92,6.45,7.49,7.03,2.37,12.36,Upgrade
12,Earnings From Equity Investments,-,-7.52,7.52,-,-,-11.25,11.25,-,-,-2.23,2.23,-,-,-1.88,1.88,-,-,-0.75,0.75,-3.28,Upgrade
13,Currency Exchange Gain (Loss),-0.26,0.26,-,-,-1.24,1.24,-,1.11,-,-,-,-0.95,-0.31,-,-,-1.8,-1.16,-,-,-,Upgrade
14,Other Non Operating Income (Expenses),-2.46,-3.4,0.05,-,4.24,0.05,1.32,-6.95,7.7,-1.6,0.31,-6.11,-0.74,2.74,2.9,-3.35,1.72,-0.51,1,-85.85,Upgrade
15,EBT Excluding Unusual Items,38.19,65.32,26.82,-,69.83,82.48,18.1,36.71,24.38,-2.09,16.46,-21.11,39.63,19.06,14.31,-13.55,46.95,46.29,12.15,-57.37,Upgrade
16,Gain (Loss) on Sale of Assets,-0.49,-0.25,0.03,-,-0.24,0.03,2.24,-1.96,0.45,0.2,-0.02,-6.84,6.59,-1.12,0.02,-7.81,0.23,2.67,0.38,2.97,Upgrade
17,Asset Writedown,-,-0.15,0.15,-,-0.03,0.03,-,0.75,0.21,-,-,-,-,-,-,-,-,-,-,-,Upgrade
18,Other Unusual Items,22.19,18.6,0.75,-,-,-,-,102.78,23.21,27.37,-,78.38,-,-,-,66.01,-,-,-,104.9,Upgrade
19,Pretax Income,59.9,83.52,27.76,-,69.56,82.54,20.34,138.28,48.25,25.48,16.45,50.43,46.22,17.94,14.33,44.65,47.18,48.96,12.53,50.5,Upgrade
20,Income Tax Expense,13.46,15.14,11.27,-,18.67,13.85,9.23,20.72,8.35,10.67,7.49,2.31,9.8,7.54,5.83,6.25,6.68,7.48,4.1,9.53,Upgrade
21,Earnings From Continuing Operations,46.44,68.38,16.49,-,50.89,68.69,11.11,117.56,39.9,14.81,8.95,48.12,36.42,10.39,8.5,38.4,40.5,41.48,8.43,40.97,Upgrade
22,Minority Interest in Earnings,-20.68,-19.96,-16.06,-,-20.09,-19.69,-11.54,-10.09,-12,-12.26,-4.24,-13.57,-10.04,-6.41,-6.1,-14.35,-9.34,-11.02,-5.54,-16.19,Upgrade
23,Net Income,25.76,48.42,0.43,-,30.8,49,-0.43,107.47,27.9,2.55,4.71,34.55,26.38,3.98,2.4,24.05,31.16,30.46,2.89,24.78,Upgrade
24,Net Income to Common,25.76,48.42,0.43,-,30.8,49,-0.43,107.47,27.9,2.55,4.71,34.55,26.38,3.98,2.4,24.05,31.16,30.46,2.89,24.78,Upgrade
25,Net Income Growth,-16.37%,-1.19%,-,-,10.40%,1821.88%,-,211.06%,5.76%,-35.94%,96.10%,43.63%,-15.34%,-86.93%,-16.80%,-2.95%,-60.88%,-15.67%,-84.52%,-50.04%,Upgrade
26,Shares Outstanding (Basic),1187,1295,1076,-,1184,1308,1067,1191,1183,1203,1178,926,1197,1162,1202,1503,1184,1263,1111,939,Upgrade
27,Shares Outstanding (Diluted),1187,1295,1076,-,1184,1308,1067,1191,1183,1203,1178,926,1197,1162,1202,1503,1184,1263,1111,939,Upgrade
