,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,6077,4949,4308,5020,5282,5222,4937,5044,4712,4795,4819,5092,4831,4344,4332,4380,4546,4474,4273,4427,5460,Upgrade
1,Market Cap Growth,-5.23%,-5.23%,-12.74%,-0.47%,12.09%,8.91%,2.46%,-0.93%,-2.46%,10.38%,11.23%,16.26%,6.27%,-2.92%,1.39%,-1.07%,-16.74%,56.73%,31.75%,-1.71%,101.50%,Upgrade
2,Enterprise Value,9349,7820,7534,7817,8931,8872,8725,8793,9047,9277,9406,9547,9146,8564,8486,8635,8801,8502,8041,7866,8899,Upgrade
3,Last Close Price,5.12,4.17,3.63,4.18,4.40,4.35,4.11,4.16,3.88,3.95,3.97,4.18,3.96,3.56,3.53,3.57,3.70,3.64,3.44,3.56,4.39,Upgrade
4,PE Ratio,9.77,66.33,54.09,62.57,-,27.95,26.84,-,33.03,68.78,70.66,73.13,71.76,76.45,70.32,49.72,51.33,50.11,31.01,30.86,34.29,Upgrade
5,Forward PE,-,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,Upgrade
6,PS Ratio,1.41,1.43,1.27,1.29,-,0.99,0.94,0.98,0.95,1.04,0.95,0.92,0.88,0.69,0.75,0.78,0.89,1.03,0.98,1.06,1.14,Upgrade
7,PB Ratio,0.98,0.63,0.55,0.64,-,-,0.70,0.71,0.67,0.69,0.70,0.74,0.71,0.64,0.64,0.64,0.67,0.67,0.64,0.66,0.82,Upgrade
8,P/TBV Ratio,0.94,0.94,0.81,0.94,-,-,1.05,1.09,1.03,1.08,1.11,1.07,1.12,0.98,1.01,1.00,1.07,1.04,1.02,1.04,1.32,Upgrade
9,P/FCF Ratio,-,-,-16.07,-,-,-,7.64,-,13.63,43.99,62.15,-,-,36.40,-,-,-,9.88,9.24,-,25.73,Upgrade
10,P/OCF Ratio,44.39,-48.45,-5722.14,-,-,6.99,5.55,6.34,6.91,8.77,8.28,-,9.02,7.69,9.89,5.48,5.89,5.36,5.03,10.11,9.24,Upgrade
11,PEG Ratio,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,141.17,Upgrade
12,EV/Sales Ratio,2.17,2.26,2.21,2.00,-,1.69,1.66,1.70,1.82,2.01,1.85,1.73,1.67,1.36,1.47,1.55,1.73,1.96,1.85,1.88,1.86,Upgrade
13,EV/EBITDA Ratio,21.77,19.69,17.08,16.98,-,14.92,16.39,19.79,20.54,25.16,23.89,22.94,22.38,19.92,20.96,20.90,22.30,21.92,21.97,20.81,22.84,Upgrade
14,EV/EBIT Ratio,57.51,40.27,32.11,31.23,-,28.67,34.42,50.91,51.76,85.24,67.18,59.04,56.77,45.25,47.06,43.74,45.08,41.55,43.62,37.72,40.15,Upgrade
15,EV/FCF Ratio,-58.31,-,-28.11,-,-,-,13.49,-,26.16,85.12,121.32,-,-,71.76,-,-,-,18.77,17.39,-,41.94,Upgrade
16,Debt / Equity Ratio,0.38,0.38,0.38,0.47,-,-,0.58,0.53,0.55,0.58,0.63,0.61,0.62,0.63,0.59,0.58,0.58,0.66,0.61,0.55,0.62,Upgrade
17,Debt / EBITDA Ratio,7.06,6.05,4.78,7.96,-,-,5.84,8.69,6.76,9.41,12.47,10.06,14.88,8.14,9.10,10.18,10.82,10.42,8.62,11.60,12.08,Upgrade
18,Debt / FCF Ratio,-,-,-11.11,-,-,-,6.32,-,11.14,36.79,55.99,-,-,35.90,-,-,-,9.79,8.78,-,19.34,Upgrade
19,Asset Turnover,0.41,0.25,-,-,-,0.40,0.49,0.36,0.39,0.38,0.43,0.25,0.54,0.51,0.42,0.51,0.38,0.45,0.26,0.32,Upgrade,
20,Inventory Turnover,-,8.55,6.80,-,-,-,7.80,11.15,7.14,6.22,5.76,8.31,4.99,8.36,7.79,7.53,9.07,7.13,7.95,4.37,4.82,Upgrade
