,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,1471,1743,2114,-,-,1823,1361,1470,1037,1209,971.98,1007,1212,996.82,1093,1277,1422,1275,1121,1127,Upgrade
1,Cash & Short-Term Investments,1471,1743,2114,-,-,1823,1361,1470,1037,1209,971.98,1007,1212,996.82,1093,1277,1422,1275,1121,1127,Upgrade
2,Cash Growth,-,-4.37%,55.32%,-,-,50.83%,40.00%,45.91%,-14.37%,21.24%,-11.08%,-21.11%,-14.80%,-21.81%,-2.51%,13.29%,48.28%,33.49%,-3.74%,1.58%,Upgrade
3,Accounts Receivable,366.51,372.47,443.42,-,-,331.23,316.4,328.16,374.12,370.57,423.63,340.78,454.94,437.34,409.62,407.51,441.81,547.35,650.97,485.87,Upgrade
4,Other Receivables,377.26,353.58,628.43,-,-,133.85,56.13,90.58,70.71,76.73,87.07,196.77,78.46,75.79,51.4,53.05,69.11,73.06,107.95,81.47,Upgrade
5,Receivables,743.76,726.04,1072,-,-,465.08,372.53,418.74,444.83,447.31,510.7,537.56,533.4,513.13,461.02,460.56,510.93,620.4,758.92,567.34,Upgrade
6,Inventory,599.62,476.54,290.51,-,-,615.81,557.28,501.16,650.77,794.27,742.48,479.8,639.78,882.72,694.18,618.05,661.5,567.91,765.36,638.43,Upgrade
7,Prepaid Expenses,-,0.61,-,-,-,0.67,-,0.22,-,0.64,-,0.18,-,0,-,0.04,-,1.93,-,1.6,Upgrade
8,Other Current Assets,348.37,300.22,220.25,-,-,1621,1191,1159,369.19,250.61,2301,328.84,485.86,619.55,709.52,472.96,605.92,741.44,589,479.9,Upgrade
9,Total Current Assets,3162,3247,3696,-,-,4526,3482,3549,2502,2701,4527,2354,2871,3012,2958,2829,3200,3207,3235,2814,Upgrade
10,"Property, Plant & Equipment",7694,7374,7386,-,-,7441,7854,7865,8388,8397,7068,8361,8204,8114,8097,8054,7956,7932,7926,7921,Upgrade
11,Long-Term Investments,211.89,239.05,235.44,-,-,247.91,239.6,228.36,239.88,229.02,214.9,212.67,207.69,207.42,205.23,203.35,201.14,196.89,200.08,199.34,Upgrade
12,Goodwill,6.44,6.44,6.44,-,-,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,Upgrade
13,Other Intangible Assets,905.52,896.33,903.72,-,-,961.36,1072,1086,1107,1192,810.12,1249,1112,1244,1125,1256,1140,1271,1152,1283,Upgrade
14,Long-Term Deferred Tax Assets,43.53,42.72,43.04,-,-,46.7,46.33,46.33,52.3,52.32,52.3,52.3,38.97,39.72,38.97,38.97,31.27,31.66,31.81,31.81,Upgrade
15,Long-Term Deferred Charges,9.23,10.03,9.46,-,-,25.25,26.13,25.57,60.92,63.12,65.12,64.68,61.33,63,63.66,57.6,58.94,60.46,62.02,63.4,Upgrade
16,Other Long-Term Assets,686.3,685.77,713.23,-,-,32,27.88,28.12,170.67,90.65,191.38,53.4,189.09,118.5,227.22,114.59,150.96,27.49,147.35,33.8,Upgrade
17,Total Assets,12720,12501,12993,-,-,13286,12754,12835,12527,12732,12935,12354,12691,12804,12721,12559,12746,12733,12760,12353,Upgrade
