,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,9667,10441,11128,9336,10324,9629,9149,10059,10583,7377
1,Short-Term Investments,9406,8706,7052,9773,6226,7548,7101,6348,4472,5398
2,Cash & Short-Term Investments,19073,19147,18181,19109,16550,17177,16250,16407,15055,12776
3,Cash Growth,4.91%,0.20%,9.86%,11.24%,1.85%,4.70%,7.94%,28.42%,149.76%,164.44%
4,Accounts Receivable,308.47,431.18,524.01,430.65,445.42,477.33,350.91,288.81,400.53,314.35
5,Other Receivables,-,344.42,-,397.01,0.08,297.04,0.08,304.68,0.08,300.6
6,Receivables,308.47,775.61,524.01,827.66,445.5,774.37,350.99,593.49,400.61,614.95
7,Inventory,2139,2258,2018,1994,1542,1722,1622,1284,945.29,686.09
8,Restricted Cash,20.97,58.22,21.71,30.11,40.5,25.62,25.3,23.92,27.72,76.58
9,Other Current Assets,854.26,315.53,799.56,269.11,627.03,270.4,532.12,235.5,907.46,3135
10,Total Current Assets,22396,22554,21544,22230,19204,19970,18780,18544,17336,17289
11,"Property, Plant & Equipment",9810,9889,9951,9909,9368,8865,7813,7563,4472,4348
12,Long-Term Investments,415.37,645,442.89,352.2,511.76,129.36,841.32,145.06,150.71,144.33
13,Goodwill,112.4,112.4,112.4,112.4,112.4,112.4,47.98,47.98,47.98,47.98
14,Other Intangible Assets,15.24,16.33,17.42,18.51,19.6,20.69,0.08,0.09,0.04,0.04
15,Long-Term Deferred Tax Assets,382.48,402.22,482.3,438.96,433.69,473.63,406.65,375.68,274.1,208.69
16,Other Long-Term Assets,2478,2575,2423,2455,2296,1911,1727,1646,225.96,965.66
17,Total Assets,35609,36195,34973,35516,31946,31481,29616,28323,22507,23004
18,Accounts Payable,1642,1838,1696,1774,990.03,1284,1385,1133,1283,1042
19,Short-Term Debt,-,250,-,120,-,-,-,-,-,-
20,Current Portion of Long-Term Debt,510.91,254.91,467.01,326.64,408.14,312.85,302.96,448.25,344.61,3094
21,Current Portion of Leases,28.81,87.4,60.55,66.74,77.79,62.1,71.49,98.33,50.85,57.15
22,Current Income Taxes Payable,262.78,290.74,190.82,467.76,256.63,1063,716.56,910.12,665.63,614.43
23,Current Unearned Revenue,-,683.33,-,1068,-,1458,-,1805,-,1048
24,Other Current Liabilities,4268,3978,4341,3637,4643,2763,3313,2713,3869,1584
25,Total Current Liabilities,6713,7382,6756,7460,6376,6942,5789,7107,6213,7439
26,Long-Term Debt,756.9,872.84,885.78,861.99,563.83,621.36,595.29,732.22,892.03,1716
27,Long-Term Leases,52.07,171.26,91.48,125.87,133.69,115.27,119.58,139.26,127.74,128.49
28,Long-Term Deferred Tax Liabilities,383.97,813.25,788.84,965.31,851.16,752.57,987.84,784.21,709.05,557.19
29,Other Long-Term Liabilities,659.93,620.76,620.15,627.96,640.66,646.75,497.81,374.26,202.06,133.93
30,Total Liabilities,8565,9860,9142,10041,8565,9078,7989,9137,8144,9974
31,Common Stock,0,0,0,0,0,0,0,0,0,0
32,Additional Paid-In Capital,6528,6528,6532,6607,6266,6360,6375,6631,6631,6631
33,Retained Earnings,19295,18356,17798,17519,15649,14710,13785,11231,7648,6479
34,Treasury Stock,-79.78,-123.01,-,-74.78,-74.23,-94.04,-,-,-,-
35,Comprehensive Income & Other,-126.24,183.96,90.36,-65.28,42.37,-54.2,2.13,-114.24,83.85,-79.52
36,Total Common Equity,25617,24945,24421,23986,21883,20921,20163,17747,14363,13030
37,Minority Interest,1426,1389,1410,1489,1498,1482,1464,1438,-,-
38,Shareholders' Equity,27044,26334,25831,25475,23381,22403,21626,19186,14363,13030
39,Total Liabilities & Equity,35609,36195,34973,35516,31946,31481,29616,28323,22507,23004
40,Total Debt,1349,1636,1505,1501,1183,1112,1089,1418,1415,4996
41,Net Cash (Debt),17724,17510,16676,17607,15366,16066,15160,14989,13640,7780
42,Net Cash Growth,6.29%,-0.55%,8.52%,9.60%,1.36%,7.18%,11.15%,92.66%,344.13%,168.57%
43,Net Cash Per Share,1.96,1.93,1.84,1.96,1.69,1.77,1.66,1.64,1.50,0.94
44,Filing Date Shares Outstanding,9067,9067,9068,9068,8893,8905,8917,8933,8933,8933
45,Total Common Shares Outstanding,9067,9067,9068,9068,8893,8905,8917,8933,8933,8933
46,Working Capital,15683,15172,14788,14770,12829,13028,12991,11437,11123,9850
47,Book Value Per Share,2.83,2.75,2.69,2.65,2.46,2.35,2.26,1.99,1.61,1.46
48,Tangible Book Value,25490,24816,24291,23855,21751,20788,20115,17699,14315,12982
49,Tangible Book Value Per Share,2.81,2.74,2.68,2.63,2.45,2.33,2.26,1.98,1.60,1.45
50,Land,-,30.9,-,29.72,-,29.32,-,28.92,-,30.58
51,Buildings,-,6118,-,5373,-,4706,-,4341,-,655.71
52,Machinery,-,4747,-,3864,-,3423,-,2886,-,1196
53,Construction In Progress,-,907.76,-,1825,-,1411,-,662.08,-,2628
