,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Feb '25 Feb 26, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,41799,46998,44199,31562,28603,26959,27945
1,Market Cap Growth,-,74.33%,58.16%,-,-,-,-
2,Enterprise Value,49215,49215,46415,-,-,-,-
3,Last Close Price,20900.00,23500.00,22100.00,15840.00,14355.00,13530.00,14025.00
4,PE Ratio,-,13.61,31.28,23.18,28.59,43.45,142.29
5,PS Ratio,1.54,0.80,0.60,0.38,0.50,0.66,1.94
6,PB Ratio,1.79,1.79,1.86,1.50,-,-,-
7,P/TBV Ratio,1.86,1.86,1.94,1.51,-,-,-
8,P/FCF Ratio,4.89,-,-,-2.58,-1.96,-,-
9,P/OCF Ratio,4.89,-,-,-2.71,-2.05,-,-
10,EV/Sales Ratio,1.61,0.83,0.63,-,-,-,-
11,EV/EBIT Ratio,14.79,13.60,-,-,-,-,-
12,Debt / Equity Ratio,-,-,-,0.35,-,-,-
13,Debt / FCF Ratio,-,-,-,-0.60,-,-,-
14,Quick Ratio,0.58,0.58,2.59,0.50,-,-,-
15,Current Ratio,4.49,4.49,8.48,1.67,-,-,-
16,Earnings Yield,5.38%,7.35%,3.20%,4.31%,3.50%,2.30%,0.70%
17,FCF Yield,20.45%,-,-,-38.81%,-51.04%,-62.87%,-30.32%
18,Buyback Yield / Dilution,-0.37%,-0.26%,-,-,-,-,
19,Total Shareholder Return,-0.37%,-0.26%,-,-,-,-,
