,Fiscal Quarter,Q4 2024,Q4 2023,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Revenue,11689,5774,24459,17145,26198,14378
1,Revenue Growth (YoY),-55.38%,-59.84%,-,-,-,-
2,Cost of Revenue,7196,4411,21839,14916,23593,12802
3,Gross Profit,4494,1364,2620,2228,2605,1576
4,"Selling, General & Admin",1303,1758,2165,1861,2012,1292
5,Operating Expenses,1303,1758,2165,1861,2012,1292
6,Operating Income,3191,-394.73,455.18,367.28,592.84,283.53
7,Interest Expense,-,-,-37.33,-54.3,-75.32,-51.64
8,Interest & Investment Income,19.37,738.9,99.99,197.44,7.43,20.03
9,Other Non Operating Income (Expenses),-94.92,-25.28,-73.65,-34.72,13.49,1.63
10,Pretax Income,3115,318.89,444.2,475.71,538.43,253.55
11,Income Tax Expense,651.21,70.88,83.13,95.86,114.32,57.16
12,Net Income,2464,248.01,361.07,379.85,424.11,196.39
13,Net Income to Common,2464,248.01,361.07,379.85,424.11,196.39
14,Net Income Growth,481.03%,26.28%,-,-,-,-
15,Shares Outstanding (Basic),2,2,2,2,2,2
16,Shares Outstanding (Diluted),2,2,2,2,2,2
17,Shares Change (YoY),0.37%,0.26%,-,-,-,-
18,EPS (Basic),1232.15,124.01,180.40,190.30,212.85,98.45
19,EPS (Diluted),1232.00,124.00,180.40,190.30,212.85,98.45
20,EPS Growth,478.81%,25.95%,-,-,-,-
21,Free Cash Flow,-,-,2349,2349,-8474,-8474
22,Free Cash Flow Per Share,-,-,1173.85,1177.05,-4253.05,-4248.14
23,Gross Margin,38.44%,23.62%,10.71%,13.00%,9.94%,10.96%
24,Operating Margin,27.30%,-6.84%,1.86%,2.14%,2.26%,1.97%
25,Profit Margin,21.08%,4.30%,1.48%,2.22%,1.62%,1.37%
26,Free Cash Flow Margin,-,-,9.61%,13.70%,-32.35%,-58.94%
27,EBIT,3191,-394.73,455.18,367.28,592.84,283.53
28,EBIT Margin,27.30%,-6.84%,1.86%,2.14%,2.26%,1.97%
29,Effective Tax Rate,20.90%,22.23%,18.71%,20.15%,21.23%,22.54%
30,Revenue as Reported,11689,5774,24459,17145,26198,14378
