,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Revenue,180050,178000,191025,183101,177571,181399,206629,188245
1,Revenue Growth (YoY),1.40%,-1.87%,-7.55%,-2.73%,-,-,-,-
2,Cost of Revenue,156916,161641,174082,167368,161580,164611,189203,171726
3,Gross Profit,23134,16359,16944,15733,15991,16787,17426,16519
4,"Selling, General & Admin",15971,13463,14576,13831,11262,12315,12095,11475
5,Operating Expenses,15971,13463,14576,13831,11262,12315,12095,11475
6,Operating Income,7163,2896,2368,1902,4729,4472,5331,5043
7,Interest Expense,-609.96,-617.68,-752.14,-715.99,-959.26,-1068,-1338,-1089
8,Interest & Investment Income,4.76,5.41,8.14,7.53,32.09,18.28,2.59,24.95
9,Other Non Operating Income (Expenses),-7990,-0.98,141.34,45.56,-183.04,-90.09,140.82,94.34
10,Pretax Income,-1432,2283,1765,1239,3619,3333,4137,4074
11,Income Tax Expense,4870,456.5,585.26,247.84,818.81,714.02,827.31,814.71
12,Net Income,-6302,1826,1180,991.38,2800,2619,3309,3259
13,Net Income to Common,-6302,1826,1180,991.38,2800,2619,3309,3259
14,Net Income Growth,-,-30.27%,-64.35%,-69.58%,-,-,-,-
15,Shares Outstanding (Basic),7,7,7,7,7,7,7,7
16,Shares Outstanding (Diluted),7,7,7,7,7,7,7,7
17,Shares Change (YoY),0.06%,-0.20%,-0.01%,-0.25%,-,-,-,-
18,EPS (Basic),-875.00,254.00,164.00,138.00,389.00,363.50,460.00,452.50
19,EPS (Diluted),-875.00,254.00,164.00,138.00,389.00,363.50,460.00,452.50
20,EPS Growth,-,-30.12%,-64.35%,-69.50%,-,-,-,-
21,Free Cash Flow,-6316,-,-6263,-2989,11753,11753,3024,3024
22,Free Cash Flow Per Share,-876.99,-,-870.66,-416.06,1632.70,1631.49,420.33,419.87
23,Gross Margin,12.85%,9.19%,8.87%,8.59%,9.01%,9.25%,8.43%,8.78%
24,Operating Margin,3.98%,1.63%,1.24%,1.04%,2.66%,2.47%,2.58%,2.68%
25,Profit Margin,-3.50%,1.03%,0.62%,0.54%,1.58%,1.44%,1.60%,1.73%
26,Free Cash Flow Margin,-3.51%,-,-3.28%,-1.63%,6.62%,6.48%,1.46%,1.61%
27,EBITDA,14229,9735,9378,9248,11815,11558,12352,12064
28,EBITDA Margin,7.90%,5.47%,4.91%,5.05%,6.65%,6.37%,5.98%,6.41%
29,D&A For EBITDA,7066,6839,7010,7346,7085,7085,7021,7021
30,EBIT,7163,2896,2368,1902,4729,4472,5331,5043
31,EBIT Margin,3.98%,1.63%,1.24%,1.04%,2.66%,2.47%,2.58%,2.68%
32,Effective Tax Rate,-,20.00%,33.16%,20.00%,22.63%,21.43%,20.00%,20.00%
33,Revenue as Reported,180050,178000,191025,183101,177571,181399,206629,188245
