,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,6252,8429,4737,-,18327,-,-,-
1,Cash & Short-Term Investments,6252,8429,4737,18327,18327,-,-,-
2,Cash Growth,-65.89%,-,-,-,-,-,-,-
3,Accounts Receivable,17593,30121,32237,-,28184,-,-,-
4,Other Receivables,842.45,2742,981.68,-,2161,-,-,-
5,Receivables,18435,32863,33218,-,30345,-,-,-
6,Inventory,5379,5509,5997,-,5501,-,-,-
7,Prepaid Expenses,3812,1202,3236,-,2165,-,-,-
8,Other Current Assets,249.22,328.84,153.51,-,448.22,-,-,-
9,Total Current Assets,34128,48332,47342,-,56786,-,-,-
10,"Property, Plant & Equipment",111156,117320,111032,-,122740,-,-,-
11,Long-Term Investments,567,472.5,596.25,-,524.25,-,-,-
12,Other Intangible Assets,30976,31226,30273,-,30625,-,-,-
13,Other Long-Term Assets,44655,44853,46849,-,47836,-,-,-
14,Total Assets,221482,242203,236092,-,258512,-,-,-
15,Accounts Payable,27317,27177,31034,-,36284,-,-,-
16,Accrued Expenses,10726,24561,16285,-,21385,-,-,-
17,Short-Term Debt,11832,12730,14143,-,15157,-,-,-
18,Current Income Taxes Payable,2158,6007,1516,-,4851,-,-,-
19,Current Unearned Revenue,-,-,123.64,-,123.64,-,-,-
20,Other Current Liabilities,8952,10014,2851,-,13430,-,-,-
21,Total Current Liabilities,60985,80490,65953,-,91232,-,-,-
22,Long-Term Debt,18265,13233,14327,-,15768,-,-,-
23,Other Long-Term Liabilities,28548,28495,35303,-,33597,-,-,-
24,Total Liabilities,107798,122217,115583,-,140597,-,-,-
25,Common Stock,72000,72000,72000,-,72000,-,-,-
26,Additional Paid-In Capital,6345,6345,6345,-,6345,-,-,-
27,Retained Earnings,35339,41641,42164,-,39570,-,-,-
28,Shareholders' Equity,113684,119986,120509,117914,117914,-,-,-
29,Total Liabilities & Equity,221482,242203,236092,-,258512,-,-,-
30,Total Debt,30097,25963,28471,30926,30926,-,-,-
31,Net Cash (Debt),-23846,-17534,-23734,-12599,-12599,-,-,-
32,Net Cash Per Share,-3310.78,-2438.99,-3299.30,-1753.77,-1750.25,-,-,-
33,Filing Date Shares Outstanding,7.2,7.19,7.19,7.18,7.2,7.2,7.19,7.2
34,Total Common Shares Outstanding,7.2,7.19,7.19,7.18,7.2,7.2,7.19,7.2
35,Working Capital,-26857,-32157,-18612,-,-34446,-,-,-
36,Book Value Per Share,15789.45,16690.29,16752.39,16380.74,16380.74,-,-,-
37,Tangible Book Value,82708,88760,90236,87289,87289,-,-,-
38,Tangible Book Value Per Share,11487.18,12346.72,12543.97,12126.26,12126.26,-,-,-
39,Construction In Progress,314.81,12478,1524,-,12707,-,-,-
