,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 4, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,78480,79920,79920,85680,86400,90000,92880,108000,113760
1,Market Cap Growth,132.91%,-11.20%,-13.95%,-20.67%,-24.05%,-,-,-,-
2,Enterprise Value,102326,97454,92519,98279,98999,73347,76227,91347,97107
3,Last Close Price,10900.00,11100.00,11100.00,11156.25,11250.00,11718.75,11594.01,13481.40,13511.91
4,PE Ratio,77.86,-,11.76,11.29,8.89,7.51,10.11,16.44,34.91
5,PS Ratio,0.11,0.11,0.11,0.12,0.12,0.12,0.16,0.27,0.60
6,PB Ratio,0.69,0.70,0.67,0.71,0.73,0.76,-,-,-
7,P/TBV Ratio,0.97,0.97,0.90,0.95,0.99,1.03,-,-,-
8,P/FCF Ratio,35.31,-,-,-,-,3.05,5.22,17.86,37.62
9,P/OCF Ratio,2.82,8.61,-,-,1.98,2.38,4.02,12.96,27.31
10,EV/Sales Ratio,0.14,0.13,0.13,0.13,0.13,0.10,0.13,0.23,0.52
11,EV/EBITDA Ratio,2.31,2.29,2.30,2.34,2.20,1.53,2.12,3.74,8.05
12,EV/EBIT Ratio,6.10,6.80,7.78,7.30,6.02,3.75,5.13,8.81,19.25
13,EV/FCF Ratio,46.04,-,-,-,-,2.48,4.28,15.10,32.11
14,Debt / Equity Ratio,0.26,0.26,0.22,0.24,0.26,0.26,-,-,-
15,Debt / EBITDA Ratio,0.68,0.53,0.67,0.76,0.84,0.65,-,-,-
16,Debt / FCF Ratio,13.54,-,-,-,-,1.05,-,-,-
17,Asset Turnover,3.11,-,-,-,-,-,-,-,
18,Inventory Turnover,112.87,115.29,-,-,-,-,-,-,-
19,Quick Ratio,0.40,0.40,0.51,0.58,-,0.53,-,-,-
20,Current Ratio,0.56,0.56,0.60,0.72,-,0.62,-,-,-
21,Return on Equity (ROE),-21.58%,-,3.96%,3.36%,-,-,-,-,
22,Return on Assets (ROA),7.72%,-,-,-,-,-,-,-,
23,Return on Capital (ROIC),12.36%,-,3.97%,3.19%,-,-,-,-,
24,Return on Capital Employed (ROCE),10.45%,8.93%,7.36%,7.92%,-,11.70%,-,-,-
25,Earnings Yield,1.28%,-2.88%,8.51%,8.86%,11.25%,13.32%,9.89%,6.08%,2.86%
26,FCF Yield,2.83%,-19.48%,-,16.64%,27.25%,32.84%,19.16%,5.60%,2.66%
27,Payout Ratio,236.64%,-,-,-,191.49%,30.38%,32.49%,90.58%,91.98%
28,Buyback Yield / Dilution,-139.69%,-0.06%,0.20%,0.01%,0.25%,-,-,-,-
29,Total Shareholder Return,-133.27%,-0.06%,0.20%,0.01%,0.25%,-,-,-,-
