,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,389,434,217,596,739,507,626,773,567,778,951,Upgrade
1,Market Cap Growth,-27.27%,-27.27%,-70.67%,17.48%,18.11%,-34.39%,10.43%,-0.63%,-40.41%,-36.55%,-24.31%,Upgrade
2,Enterprise Value,662,668,415,885,893,554,763,851,660,879,1160,Upgrade
3,Last Close Price,0.08,0.09,0.04,0.12,0.15,0.10,0.13,0.16,0.12,0.16,0.19,Upgrade
4,PE Ratio,-,-,1.28,-76.59,-,-,128.76,-,-,-,12.82,Upgrade
5,PS Ratio,5.90,6.57,2.13,4.63,6.44,2.98,4.14,11.83,1.56,0.95,0.83,Upgrade
6,PB Ratio,0.46,0.51,0.24,0.68,1.03,0.58,0.62,0.81,0.57,0.77,0.83,Upgrade
7,P/TBV Ratio,0.51,0.51,0.25,0.69,1.03,0.58,0.63,0.82,0.57,0.77,0.84,Upgrade
8,EV/Sales Ratio,10.04,10.12,4.07,6.87,7.78,3.26,5.05,13.02,1.81,1.08,1.01,Upgrade
9,EV/EBITDA Ratio,7.12,-,-,-,-,-,-,-,-,-,-,Upgrade
10,EV/EBIT Ratio,8.18,-,-,-,-,-,-,-,-,-,-,Upgrade
11,EV/FCF Ratio,-30.71,-,-,-,-,-,-,-,-,-,-,Upgrade
12,Debt / Equity Ratio,0.57,0.57,0.54,0.50,0.74,0.41,0.36,0.40,0.36,0.30,0.17,Upgrade
13,Earnings Yield,-5.14%,-4.61%,78.10%,-1.31%,-38.85%,-13.37%,0.78%,-8.07%,-25.05%,-13.72%,7.80%,Upgrade
14,FCF Yield,-5.54%,-4.97%,-8.08%,-3.69%,-3.05%,-3.48%,-3.13%,-3.75%,-4.32%,-2.59%,-3.34%,Upgrade
