,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,311.65,226.77,234.68,75.48,271.51,260.72,258.09,195.03,334.17,309.5,281.04,232.72,249.48,169.58,169.58
1,Other Revenue,-45.7,45.7,-,94.6,-11.8,11.8,-,55.58,-24.68,24.68,-,47.79,-14.81,7.4,7.4
2,Revenue,265.94,272.48,234.68,170.08,259.71,272.52,258.09,250.61,309.5,334.17,281.04,280.51,234.67,176.99,176.99
3,Revenue Growth (YoY),2.40%,-0.02%,-9.07%,-32.13%,-16.09%,-18.45%,-8.17%,-10.66%,31.89%,88.82%,58.79%,-,-,-,-
4,Cost of Revenue,161.43,169.21,159.72,127.93,182.43,167.14,161.43,149.56,187.77,202.05,187.54,192.33,146.94,144.18,144.18
5,Gross Profit,104.51,103.27,74.96,42.15,77.28,105.38,96.66,101.04,121.73,132.13,93.5,88.19,87.73,32.8,32.8
6,"Selling, General & Admin",13.28,11.75,10.4,14.5,10.96,11.57,10.5,17.15,12.88,11.03,10.12,17.88,11.36,29.54,29.54
7,Research & Development,15.72,21.52,21.55,16.74,22,20.5,22.98,24.41,23.26,19.04,18,17.68,17.7,20.52,20.52
8,Other Operating Expenses,-3.96,14.35,-16,57.55,-20.35,-12.89,-23.26,34.41,-9.26,-17.48,-10.54,57.92,-61.26,-0.65,-0.65
9,Operating Expenses,24.92,48.19,16.67,88.69,12.65,18.75,11.01,75.03,26.91,13.04,17.76,93.65,-32.18,49.95,49.95
10,Operating Income,79.59,55.08,58.29,-46.54,64.63,86.63,85.65,26.01,94.81,119.09,75.74,-5.47,119.92,-17.15,-17.15
11,Interest Expense,-1.34,-0.09,-0.11,-0.18,-0.02,-,-0.04,-0.03,-0.03,-0.03,-0.04,-0.03,-0.05,-0.06,-0.06
12,Interest & Investment Income,-,7.39,10.86,12.43,11.3,13.11,9.88,8.08,6.57,2.23,2.24,2.57,2.74,2.44,2.44
13,Currency Exchange Gain (Loss),-0.91,0.91,-,5.95,-5.65,5.65,-,57.74,-29.66,29.66,-,-7.03,2.07,-1.04,-1.04
14,Other Non Operating Income (Expenses),-2.84,-0.15,0.04,-6.43,6.35,1.07,-1.1,-60.65,60,1.61,-1.22,2.14,18.11,-0.1,-0.1
15,EBT Excluding Unusual Items,74.5,63.14,69.08,-34.78,76.61,106.46,94.4,31.16,131.7,152.56,76.73,-7.81,142.79,-15.9,-15.9
16,Gain (Loss) on Sale of Investments,1.54,4.41,3.13,1.95,3.88,3.54,3.21,0.61,-2,-0.43,-2.61,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.01,0.05,-0.03,-0.26,-,-0.02,0.02,-0.73,-,-,-,-0.23,-,0,0
18,Asset Writedown,1.55,-1.04,1.04,2.92,-2.92,2.98,-2.98,-0.37,0.37,-0.81,0.81,2.28,-2.28,-,-
19,Other Unusual Items,7.4,28.51,-0,69.39,-,-,-,42.29,-,-,-,83.74,-55.93,27.97,27.97
20,Pretax Income,84.98,95.06,73.22,39.23,77.57,112.97,94.64,72.96,130.07,151.32,74.93,77.98,84.58,12.07,12.07
21,Income Tax Expense,10.8,10.48,9.51,2.95,9,15.76,8.44,-3.96,0.74,2.06,1.16,-0.07,-19.96,10.01,10.01
