,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,1037,2551,1371,1504,644.61,999.96,1170,2396,1228,-,-,1095,-,969.3,969.3
1,Trading Asset Securities,1846,320.2,1481,1352,2304,1934,1728,558.35,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,2882,2871,2851,2856,2948,2933,2898,2954,1228,-,1095,1095,969.3,969.3,969.3
3,Cash Growth,-2.25%,-2.14%,-1.62%,-3.32%,140.15%,-,164.71%,169.84%,26.67%,-,12.95%,-,-,-,-
4,Accounts Receivable,429.96,393.78,321.26,289.83,300.29,266.46,284.14,233.42,324.07,-,-,288.55,-,206.86,206.86
5,Other Receivables,0.77,0.68,0.6,0.4,0.87,0.24,1.23,1.87,-,-,-,-,-,3.12,3.12
6,Receivables,430.73,394.46,321.86,290.23,301.17,266.7,285.38,235.29,324.07,-,-,288.55,-,209.98,209.98
7,Inventory,185.04,178.33,189.97,205.79,193,253.53,266.78,279.59,219.61,-,-,181.27,-,154.93,154.93
8,Other Current Assets,12.31,10.62,6.37,17.36,13.64,17.71,21.77,27.25,40.4,-,-,42.58,-,142.92,142.92
9,Total Current Assets,3510,3454,3369,3370,3456,3471,3472,3496,1812,-,-,1607,-,1477,1477
10,"Property, Plant & Equipment",1217,1214,1157,1149,1069,1058,1066,1064,1082,-,-,1102,-,1109,1109
11,Long-Term Investments,394.63,406.03,411.21,415.34,343.99,347.92,350.08,262.42,265.18,-,-,182.64,-,184.93,184.93
