,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,15103,14456,12058,12189,15408,17379,19575,21035,16519,-,-,-,-,-,-,-
1,Market Cap Growth,-16.82%,-16.82%,-38.40%,-42.05%,-6.72%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,12674,12031,9658,9777,12889,14866,17113,18500,15696,-,-,-,-,-,-,-
3,Last Close Price,12.14,11.62,9.68,9.76,12.34,13.92,15.61,16.77,13.17,-,-,-,-,-,-,-
4,PE Ratio,67.36,63.77,54.02,52.24,60.62,60.87,59.32,57.12,47.02,-,-,-,-,-,-,-
5,Forward PE,-,45.57,32.03,22.72,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,16.19,15.33,12.87,13.01,16.04,16.70,17.95,18.25,14.05,-,-,-,-,-,-,-
7,PB Ratio,3.52,3.05,2.58,2.64,3.36,3.82,4.30,4.69,3.75,-,-,-,-,-,-,-
8,P/TBV Ratio,3.43,3.43,2.91,2.98,3.79,4.31,4.84,5.30,4.24,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,93.58,-,79.37,84.91,88.25,64.94,-,-,-,-,-,-,-
10,P/OCF Ratio,86.07,86.07,56.45,50.83,57.79,48.19,55.60,53.56,38.38,-,-,-,-,-,-,-
11,EV/Sales Ratio,13.44,12.76,10.31,10.43,13.42,14.28,15.69,16.05,13.35,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,55.06,52.78,45.31,39.95,-,43.10,45.90,45.70,39.98,-,-,-,-,-,-,-
13,EV/EBIT Ratio,86.56,82.17,73.47,59.98,-,56.54,58.38,56.82,49.72,-,-,-,-,-,-,-
14,EV/FCF Ratio,-673.74,-,-,75.06,-,67.89,74.23,77.62,61.70,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00
16,Debt / EBITDA Ratio,0.03,0.02,0.03,0.03,-,0.01,0.01,0.01,0.02,0.00,-,0.01,0.06,0.01,-,-
17,Debt / FCF Ratio,-,-,-,0.08,-,0.01,0.01,0.01,0.01,0.01,-,0.03,-,0.08,-,-
18,Asset Turnover,0.20,0.21,0.19,0.14,0.21,0.22,0.21,0.24,-,-,-,-,-,0.25,-,
19,Inventory Turnover,3.27,3.55,3.68,3.23,2.57,3.27,2.57,2.36,2.40,-,-,-,-,-,3.72,-
20,Quick Ratio,10.81,10.81,10.63,15.46,13.78,15.09,14.64,11.65,11.16,5.12,-,-,3.78,-,3.02,3.02
21,Current Ratio,11.45,11.45,11.24,16.42,14.76,16.05,15.88,12.70,12.23,5.97,-,-,4.40,-,3.78,3.78
22,Return on Equity (ROE),6.31%,7.29%,5.54%,3.18%,6.03%,8.61%,7.76%,8.72%,-,-,12.79%,14.09%,19.68%,0.39%,-,
23,Return on Assets (ROA),3.82%,2.70%,2.89%,-2.32%,3.23%,4.31%,4.29%,1.58%,-,-,-,-,-,-1.50%,-,
24,Return on Capital (ROIC),4.22%,2.96%,3.16%,-2.55%,3.55%,4.79%,4.82%,1.84%,-,-,8.20%,-0.62%,14.08%,-2.01%,-,
25,Return on Capital Employed (ROCE),2.96%,2.96%,2.70%,3.37%,-,5.50%,6.11%,6.85%,6.75%,9.66%,-,-,-,-,-,-
26,Earnings Yield,1.50%,1.57%,1.85%,1.91%,1.65%,1.64%,1.69%,1.75%,2.13%,-,-,-,-,-,-,-
27,FCF Yield,-0.12%,-0.13%,0.68%,1.07%,1.04%,1.26%,1.18%,1.13%,1.54%,-,-,-,-,-,-,-
28,Dividend Yield,0.57%,-,-,-,0.57%,-,0.38%,-,-,-,-,-,-,-,-,-
29,Payout Ratio,13.28%,19.38%,-,-,55.19%,94.16%,-,-,-,-,-,-,-,-,-,-
30,Buyback Yield / Dilution,-2.78%,14.66%,-23.86%,12.39%,-15.84%,-16.21%,-4.48%,-28.03%,-1.33%,-8.53%,-26.30%,-10.88%,-,-,-,-
31,Total Shareholder Return,-2.21%,14.66%,-23.86%,12.39%,-15.27%,-16.21%,-4.10%,-28.03%,-1.33%,-8.53%,-26.30%,-10.88%,-,-,-,-
