,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1840,1498,1243,1488,2019,2128,2191,2137,1906,1959,2738,2851,2590,2242,2578,-,-,-,-,-
1,Market Cap Growth,-29.59%,-29.59%,-43.27%,-30.37%,5.89%,8.60%,-19.96%,-25.04%,-26.40%,-12.62%,6.20%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1788,1479,1172,1420,1950,2110,2082,2006,1775,1827,2574,2658,2396,1975,2457,-,-,-,-,-
3,Last Close Price,17.04,13.87,11.30,13.52,18.34,19.33,19.81,19.32,17.23,17.71,24.55,25.57,23.23,20.11,23.12,-,-,-,-,-
4,PE Ratio,50.86,41.42,33.13,38.78,52.85,51.43,53.07,53.65,47.95,30.34,42.28,43.12,38.60,36.00,37.48,-,-,-,-,-
5,PS Ratio,1.54,1.25,1.04,1.29,1.75,2.13,2.30,2.34,2.11,2.22,3.00,3.10,2.83,2.79,3.18,-,-,-,-,-
6,PB Ratio,2.22,1.81,1.50,1.78,2.43,2.61,2.71,2.65,2.37,2.50,3.52,3.61,3.30,3.04,3.51,-,-,-,-,-
7,P/TBV Ratio,1.91,1.91,1.60,1.88,2.57,2.77,2.88,2.81,2.52,2.67,3.74,3.84,3.51,3.24,3.75,-,-,-,-,-
8,P/FCF Ratio,52.53,42.76,-,-,196.40,-34.04,-,-,-32.89,-56.16,-,-,-32.22,-,-79.75,-,-,-,-,-
