,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,143.06,111.73,117.83,233.03,156.67,113.8,146.56,210.77,184.02,196.18,147.86,197.14,103.33,311.95,-,163.04,-,-,-
1,Trading Asset Securities,-,-,30.05,10.11,10.03,-,25.16,30.05,10,-,60.24,90.04,125.2,-,-,-,-,-,-
2,Cash & Short-Term Investments,143.06,111.73,147.88,243.14,166.7,113.8,171.72,240.82,194.02,196.18,208.1,287.18,228.53,311.95,163.04,163.04,-,-,146.07
3,Cash Growth,-14.18%,-1.82%,-13.88%,0.97%,-14.08%,-41.99%,-17.48%,-16.14%,-15.10%,-37.11%,27.64%,76.14%,-,-,11.61%,-,-,-,-
4,Accounts Receivable,426.4,445.98,427.7,472.42,318.01,372.29,346.56,388.18,301.22,338.74,322.69,377.08,293.12,283.01,-,309.89,-,-,-
5,Other Receivables,4.63,6.88,5.84,6.41,7.11,6.83,6.11,5.68,7.16,5.61,4.28,4.24,5.54,3.69,-,3.87,-,-,-
6,Receivables,431.03,452.86,433.54,478.83,325.12,379.11,352.67,393.85,308.38,344.34,326.97,381.32,298.65,286.71,-,313.76,-,-,-
7,Inventory,800.89,759.84,799.31,696.19,973.66,824.93,756.81,653.24,770.21,697.47,671.18,565.17,644.85,501.62,-,348.72,-,-,-
8,Prepaid Expenses,-,0.1,-,1.7,-,1.75,-,0.93,-,-,-,0.05,-,0,-,4.94,-,-,-
9,Other Current Assets,131.72,111.95,133.54,93.98,154.21,92.65,107.08,68.93,74.12,83.27,100.57,55.01,54,79.52,-,27.61,-,-,-
10,Total Current Assets,1507,1436,1514,1514,1620,1412,1388,1358,1347,1321,1307,1289,1226,1180,-,858.06,-,-,-
11,"Property, Plant & Equipment",197.21,201.64,206.55,210.78,210.45,211.65,215.19,216.39,182.52,171.84,161.23,154.78,151.87,140.93,-,118.9,-,-,-
12,Long-Term Investments,0.3,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,46.44,46.84,46,46.22,46.45,46.58,46.68,47.04,47.33,45.3,45.6,45.9,46.2,46.24,-,46.58,-,-,-
14,Long-Term Deferred Tax Assets,28.83,28.86,27.02,27.53,27.43,27.12,26.23,26.5,24.55,24.51,23.37,22.87,20.84,19.76,-,19.58,-,-,-
15,Long-Term Deferred Charges,5.96,5.85,5.97,5.82,2.52,2.54,2.59,2.7,2.81,2.92,2.85,2.83,2.57,2.67,-,2.45,-,-,-
16,Other Long-Term Assets,10.26,10.76,10.5,11.29,12.79,14.25,9.01,10.01,20.56,21.76,20.74,8.92,9.59,12.91,-,4.96,-,-,-
17,Total Assets,1796,1731,1810,1815,1919,1714,1688,1660,1625,1588,1561,1524,1457,1402,-,1051,-,-,-
18,Accounts Payable,273.68,272.5,314.02,456.04,361.08,252.82,325.01,372.31,241.92,241.02,299.99,331.79,248.33,266.99,-,199.7,-,-,-
19,Accrued Expenses,11.39,10.14,7.67,24.89,14.66,11.85,7.74,22.55,12.53,18.82,7.58,21.18,14.05,29.23,-,18.64,-,-,-
20,Short-Term Debt,78.75,70.45,49.43,39.53,85.55,83.54,59.54,45.04,59.05,60.06,40.04,30.03,31.03,40.04,-,41.31,-,-,-
