,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,176562,186002,75625,52128,171243,194252,88041,49772,177997,162096,115422,86752,258745,75488,139312,46969,150712,179871,100581,27315,Upgrade
1,Revenue Growth (YoY),3.11%,-4.25%,-14.10%,4.74%,-3.79%,19.84%,-23.72%,-42.63%,-31.21%,114.73%,-17.15%,84.70%,71.68%,-58.03%,38.51%,71.95%,95.92%,70.34%,-37.18%,-29.12%,Upgrade
2,Cost of Revenue,136248,161676,63179,38843,138081,165497,73016,32813,132586,133734,97843,67919,194270,61961,119032,32344,110213,136599,83140,20226,Upgrade
3,Gross Profit,40315,24325,12446,13285,33162,28754,15025,16958,45411,28362,17579,18833,64474,13527,20280,14624,40499,43272,17441,7089,Upgrade
4,"Selling, General & Admin",33339,19687,10892,11392,29024,23128,12699,14157,38223,23761,14543,15653,52393,12003,16223,12193,37572,35966,14527,7229,Upgrade
5,Operating Expenses,33339,19687,10892,11392,29024,23128,12699,14157,38223,23761,14543,15653,52393,12003,16223,12193,37572,35966,14527,7229,Upgrade
6,Operating Income,6976,4638,1554,1893,4138,5626,2326,2801,7189,4601,3036,3180,12081,1523,4058,2431,2927,7307,2914,-140.02,Upgrade
7,Interest Expense,-175.64,-340.28,-3.47,-,-148.04,-175.09,-,-,-232.38,-375.06,-48.03,-24.02,-172.59,-69.24,-,-,-19.49,-9.75,-,-,Upgrade
8,Interest & Investment Income,389.35,28.44,-,143.66,597.74,7.28,428.02,316.55,558.81,24.68,144.09,77.01,211.75,17.93,168.09,251.56,541.57,333.56,245.68,249.38,Upgrade
9,Currency Exchange Gain (Loss),0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
10,Other Non Operating Income (Expenses),856.22,130.6,869.72,27.86,1195,244.53,338.81,41.87,350.28,347.57,290.1,151.69,585.79,20.3,75.33,83.18,654.08,448.26,43.29,57.75,Upgrade
11,EBT Excluding Unusual Items,8046,4457,2420,2065,5783,5703,3093,3160,7866,4598,3422,3385,12706,1492,4301,2766,4103,8079,3203,167.11,Upgrade
12,Gain (Loss) on Sale of Assets,14.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
13,Pretax Income,8061,4457,2420,2065,5783,5703,3093,3160,7866,4598,3422,3385,12706,1492,4301,2766,4103,8079,3203,167.11,Upgrade
14,Income Tax Expense,722.93,718.04,475.61,222.83,465.4,886.56,534.41,374.81,768.69,611.68,377.24,361.9,1197,162.95,562,324.59,426.51,759.53,369.3,122.98,Upgrade
15,Earnings From Continuing Operations,7338,3739,1945,1842,5317,4816,2559,2785,7097,3987,3045,3023,11510,1329,3739,2441,3677,7319,2834,44.13,Upgrade
16,Minority Interest in Earnings,-141.87,-109.43,-111.26,-184.41,-161.54,-140.03,-92.01,-169.04,-157.5,-106.11,-80.25,-106.95,-93.19,-36.18,-82.35,-144.17,-441.61,-550.7,175.89,497.55,Upgrade
17,Net Income,7196,3629,1833,1657,5156,4676,2467,2616,6939,3881,2965,2916,11416,1293,3657,2297,3235,6768,3009,541.68,Upgrade
18,Preferred Dividends & Other Adjustments,4121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
19,Net Income to Common,3075,3629,1833,1657,5156,4676,2467,2616,6939,3881,2965,2916,11416,1293,3657,2297,3235,6768,3009,541.68,Upgrade
20,Net Income Growth,39.57%,-22.38%,-25.68%,-36.64%,-25.70%,20.50%,-16.79%,-10.28%,-39.22%,200.07%,-18.92%,26.93%,252.87%,-80.89%,21.50%,324.10%,80.72%,57.33%,-42.91%,-65.95%,Upgrade
21,Shares Outstanding (Basic),6,6,6,6,6,6,6,8,8,6,6,6,10,8,6,6,9,9,6,6,Upgrade
22,Shares Outstanding (Diluted),6,6,6,6,6,6,6,8,8,6,6,6,10,8,6,6,9,9,6,6,Upgrade
