,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 7, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,574,703,823,804,957,967,990,1172,1005,1134,1282,Upgrade
1,Market Cap Growth,-12.50%,-12.50%,-14.00%,-16.83%,-3.38%,-17.55%,-1.43%,3.38%,-21.64%,-27.08%,-8.53%,Upgrade
2,Enterprise Value,1006,1287,1643,1782,1881,1819,1809,1851,1847,1939,2212,Upgrade
3,Last Close Price,1.20,1.44,1.65,1.58,1.84,1.84,1.86,2.19,1.86,2.08,2.32,Upgrade
4,PE Ratio,-,-,5.39,7.56,8.51,6.15,11.07,-9.71,-,-,4.81,Upgrade
5,PS Ratio,0.21,0.26,0.26,0.22,0.28,0.30,0.30,0.35,0.31,0.35,0.34,Upgrade
6,PB Ratio,0.14,0.18,0.18,0.18,0.22,0.22,0.22,0.27,0.23,0.26,0.26,Upgrade
7,P/TBV Ratio,0.18,0.18,0.18,0.18,0.22,0.22,0.22,0.27,0.23,0.26,0.26,Upgrade
8,P/FCF Ratio,2.02,2.48,2.56,4.79,-,-,-,-,65.47,-,2.99,Upgrade
9,P/OCF Ratio,2.28,2.28,2.40,4.17,30.16,-19.46,-,-,11.26,4.57,2.79,Upgrade
10,EV/Sales Ratio,0.37,0.47,0.52,0.50,0.54,0.56,0.56,0.55,0.57,0.60,0.58,Upgrade
11,EV/EBITDA Ratio,13.25,5.39,5.82,6.62,7.99,10.31,9.53,8.91,8.84,8.20,8.52,Upgrade
12,EV/EBIT Ratio,52.88,6.43,6.90,8.06,10.04,14.28,13.16,11.93,11.64,10.39,10.67,Upgrade
13,EV/FCF Ratio,3.55,4.54,5.10,10.62,-,-,-,-,120.32,-,5.16,Upgrade
14,Debt / Equity Ratio,0.39,0.39,0.40,0.44,0.47,0.48,0.48,0.50,0.48,0.46,0.40,Upgrade
15,Debt / FCF Ratio,5.47,5.47,5.62,11.58,-,-,-,-,136.73,-,4.64,Upgrade
16,Return on Capital Employed (ROCE),4.02%,4.02%,4.33%,4.03%,3.35%,2.17%,2.34%,2.66%,2.80%,3.31%,3.26%,Upgrade
17,Earnings Yield,-56.71%,-46.29%,18.56%,13.23%,11.75%,16.26%,9.03%,-10.30%,-75.80%,-52.31%,20.77%,Upgrade
18,FCF Yield,49.39%,40.32%,39.13%,20.88%,-6.38%,-13.99%,-9.47%,1.45%,1.53%,15.10%,33.44%,Upgrade
19,Dividend Yield,4.58%,3.99%,3.63%,4.74%,3.54%,2.45%,2.15%,1.60%,2.15%,2.41%,2.80%,Upgrade
20,Total Shareholder Return,4.58%,3.99%,3.63%,4.74%,3.54%,2.45%,2.15%,1.60%,2.15%,2.41%,2.80%,Upgrade
