,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,555.58,529.49,761.25,757.37,801.47,916.65,851.54,982.97,941.29,134.38,220.39,275.62,-,257.54,-
1,Short-Term Investments,-,-,228.83,-,236.47,-,203.12,-,30.43,-,-,-,-,-,-,-
2,Trading Asset Securities,-,403,431,211,220,190,80,130,189.55,239.49,129.48,30,-,-,-,-
3,Cash & Short-Term Investments,958.58,958.58,1189,972.25,1214,991.47,1200,981.54,1203,1181,263.86,250.39,275.62,-,257.54,74.67
4,Cash Growth,-21.03%,-3.32%,-0.87%,-0.95%,0.91%,-16.03%,354.70%,292.01%,336.45%,-,2.45%,235.33%,-,-,-,-
5,Accounts Receivable,-,23.78,20.25,15.41,15.34,15.54,15.1,10.57,7.45,20.48,33.84,38.32,10.64,-,22.25,-
6,Other Receivables,-,0.37,0.35,0.28,0.25,0.28,0.27,0.26,0.3,0.39,0.39,0.65,0.33,-,0.3,-
7,Receivables,-,24.16,20.6,15.69,15.59,15.82,15.37,10.84,7.74,20.87,34.23,38.96,10.97,-,22.55,-
8,Inventory,-,54.46,41.88,44.48,46.85,62.47,75.66,91.72,94.48,85.12,63.81,55.54,45.78,-,30.49,-
9,Prepaid Expenses,-,-,-,-,0.56,-,-,-,0.55,-,-,-,-,-,-,-
10,Other Current Assets,-,226.92,14.01,235.22,7.49,218.78,17.65,226.6,30.31,42.79,53.12,46.29,43.39,-,27.76,-
11,Total Current Assets,-,1264,1266,1268,1284,1289,1308,1311,1336,1330,415.02,391.17,375.77,-,338.34,-
12,"Property, Plant & Equipment",-,13.42,14.12,11,5.95,6.45,6.79,6.97,6.62,6,6.26,6.95,6.47,-,5.33,-
13,Other Intangible Assets,-,9.64,8.02,1.24,1.42,1.62,1.87,1.97,2.19,2.34,2.53,2.71,0.95,-,0.45,-
14,Long-Term Deferred Tax Assets,-,-,-,-,-,6.47,5.17,2.64,1.26,0.48,0.48,0.29,0.11,-,0.16,-
15,Long-Term Deferred Charges,-,0.83,0.63,0.54,0.61,0.58,0.69,0.79,0.25,0.29,0.33,0.35,0.27,-,0.25,-
16,Other Long-Term Assets,-,2.23,2.1,2.06,1.2,1.15,0.4,0.49,0.18,0.07,0.09,0.1,0.11,-,0.04,-
17,Total Assets,-,1290,1291,1282,1294,1305,1323,1324,1347,1339,424.71,401.58,383.67,-,344.57,-
18,Accounts Payable,-,8.02,1.58,1.38,1.45,0.71,0.63,1.37,0.62,2.37,10.35,3.95,1.97,-,2.62,-
19,Accrued Expenses,-,4.68,5.26,5.57,18.11,4.57,4.26,3.36,13.13,3,3.08,2.48,11.39,-,4.67,-
20,Current Portion of Leases,-,3.09,3.13,2.66,1.24,1.37,1.49,1.48,2.17,2.01,2.14,2.21,2,-,1.72,-
21,Current Income Taxes Payable,-,0.31,-,0.2,-,0.7,-,0.11,-,0.53,1.36,3.23,1.37,-,1.11,-
22,Current Unearned Revenue,-,0.76,0.74,0.47,0.64,0.57,0.58,1.62,1.46,1.34,1.34,0.54,1.54,-,0.63,-
23,Other Current Liabilities,-,0.32,4.36,0.34,1.16,0.08,10.34,0.22,17.79,0.23,0.33,0.07,0.43,-,0.24,-
24,Total Current Liabilities,-,17.18,15.06,10.63,22.61,8.01,17.3,8.17,35.17,9.48,18.59,12.48,18.69,-,10.99,-
25,Long-Term Leases,-,4.61,5.06,2.01,0.32,0.43,0.69,0.98,1.08,0.58,0.83,0.99,1.9,-,1.19,-
26,Total Liabilities,-,21.79,20.13,12.64,22.92,8.44,17.99,9.15,36.25,10.06,19.43,13.48,20.58,-,12.18,-
27,Common Stock,-,92.97,66.56,66.56,66.56,66.56,66.56,66.56,66.56,66.56,49.92,49.92,49.92,-,49.92,-
28,Additional Paid-In Capital,-,1123,1147,1144,1141,1139,1135,1133,1132,1131,225.92,224.77,223.69,-,221.42,-
29,Retained Earnings,-,74.11,77.99,80.13,81.27,106.08,103.84,114.57,111.6,131.15,129.44,113.41,89.48,-,61.04,-
30,Treasury Stock,-,-21.98,-21,-21,-18.53,-15.77,-,-,-,-,-,-,-,-,-,-
31,Shareholders' Equity,1268,1268,1271,1270,1271,1296,1305,1314,1310,1329,405.28,388.11,363.09,-,332.38,133.71
32,Total Liabilities & Equity,-,1290,1291,1282,1294,1305,1323,1324,1347,1339,424.71,401.58,383.67,-,344.57,-
33,Total Debt,7.7,7.7,8.19,4.68,1.55,1.8,2.18,2.47,3.25,2.59,2.97,3.21,3.89,-,2.91,-
34,Net Cash (Debt),950.88,950.88,1181,967.58,1212,989.66,1198,979.08,1200,1178,260.89,247.18,271.73,-,254.64,74.67
35,Net Cash Growth,-21.56%,-3.92%,-1.37%,-1.17%,1.05%,-16.00%,359.04%,296.10%,341.50%,-,2.46%,231.03%,-,-,-,-
36,Net Cash Per Share,9.05,11.23,11.38,12.11,12.14,16.36,11.54,9.45,13.19,13.75,3.66,3.54,3.88,-,4.05,1.19
