,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,38.11,36.58,33.46,26.7,33.08,28.78,35.56,29.28,24.21,18.46,13.86,53.78,39.32,32.63,54.7,46.64
1,Other Revenue,-,-0,0,-,0.1,-0.09,0.09,-,0.74,-0.72,0.72,-,0.13,-0.08,0.07,0.01
2,Revenue,38.11,36.57,33.46,26.7,33.18,28.69,35.65,29.28,24.95,17.74,14.59,53.78,39.44,32.55,54.77,46.65
3,Revenue Growth (YoY),14.83%,27.49%,-6.14%,-8.81%,33.03%,61.76%,144.40%,-45.54%,-36.75%,-45.52%,-73.37%,15.28%,-,-,-,-
4,Cost of Revenue,-40.36,20.14,10.1,10.12,34.84,3.46,20.37,9.51,15.34,0.73,8.75,15.57,11.64,10.06,17.15,15.39
5,Gross Profit,78.47,16.44,23.36,16.59,-1.66,25.23,15.27,19.77,9.6,17.01,5.83,38.21,27.8,22.49,37.62,31.26
6,"Selling, General & Admin",-30.9,10.66,11.26,8.97,11.45,8.78,7.48,5.5,8.36,6.61,4.26,4.36,7.56,3.47,3.71,4.42
7,Research & Development,-50.19,17.91,16.38,15.89,28.44,17.46,17.42,15.44,18.46,12.95,8.7,7.75,13.67,6.89,5.59,5.18
8,Other Operating Expenses,147.19,-0.73,-0.28,-1.16,4.84,-3.13,-1.47,-0.17,7.24,-6.14,-5.85,-0.67,-0.38,-2.61,-1.68,-1.35
9,Operating Expenses,65.83,28.02,27.35,23.82,44.69,23.11,23.45,20.86,33.79,13.41,7.07,11.79,20.78,7.69,7.65,8.22
10,Operating Income,12.64,-11.58,-4,-7.23,-46.34,2.12,-8.17,-1.09,-24.19,3.6,-1.23,26.42,7.02,14.8,29.97,23.04
11,Interest Expense,-12.63,-0.07,-0.05,-0.03,-0.02,-0.02,-0.03,-0.04,-0.03,-0.03,-0.03,-0.03,-0.04,-0.03,-0.03,-0.04
12,Interest & Investment Income,0.15,4.45,4.53,3.64,9.9,11.42,3.71,3.92,2.62,1.68,1.83,1.39,4.72,0.22,0.53,0.31
13,Currency Exchange Gain (Loss),-,0.05,-0.05,-,0,0,-0,-,-0.01,-0.01,0.01,-,-0.01,-0,0,-
14,Other Non Operating Income (Expenses),0.1,-0.1,-0.1,0,-0.05,0.03,-0.07,-0.02,0.04,-0.11,0.04,-0,-0.09,0.01,-0.02,0.09
15,EBT Excluding Unusual Items,0.27,-7.25,0.33,-3.62,-36.5,13.55,-4.56,2.77,-21.56,5.12,0.61,27.77,11.6,15,30.44,23.41
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-0.45,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.01,0.01,-0,-0,-0.01,0.01,0.09,-,-0.01,0.01,-0.01,-,-0,0,-0,-
18,Asset Writedown,-3.37,3.37,-2.48,2.48,12.62,-12.62,1.19,-1.19,3.83,-3.83,1.47,-1.47,-0.05,0.05,-0.33,0.33
19,Other Unusual Items,-,-0.01,0.01,-0,5.8,-,-,-,9.92,-,-,-,4.13,-,-,-
20,Pretax Income,-3.11,-3.88,-2.14,-1.14,-18.1,0.94,-3.27,1.58,-8.27,1.3,2.07,26.3,15.68,15.05,30.11,23.74
21,Income Tax Expense,-,-,-,-,6.71,-1.3,-2.53,-1.38,-2.33,-0.58,-0.17,2.36,1.24,1.05,2.73,2.2
22,Net Income,-3.11,-3.88,-2.14,-1.14,-24.82,2.25,-0.74,2.96,-5.94,1.88,2.25,23.93,14.44,14,27.38,21.54
23,Net Income to Common,-3.11,-3.88,-2.14,-1.14,-24.82,2.25,-0.74,2.96,-5.94,1.88,2.25,23.93,14.44,14,27.38,21.54
24,Net Income Growth,-,-,-,-,-,19.29%,-,-87.62%,-,-86.55%,-91.79%,11.13%,-,-,-,-
25,Shares Outstanding (Basic),105,85,104,80,100,60,104,104,91,86,71,70,70,70,63,63
26,Shares Outstanding (Diluted),105,85,104,80,100,60,104,104,91,86,71,70,70,70,63,63
27,Shares Change (YoY),5.22%,40.04%,0.05%,-22.86%,9.72%,-29.42%,45.74%,48.45%,29.95%,22.28%,13.28%,11.13%,-,-,-,-
28,EPS (Basic),-0.03,-0.05,-0.02,-0.01,-0.25,0.04,-0.01,0.03,-0.07,0.02,0.03,0.34,0.21,0.20,0.44,0.34
29,EPS (Diluted),-0.03,-0.05,-0.02,-0.01,-0.25,0.04,-0.01,0.03,-0.07,0.02,0.03,0.34,0.21,0.20,0.44,0.34
30,EPS Growth,-,-,-,-,-,69.01%,-,-91.66%,-,-89.00%,-92.75%,0%,-,-,-,-
31,Free Cash Flow,-,-13.48,-12.62,-13.13,17.71,20.13,14.51,-19.85,31.43,-7.97,12.74,-24.28,-1.89,17.3,34.08,1.81
32,Free Cash Flow Per Share,-,-0.16,-0.12,-0.16,0.18,0.33,0.14,-0.19,0.35,-0.09,0.18,-0.35,-0.03,0.25,0.54,0.03
33,Dividend Per Share,-,-,-,-,-,-,-,-,0.107,-,-,-,-,-,-,-
34,Gross Margin,205.92%,44.94%,69.80%,62.11%,-4.99%,87.93%,42.85%,67.51%,38.50%,95.88%,39.98%,71.06%,70.49%,69.10%,68.68%,67.02%
35,Operating Margin,33.17%,-31.67%,-11.95%,-27.08%,-139.65%,7.39%,-22.92%,-3.71%,-96.95%,20.27%,-8.46%,49.13%,17.80%,45.47%,54.72%,49.40%
36,Profit Margin,-8.17%,-10.60%,-6.39%,-4.28%,-74.78%,7.83%,-2.09%,10.12%,-23.80%,10.61%,15.41%,44.51%,36.60%,43.00%,49.99%,46.17%
37,Free Cash Flow Margin,-,-36.85%,-37.71%,-49.18%,53.37%,70.17%,40.70%,-67.78%,125.98%,-44.91%,87.33%,-45.15%,-4.79%,53.15%,62.23%,3.88%
38,EBITDA,12.86,-11.36,-3.72,-7.01,-46.12,2.29,-7.73,-0.92,-24.02,3.77,-1.08,26.6,7.2,14.85,30.11,23.09
39,EBITDA Margin,33.75%,-31.06%,-11.12%,-26.25%,-138.98%,7.98%,-21.68%,-3.13%,-96.27%,21.28%,-7.40%,49.46%,18.25%,45.63%,54.97%,49.51%
40,D&A For EBITDA,0.22,0.22,0.28,0.22,0.22,0.17,0.44,0.17,0.17,0.18,0.15,0.18,0.18,0.05,0.14,0.05
41,EBIT,12.64,-11.58,-4,-7.23,-46.34,2.12,-8.17,-1.09,-24.19,3.6,-1.23,26.42,7.02,14.8,29.97,23.04
42,EBIT Margin,33.17%,-31.67%,-11.95%,-27.08%,-139.65%,7.39%,-22.92%,-3.71%,-96.95%,20.27%,-8.46%,49.13%,17.80%,45.47%,54.72%,49.40%
43,Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,8.99%,7.92%,6.96%,9.08%,9.28%
44,Revenue as Reported,-,36.57,33.46,26.7,33.18,28.69,35.65,29.28,24.95,17.74,14.59,53.78,39.44,32.55,54.77,46.65
