,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2775,2430,2093,2005,2070,2704,2906,2935,3242,2831,2649,-,-,-,-,-,-
1,Market Cap Growth,-10.13%,-10.13%,-27.98%,-31.70%,-36.16%,-4.48%,9.70%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1824,1479,912,1037,1080,1714,1708,1956,2064,1653,2388,-,-,-,-,-,-
3,Last Close Price,30.03,26.30,22.69,21.69,22.34,29.18,31.19,31.39,34.67,30.27,28.33,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-1971.52,-,2807.28,-,62.33,-,-,-,-,-,-
5,PS Ratio,20.79,18.02,16.11,16.43,16.66,21.32,24.51,27.28,37.46,25.49,21.10,-,-,-,-,-,-
6,PB Ratio,2.19,1.92,1.65,1.58,1.63,2.13,2.24,2.25,2.47,2.16,1.99,-,-,-,-,-,-
7,P/TBV Ratio,1.93,1.93,1.66,1.59,1.63,2.13,2.24,2.25,2.47,2.16,2.00,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,83.20,62.88,162.00,-,237.59,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-,73.48,57.71,138.71,-,179.16,-,-,-,-,-,-,-
10,EV/Sales Ratio,13.53,10.97,7.02,8.50,8.69,13.52,14.41,18.18,23.85,14.88,19.02,-,-,-,-,-,-
11,EV/EBITDA Ratio,-,-160.26,-,-,-,-,-56.25,-,-,-,65.45,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-145.44,-,-,-,-,-54.54,-,-,-,66.70,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,-,52.74,36.97,107.96,-,138.70,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,-,0.01,-
15,Debt / EBITDA Ratio,-,0.15,-,-,-,-,0.20,-,-,-,0.17,-,0.03,0.11,-,0.02,-
16,Debt / FCF Ratio,-,-,-,-,-,0.05,0.04,0.12,-,0.27,-,0.77,-,-,-,0.08,-
17,Asset Turnover,-,0.11,0.10,0.08,0.10,0.09,0.11,0.09,0.07,0.08,0.14,0.55,-,-,-,-,
18,Inventory Turnover,-,-,1.67,0.94,0.89,2.55,0.20,0.97,0.41,0.68,0.04,0.59,1.23,-,-,-,-
19,Quick Ratio,-,-,57.19,80.32,92.96,54.39,125.82,70.25,121.42,34.43,126.74,16.03,23.18,15.34,-,25.48,-
20,Current Ratio,-,-,73.56,84.03,119.27,56.82,160.95,75.64,160.37,37.99,140.23,22.32,31.34,20.11,-,30.77,-
21,Return on Equity (ROE),-0.98%,-1.22%,-0.67%,-0.36%,-7.73%,0.69%,-0.23%,0.90%,-1.80%,0.87%,2.27%,25.49%,-,-,46.99%,-,
22,Return on Assets (ROA),-,-2.24%,-0.78%,-1.40%,-8.92%,0.40%,-1.54%,-0.20%,-4.50%,1.02%,-0.75%,16.82%,-,-,-,-,
23,Return on Capital (ROIC),2.48%,-2.27%,-0.78%,-1.42%,-9.01%,0.41%,-1.56%,-0.21%,-4.57%,1.03%,-0.77%,17.42%,-,-,31.95%,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-,-,-2.42%,-,-,-,2.69%,-,20.10%,20.50%,-,15.89%,-
25,Earnings Yield,-0.37%,-0.42%,-1.53%,-1.29%,-1.18%,-0.75%,-0.05%,-0.06%,0.04%,0.78%,1.60%,-,-,-,-,-,-
26,FCF Yield,-,-1.03%,0.60%,1.89%,1.20%,1.59%,0.62%,0.50%,0.42%,-0.81%,-,-,-,-,-,-,
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,0.35%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,-,-,445.05%,-,-,-,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,-1.57%,-5.22%,-40.04%,-0.05%,22.86%,-9.72%,29.42%,-45.74%,-48.45%,-29.95%,-22.28%,-13.28%,-11.13%,-,-,-,-
30,Total Shareholder Return,-1.57%,-5.22%,-40.04%,-0.05%,22.86%,-9.72%,29.42%,-45.74%,-48.45%,-29.59%,-22.28%,-13.28%,-11.13%,-,-,-,-
