,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Operating Revenue,4.11,5.07,4.5,3.95,4.81,7.27,5.43,3.73,3.14,3.97,Upgrade
1,Other Revenue,-,-,0.03,0.04,0.15,0.14,0.19,0.39,0.42,0.39,Upgrade
2,Revenue,4.11,5.07,4.52,3.99,4.97,7.41,5.62,4.12,3.56,4.36,Upgrade
3,Revenue Growth (YoY),-9.06%,27.10%,-8.94%,-46.13%,-11.60%,79.78%,57.84%,-5.53%,-50.88%,-41.55%,Upgrade
4,Cost of Revenue,3.07,2.97,3.07,3.15,3.76,3.24,2.43,2.49,2.45,2.75,Upgrade
5,Gross Profit,1.04,2.1,1.45,0.84,1.21,4.17,3.19,1.63,1.11,1.61,Upgrade
6,"Selling, General & Admin",1.33,1.01,0.84,0.72,0.64,0.69,0.86,0.67,0.58,0.62,Upgrade
7,Operating Expenses,1.33,1.01,0.84,0.72,0.64,0.69,0.86,0.67,0.58,0.62,Upgrade
8,Operating Income,-0.29,1.09,0.61,0.12,0.57,3.47,2.33,0.96,0.53,1,Upgrade
9,Interest Expense,-0.39,-0.02,-0.07,-0.12,-0.18,-0.17,-0.21,-0.24,-0.3,-0.43,Upgrade
10,Interest & Investment Income,-,0.39,-,0.31,-,-,-,-,-,-,Upgrade
11,Earnings From Equity Investments,-,-,-0.2,-0.59,-0.76,-0,0.09,-0,-0.02,-0.03,Upgrade
12,Currency Exchange Gain (Loss),-,-,0,-,-0,-0,-,0,-,0,Upgrade
13,Other Non Operating Income (Expenses),0.99,0.12,0.33,-0.11,0.51,0.06,0.06,0.02,0.02,0.02,Upgrade
14,EBT Excluding Unusual Items,0.32,1.58,0.67,-0.39,0.14,3.36,2.27,0.74,0.24,0.57,Upgrade
15,Gain (Loss) on Sale of Investments,-0.39,-,-0.44,-0.7,0.21,-1.6,-5.42,-,0.38,-0.74,Upgrade
16,Gain (Loss) on Sale of Assets,0.11,-,-2.1,-,-,-0.18,-,-,-,-,Upgrade
17,Asset Writedown,0.39,-0.3,-1.12,0.11,-0.8,-,12.93,-0.04,-2.79,-1.14,Upgrade
18,Pretax Income,0.43,1.28,-2.99,-0.98,-0.45,1.58,9.79,0.7,-2.16,-1.31,Upgrade
19,Income Tax Expense,-,-,-,-,-,-,-,-,-0,-,Upgrade
20,Earnings From Continuing Operations,0.43,1.28,-2.99,-0.98,-0.45,1.58,9.79,0.7,-2.16,-1.31,Upgrade
21,Net Income,0.43,1.28,-2.99,-0.98,-0.45,1.58,9.79,0.7,-2.16,-1.31,Upgrade
22,Net Income to Common,0.43,1.28,-2.99,-0.98,-0.45,1.58,9.79,0.7,-2.16,-1.31,Upgrade
23,Net Income Growth,-,-,-,-,-,124.04%,-,-,-,-,Upgrade
24,Shares Outstanding (Basic),1098,1098,1098,1098,1098,1098,1103,1083,743,549,Upgrade
25,Shares Outstanding (Diluted),1098,1098,1098,1098,1098,1098,1103,1083,743,549,Upgrade
26,Shares Change (YoY),-,-,-,-,-0.48%,1.40%,48.42%,97.24%,35.40%,-,Upgrade
27,EPS (Basic),0.00,0.00,-0.00,-0.00,-0.00,0.00,0.01,0.00,-0.00,-0.00,Upgrade
28,EPS (Diluted),0.00,0.00,-0.00,-0.00,-0.00,0.00,0.01,0.00,-0.00,-0.00,Upgrade
29,EPS Growth,-,-,-,-,-,120.96%,-,-,-,-,Upgrade
30,Free Cash Flow,-,2.92,2.97,-0.56,0.79,3.42,2.17,1.88,2.27,0.26,Upgrade
31,Free Cash Flow Per Share,-,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,Upgrade
32,Operating Margin,-6.98%,21.58%,13.46%,3.03%,11.38%,46.89%,41.45%,23.33%,15.00%,22.89%,Upgrade
33,Profit Margin,10.41%,25.21%,-66.13%,-24.64%,-9.10%,21.27%,174.14%,17.07%,-60.76%,-29.98%,Upgrade
34,Free Cash Flow Margin,-,57.63%,65.62%,-14.09%,15.80%,46.20%,38.64%,45.59%,63.62%,5.99%,Upgrade
35,EBITDA,0.17,2.09,1.03,1.14,0.9,4.62,2.46,1.65,0.71,1.75,Upgrade
36,D&A For EBITDA,0.45,0.99,0.43,1.02,0.34,1.15,0.13,0.69,0.18,0.75,Upgrade
37,EBIT,-0.29,1.09,0.61,0.12,0.57,3.47,2.33,0.96,0.53,1,Upgrade
38,Revenue as Reported,4.11,5.07,4.52,3.99,4.97,7.41,5.62,4.12,3.56,4.36,Upgrade
