,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Market Capitalization,189,116,82,68,79,86,121,285,318,91,109,Upgrade
1,Market Cap Growth,70.97%,70.97%,4.17%,-20.51%,-34.55%,-70.00%,-62.07%,213.25%,191.46%,-30.83%,-27.64%,Upgrade
2,Enterprise Value,42,-39,-50,-29,-24,-20,109,285,365,216,225,Upgrade
3,Last Close Price,0.17,0.11,0.07,0.06,0.07,0.08,0.11,0.26,0.29,0.17,0.17,Upgrade
4,PE Ratio,14.25,8.78,-6.16,-,-,-,1.35,3.49,-28.08,-,-,Upgrade
5,PS Ratio,2.65,1.63,1.10,1.02,1.13,0.89,1.18,3.76,5.34,1.48,1.21,Upgrade
6,PB Ratio,0.41,0.25,0.18,0.15,0.17,0.18,0.25,0.60,0.83,0.24,0.33,Upgrade
7,P/TBV Ratio,0.25,0.25,0.18,0.15,0.17,0.18,0.25,0.60,0.83,0.24,0.33,Upgrade
8,P/FCF Ratio,-,-,1.79,3.62,-,2.61,2.75,9.04,9.89,4.65,7.40,Upgrade
9,P/OCF Ratio,-,-,1.79,3.53,-,1.49,2.09,8.61,9.28,3.50,4.48,Upgrade
10,EV/Sales Ratio,0.59,-,-,-,-,-,1.07,3.76,6.13,3.51,2.50,Upgrade
11,EV/EBITDA Ratio,2.39,-,-,-,-,-,1.96,8.92,19.98,11.32,8.88,Upgrade
12,EV/EBIT Ratio,6.66,-,-,-,-,-,2.39,11.12,31.47,18.17,13.75,Upgrade
13,EV/FCF Ratio,-,-,-,-,-,-,2.48,9.04,11.36,11.02,15.22,Upgrade
14,Debt / Equity Ratio,0.00,0.00,0.00,0.02,0.03,0.05,0.10,0.16,0.23,0.33,0.42,Upgrade
15,Debt / FCF Ratio,-,-,0.01,0.36,-,0.69,1.08,2.45,2.81,6.40,9.38,Upgrade
16,Return on Capital Employed (ROCE),1.37%,-,2.92%,1.28%,1.13%,6.45%,8.72%,4.90%,2.69%,2.58%,3.91%,Upgrade
17,Earnings Yield,7.02%,11.39%,-16.25%,-45.61%,-14.23%,10.23%,73.83%,28.66%,-3.56%,-29.53%,-9.91%,Upgrade
18,FCF Yield,-,55.86%,27.62%,2.21%,38.30%,36.34%,11.06%,10.11%,21.50%,13.52%,Upgrade,
19,Buyback Yield / Dilution,-,-,-,-,0.48%,-1.40%,-48.42%,-97.24%,-35.40%,-,Upgrade,
20,Total Shareholder Return,-,-,-,-,0.48%,-1.40%,-48.42%,-97.24%,-35.40%,-,Upgrade,
