,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,190.57,239.45,349.4,429.6,433.29,344.71,388.52,389.61,98.05,142.96,131.93,123.49,177.39,219.9,67.79,58.74,80.66,-,74.96
1,Short-Term Investments,-,-,-,11.12,11.04,10.93,-,11.18,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,158.39,132.25,82.94,82.04,82.97,92.01,74.25,36.64,13.38,8.18,1.67,1.23,-,-,-,-,1.55,-,0.5
3,Cash & Short-Term Investments,348.97,371.7,432.34,522.76,527.3,447.65,462.77,437.44,111.43,151.14,133.6,124.72,177.39,219.9,67.79,58.74,82.21,-,75.47
4,Cash Growth,-33.82%,-16.97%,-6.58%,19.50%,373.20%,196.18%,246.39%,250.75%,-37.18%,-31.27%,97.08%,112.32%,115.78%,-,-10.17%,-,-,-,-
5,Accounts Receivable,210.63,237.98,206.33,163.49,127.02,127.16,118.63,114.36,98.82,102.68,104.79,116.27,92.68,81.92,76.33,93.18,57.91,-,62.78
6,Other Receivables,8.1,19.66,10.78,5.27,8.14,17.51,8.2,4.83,5.43,14.11,5.58,11.01,4.09,13.36,2.92,8.97,5.68,-,10.81
7,Receivables,218.73,257.65,217.1,168.76,135.16,144.68,126.82,119.19,104.25,116.79,110.37,127.28,96.77,95.27,79.26,102.16,63.59,-,73.58
8,Inventory,363.46,312.9,281.35,257.53,295.97,277.55,247.31,240.36,234.73,230.78,198.44,186.79,193.8,175.92,145.43,134.75,124.14,-,108.32
9,Prepaid Expenses,-,-,-,0.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,Other Current Assets,19.02,6.93,15.29,13.97,14.36,14.66,35.32,16.72,12.64,12.52,19.33,5.75,11.34,1.92,4.8,7.4,6.48,-,4.4
11,Total Current Assets,950.18,949.17,946.08,963.41,972.79,884.53,872.23,813.71,463.06,511.24,461.74,444.53,479.3,493.01,297.28,303.05,276.41,-,261.77
12,"Property, Plant & Equipment",570.27,571.77,563.21,551.33,506.71,465.69,430.03,404.01,364.41,348.53,312.56,298.79,246.87,247.67,240.93,242.28,195.22,-,149.09
13,Long-Term Investments,0.25,0.25,0.25,0.25,0.25,0.25,0.25,10.98,21.95,21.74,21.53,21.33,10.91,10.79,0.25,0.25,0.25,-,0.25
14,Other Intangible Assets,65.36,65.91,66.53,67.02,67.58,67.9,68.44,68.99,69.69,62.6,62.96,63.31,63.5,38.46,38.67,38.91,39.15,-,39.65
15,Long-Term Deferred Tax Assets,7.38,7.22,6.49,6.47,3.98,5.93,3.95,4.89,3.61,4.11,3.66,3.3,2.89,2.62,1.43,1.43,1.21,-,1.23
16,Long-Term Deferred Charges,6.86,6.23,4.78,3.69,2.9,3.21,3.61,3.41,3.15,3.18,3.36,3.4,3.47,2.74,2.69,2.68,2.25,-,1.51
17,Other Long-Term Assets,22.26,24.1,26.05,18.93,17.87,22.62,32.97,30.97,33.89,26.47,33.89,19.7,12.9,9.78,5.06,4.57,27.57,-,14.23
18,Total Assets,1623,1625,1613,1611,1572,1450,1412,1337,959.9,978.02,899.84,854.68,820.14,805.4,586.62,593.62,542.51,-,468.19
19,Accounts Payable,317.49,282.28,255.73,282,235.67,151.42,163.32,111.57,94.63,130.32,131.83,123.9,80.43,93.9,69.79,96.97,65.13,-,47.04
20,Accrued Expenses,9.46,14.97,8.66,19.31,10.09,12.15,7.54,11.67,7.13,10.2,6.76,10.02,5.74,8.41,4.87,8.84,6.14,-,5.97
21,Short-Term Debt,114.07,147.35,170.94,121.69,162.99,134.25,110.46,91.88,63.56,61.97,30,-,32.84,12.24,15.15,15.03,11.22,-,11.53
22,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,2.38,-,-,-,-,-
23,Current Portion of Leases,0.04,0.33,0.52,0.53,0.31,0.32,0.29,0.27,0.26,0.26,0.26,0.26,-,-,-,-,-,-,-
24,Current Income Taxes Payable,4.69,1.45,4.68,1.59,4.4,4.73,1.35,0.01,4.23,0.21,1.85,0.01,3.99,2.09,4.88,-,0.8,-,-
25,Current Unearned Revenue,23.38,18.36,20.33,12.19,16.21,15.41,12.61,12.17,14.62,17.61,14.67,16.05,10.25,11.02,10.24,11.88,9.68,-,6.88
26,Other Current Liabilities,19.08,20.59,6.69,5.99,6.75,11.25,7.12,13.56,20.39,7.78,5.56,5.45,1.02,2.63,1.9,0.97,3.72,-,1.76
27,Total Current Liabilities,488.21,485.31,467.55,443.3,436.41,329.51,302.69,241.12,204.81,228.35,190.93,155.68,134.27,132.68,106.83,133.69,96.68,-,73.17
28,Long-Term Debt,310.51,307.63,302.48,297.4,292.3,289.35,284.42,279.74,-,-,-,-,-,7.59,10.5,4,4.04,-,-
29,Long-Term Leases,0.44,0.44,0.4,0.04,1,0.27,0.4,0.45,0.12,0.47,0.61,0.65,-,-,-,-,-,-,-
30,Long-Term Unearned Revenue,22.83,20.32,20.81,21.31,11.23,11.58,11.94,12.3,12.49,12.89,10.32,10.64,11.05,11.27,3.41,3.41,3.52,-,2.6
31,Long-Term Deferred Tax Liabilities,9.91,9.46,10.83,11.29,10.19,10.19,11.97,12.11,7.4,8.54,7.91,8.06,5.04,5.64,5.04,5.04,3.01,-,2.05
32,Total Liabilities,831.92,823.15,802.07,773.34,751.13,640.9,611.41,545.72,224.82,250.24,209.78,175.03,150.35,157.18,125.78,146.13,107.25,-,77.82
33,Common Stock,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,68.1,68.1,68.1,-,68.1
34,Additional Paid-In Capital,266.12,266.12,279.29,279.29,279.29,279.29,279.28,279.28,279.28,279.28,279.28,279.28,279.28,279.28,130.77,130.77,130.77,-,130.77
35,Retained Earnings,424.28,433.61,421.5,411.36,396.12,383.46,374.62,364.39,361.42,354.22,319.85,309.46,299.51,277.91,261.8,248.34,235.82,-,190.68
36,Treasury Stock,-45.98,-45.98,-37.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,55.66,57.02,56.92,56.53,54.81,55.72,55.47,56.98,3.68,3.48,0.14,0.1,0.2,0.22,0.18,0.28,0.57,-,0.82
38,Total Common Equity,790.87,801.57,811.45,837.98,821.01,809.27,800.17,791.46,735.18,727.78,690.06,679.64,669.8,648.22,460.84,447.48,435.26,-,390.37
39,Minority Interest,-0.24,-0.07,-0.14,-0.13,0,0.03,-0.03,-0.08,-0.1,-,-,-,-,-,-,-,-,-,-
40,Shareholders' Equity,790.63,801.5,811.31,837.85,821.02,809.3,800.14,791.38,735.08,727.78,690.06,679.64,669.8,648.22,460.84,447.48,435.26,-,390.37
41,Total Liabilities & Equity,1623,1625,1613,1611,1572,1450,1412,1337,959.9,978.02,899.84,854.68,820.14,805.4,586.62,593.62,542.51,-,468.19
42,Total Debt,425.07,455.74,474.34,419.67,456.6,424.19,395.57,372.33,63.94,62.69,30.87,0.91,32.84,22.21,25.65,19.04,15.26,-,11.53
43,Net Cash (Debt),-76.1,-84.05,-42,103.1,70.7,23.46,67.21,65.11,47.49,88.45,102.72,123.8,144.55,197.69,42.14,39.7,66.95,-,63.94
44,Net Cash Growth,-,-,-,58.34%,48.88%,-73.47%,-34.57%,-47.41%,-67.15%,-55.26%,143.74%,211.83%,115.92%,-,-34.09%,-,-,-,-
45,Net Cash Per Share,-0.84,-0.93,-0.46,0.92,0.69,0.26,0.74,0.70,0.52,0.97,1.13,1.35,1.60,2.60,0.62,0.59,0.97,-,0.95
46,Filing Date Shares Outstanding,88.73,88.73,88.5,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,68.1,68.1,68.1,67.67,68.1
47,Total Common Shares Outstanding,88.73,88.73,88.5,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,68.1,68.1,68.1,67.67,68.1
48,Working Capital,461.97,463.86,478.53,520.11,536.38,555.02,569.55,572.6,258.25,282.89,270.8,288.85,345.03,360.34,190.44,169.36,179.73,-,188.6
49,Book Value Per Share,8.91,9.03,9.17,9.23,9.04,8.91,8.81,8.72,8.10,8.02,7.60,7.49,7.38,7.14,6.77,6.57,6.39,-,5.73
50,Tangible Book Value,725.52,735.66,744.92,770.96,753.43,741.37,731.73,722.47,665.49,665.17,627.1,616.34,606.29,609.75,422.17,408.57,396.1,-,350.71
51,Tangible Book Value Per Share,8.18,8.29,8.42,8.49,8.30,8.16,8.06,7.96,7.33,7.33,6.91,6.79,6.68,6.72,6.20,6.00,5.82,-,5.15
52,Buildings,-,392.77,-,392.77,-,202.67,-,189.49,-,190.95,-,190.41,-,123.28,-,123.28,110.97,-,29.02
53,Machinery,-,14.01,-,13.04,-,181.48,-,11.92,-,173.81,-,156.43,-,137.55,-,126.98,80.68,-,73.48
54,Construction In Progress,-,121.73,-,91.65,-,188.96,-,131.98,-,68.17,-,24.05,-,48.27,-,44.45,52.32,-,90.68
