,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2316,1554,1396,1663,1959,1893,1827,1755,1630,2291,1935,2435,2247,2361,2614,-,-,-,-,-
1,Market Cap Growth,-17.94%,-17.94%,-23.56%,-5.22%,20.22%,-17.36%,-5.58%,-27.93%,-27.47%,-2.96%,-25.98%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2392,1638,1438,1593,1889,1870,1760,1708,1582,2202,1832,2291,2103,2163,2572,-,-,-,-,-
3,Last Close Price,24.69,17.51,15.78,18.24,21.48,20.76,20.03,19.17,17.80,25.02,21.13,26.50,24.46,25.69,28.45,-,-,-,-,-
4,PE Ratio,68.23,-,24.59,31.14,36.62,45.91,51.06,28.76,26.63,33.60,23.43,41.95,36.77,37.07,42.96,-,-,-,-,-
5,PS Ratio,3.02,2.10,1.78,2.22,2.74,2.96,3.12,3.13,2.94,3.94,3.29,4.26,4.00,4.61,5.42,-,-,-,-,-
6,PB Ratio,2.77,1.97,1.74,2.05,2.34,2.31,2.26,2.19,2.06,3.12,2.66,3.53,3.31,3.52,4.03,-,-,-,-,-
7,P/TBV Ratio,2.14,2.14,1.90,2.23,2.54,2.51,2.46,2.40,2.26,3.44,2.91,3.88,3.65,3.89,4.29,-,-,-,-,-
8,P/FCF Ratio,-,-14.23,-18.22,-,-,37.74,-,-19.29,-,-,-,-,-,-,-825.62,-,-,-,-,-
9,P/OCF Ratio,101.06,101.06,27.50,-,10.85,10.28,18.55,24.52,31.15,40.09,-,52.14,51.27,-,28.78,-,-,-,-,-
10,EV/Sales Ratio,3.23,2.21,1.83,2.13,2.64,2.93,3.00,3.04,2.86,3.79,3.11,4.00,3.75,4.22,5.33,-,-,-,-,-
11,EV/EBITDA Ratio,32.07,21.85,16.00,18.39,22.79,22.40,25.92,24.54,22.76,32.48,26.48,30.79,28.88,27.96,28.93,-,-,-,-,-
12,EV/EBIT Ratio,57.85,38.54,24.68,27.62,34.45,33.24,42.46,39.65,36.14,51.37,38.74,41.81,37.38,34.49,34.45,-,-,-,-,-
13,EV/FCF Ratio,-21.90,-15.00,-18.77,-,-,37.27,-,-18.77,-,-,-,-,-,-,-812.31,-,-,-,-,-
14,Debt / Equity Ratio,0.54,0.54,0.57,0.58,0.50,0.56,0.52,0.49,0.47,0.09,0.09,0.04,0.00,0.05,0.03,0.06,0.04,0.04,-,0.03
15,Debt / EBITDA Ratio,5.70,6.21,5.49,4.76,8.12,3.56,6.13,4.66,6.98,0.97,0.83,0.37,0.02,0.46,0.23,0.33,0.30,0.13,-,0.18
16,Debt / FCF Ratio,-,-3.89,-5.95,-,-,9.10,-,-4.35,-,-,-,-,-,-,-7.02,-,-,-2.30,-,3.95
17,Asset Turnover,0.32,0.52,0.43,0.57,0.47,0.49,0.40,0.52,0.51,0.64,0.59,0.85,0.65,0.76,0.81,0.91,-,-,-,
18,Inventory Turnover,1.74,1.16,2.23,1.86,2.68,1.72,2.12,1.74,1.98,1.65,2.30,2.17,3.22,2.22,2.52,2.62,3.09,-,-,-
19,Quick Ratio,1.16,1.16,1.30,1.39,1.56,1.52,1.80,1.95,2.31,1.05,1.17,1.28,1.62,2.04,2.38,1.38,1.20,1.51,-,2.04
20,Current Ratio,1.95,1.95,1.96,2.02,2.17,2.23,2.68,2.88,3.37,2.26,2.24,2.42,2.86,3.57,3.72,2.78,2.27,2.86,-,3.58
21,Return on Equity (ROE),-4.78%,9.34%,4.92%,7.29%,6.20%,7.68%,5.16%,1.55%,3.93%,22.93%,6.06%,5.90%,13.11%,11.62%,11.85%,11.35%,-,-,-,
22,Return on Assets (ROA),1.47%,1.65%,2.69%,0.77%,4.19%,1.76%,2.64%,1.38%,2.71%,3.11%,4.34%,1.63%,4.60%,6.88%,7.07%,5.25%,-,-,-,
23,Return on Capital (ROIC),1.93%,2.10%,3.41%,0.97%,5.04%,2.07%,3.08%,1.62%,3.31%,3.86%,5.43%,1.97%,5.44%,8.28%,8.75%,6.50%,-,-,-,
24,Return on Capital Employed (ROCE),3.64%,3.75%,5.11%,5.03%,4.69%,4.95%,3.70%,3.88%,3.99%,5.68%,6.31%,7.73%,8.05%,9.15%,11.10%,17.31%,17.92%,15.81%,-,4.07%
25,Earnings Yield,1.50%,2.24%,4.07%,3.21%,2.73%,2.18%,1.96%,3.48%,3.75%,2.98%,4.27%,2.38%,2.72%,2.70%,2.33%,-,-,-,-,-
26,FCF Yield,-4.72%,-7.03%,-5.49%,-5.58%,2.88%,2.65%,-2.74%,-5.18%,-8.08%,-5.31%,-7.42%,-3.64%,-2.79%,-2.90%,-0.12%,-,-,-,-,-
27,Dividend Yield,0.30%,-,-,-,0.35%,-,-,-,0.40%,-,-,-,0.28%,-,-,-,-,-,-,-
28,Payout Ratio,36.45%,-,36.24%,17.96%,17.42%,14.63%,55.39%,2.62%,123.49%,9.02%,15.03%,1.52%,2.96%,0.41%,1.57%,-,0.85%,0.61%,-,-
