,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,243.44,238.5,173.51,182.1,131.95,153.78,130.66,124.71,88.82
1,Revenue Growth (YoY),40.31%,30.97%,31.49%,18.42%,0.99%,23.31%,47.11%,-,-
2,Cost of Revenue,96.11,92.39,68.28,60.6,40.71,47.55,36.16,32.86,24.43
3,Gross Profit,147.33,146.11,105.22,121.5,91.24,106.23,94.51,91.85,64.39
4,"Selling, General & Admin",92.68,103.81,73.42,84.24,67.1,68.09,59.58,29.79,22.89
5,Other Operating Expenses,0.53,-2.73,11.8,-14.42,16,11.39,0.07,0.04,0
6,Operating Expenses,93.2,101.08,85.22,69.82,83.1,79.49,59.64,29.83,22.89
7,Operating Income,54.13,45.03,20.01,51.68,8.14,26.74,34.86,62.01,41.5
8,Interest Expense,-0.26,-0.17,-0.2,-0.25,-0.28,-0.3,-0.23,-0.1,-0.11
9,Interest & Investment Income,103.16,102.3,82.37,47.06,19.9,6.74,1.1,0.87,0.22
10,Earnings From Equity Investments,-,0,0,0.01,-,-0,-,-,-
11,Currency Exchange Gain (Loss),0.43,-,-,-,-,-,-,-0.01,0.01
12,Other Non Operating Income (Expenses),0.7,3.33,0.48,2.64,6.14,0.27,0.75,0,-
13,EBT Excluding Unusual Items,158.15,150.5,102.66,101.15,33.89,33.45,36.47,62.78,41.62
14,Merger & Restructuring Charges,-,-0.03,-,-,-,-,-,-,-
15,Other Unusual Items,-,-,-,-,-,-,-,0.45,-
16,Pretax Income,158.15,150.47,102.66,101.15,33.89,33.45,36.47,63.23,41.62
17,Income Tax Expense,5.44,0.37,1,2.39,6.23,7.85,16.83,12.55,7.1
18,Earnings From Continuing Operations,152.71,150.1,101.66,98.76,27.67,25.6,19.65,50.68,34.52
19,Minority Interest in Earnings,-5.99,-6.52,-2.94,-8.41,-0.69,-4.63,-,-,-
20,Net Income,146.72,143.58,98.72,90.35,26.97,20.97,19.65,50.68,34.52
21,Net Income to Common,146.72,143.58,98.72,90.35,26.97,20.97,19.65,50.68,34.52
22,Net Income Growth,48.62%,58.92%,265.99%,330.82%,37.30%,-58.62%,-43.08%,-,-
23,Shares Outstanding (Basic),727,726,718,716,713,697,535,535,535
24,Shares Outstanding (Diluted),740,732,737,734,739,723,548,535,535
25,Shares Change (YoY),0.33%,-0.28%,-0.25%,1.47%,34.80%,35.21%,2.43%,-,-
26,EPS (Basic),0.20,0.20,0.14,0.13,0.04,0.03,0.04,0.09,0.06
27,EPS (Diluted),0.20,0.20,0.13,0.12,0.04,0.03,0.04,0.09,0.06
28,EPS Growth,48.17%,59.42%,266.85%,323.93%,1.96%,-69.34%,-44.50%,-,-
29,Free Cash Flow,19.12,71.19,29.93,48.49,27.36,6.62,35.85,63.73,46.7
30,Free Cash Flow Per Share,0.03,0.10,0.04,0.07,0.04,0.01,0.07,0.12,0.09
31,Dividend Per Share,0.120,0.125,0.107,-,-,-,-,-,-
32,Dividend Growth,12.93%,-,-,-,-,-,-,-,-
33,Operating Margin,22.23%,18.88%,11.53%,28.38%,6.17%,17.39%,26.68%,49.73%,46.72%
34,Profit Margin,60.27%,60.20%,56.90%,49.61%,20.44%,13.64%,15.04%,40.64%,38.86%
35,Free Cash Flow Margin,7.86%,29.85%,17.25%,26.63%,20.73%,4.30%,27.44%,51.10%,52.58%
36,EBITDA,56.62,47.21,21.74,52.37,9.35,27.51,36.22,63.34,42.83
37,D&A For EBITDA,2.49,2.18,1.73,0.7,1.21,0.77,1.36,1.33,1.33
38,EBIT,54.13,45.03,20.01,51.68,8.14,26.74,34.86,62.01,41.5
